study,scenario,option_side,scenario_role,carry_hedge,spot_hedge_enabled,option_point_value,futures_multiplier,fee_per_contract,slippage_points,spot_cost_bps,execution_lag_sessions,cohort,date,elapsed_sessions,remaining_sessions,hedge_contract_1,hedge_contract_2,spot,futures_1,futures_2,filtered_slow_state,filtered_fast_state,filtered_var_slow,filtered_var_fast,filtered_cov_slow_fast,accepted_contracts,prediction_only,locked_carry,positive_long_option_price,option_price_points,signed_option_mark,option_mark,continuation_points,exercise_value_points,unsigned_payoff,option_payoff,option_cash_flow,model_futures,futures_model_error,held_contracts_1,held_contracts_2,target_contracts_1,target_contracts_2,contracts_1,contracts_2,actual_contracts_1,actual_contracts_2,held_spot_units,target_spot_units,spot_units,spot_market_value,spot_notional,turnover_contracts,spot_turnover_units,spot_turnover_notional,spot_trade_cash_flow,transaction_cost,futures_transaction_cost,spot_transaction_cost,daily_futures_pnl,daily_spot_pnl,daily_financing,dividend_cash_flow,cumulative_futures_pnl,cumulative_spot_pnl,cumulative_financing,cumulative_costs,cumulative_futures_costs,cumulative_spot_costs,cumulative_option_cash_flow,cash,equity,discounted_equity,discounted_pnl_change,borrowing,residual_slow_exposure,residual_fast_exposure,residual_factor_variance,factor_variance,unhedged_factor_variance,residual_scale_exposure,scale_residual,spot_delta_residual,hedge_condition_number,hedge_angular_separation,conditioning_warning,exercise_now,expired
short_with_spot,short_no_hedge,-1,primary,none,False,1.0,1.0,0.0,0.0,0.0,0,2025-06-23,2025-06-23,0,19,IM2507,IM2512,6078.222,6001.4,5676.0,0.12887086412478735,-0.009116093446876361,1.2421215233687142e-05,0.0003522604315468244,-5.569481868824383e-05,4,False,0.17734443433107208,25.36121138761084,25.36121138761084,-25.36121138761084,-25.36121138761084,25.36121138761084,0.0,0.0,0.0,-0.0,6005.198503702641,3.798503702641028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36121138761084,0.0,0.0,0.0,0.0,-172.52736247941272,-70.84165366020436,54.34112098946992,54.34112098946992,54.34112098946992,-25.36121138761084,-25.36121138761084,-0.00417247204653118,12.924788245248218,0.3535251550070085,False,False,False
short_with_spot,short_one_futures_spot,-1,primary,one_futures_min_variance,True,1.0,1.0,0.0,0.0,0.0,0,2025-06-23,2025-06-23,0,19,IM2507,IM2512,6078.222,6001.4,5676.0,0.12887086412478735,-0.009116093446876361,1.2421215233687142e-05,0.0003522604315468244,-5.569481868824383e-05,4,False,0.17734443433107208,25.36121138761084,25.36121138761084,-25.36121138761084,-25.36121138761084,25.36121138761084,0.0,0.0,0.0,-0.0,6005.198503702641,3.798503702641028,0.0,0.0,-0.2945411613070401,0.0,-0.2945411613070401,0.0,-0.2945411613070401,0.0,0.0,0.29499095901000016,0.29499095901000016,1793.0205368556813,1793.0205368556813,0.2945411613070401,0.29499095901000016,1793.0205368556813,-1793.0205368556813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1767.6593254680704,2.4868995751603507e-14,2.4868995751603507e-14,2.4868995751603507e-14,1767.6593254680704,-40.54965901236079,0.0944192012885452,0.02221420836312393,0.02221420836312393,54.34112098946992,0.0,0.0,0.0,12.924788245248218,0.3535251550070085,False,False,False
short_with_spot,short_two_futures_spot,-1,primary,two_factor_neutral,True,1.0,1.0,0.0,0.0,0.0,0,2025-06-23,2025-06-23,0,19,IM2507,IM2512,6078.222,6001.4,5676.0,0.12887086412478735,-0.009116093446876361,1.2421215233687142e-05,0.0003522604315468244,-5.569481868824383e-05,4,False,0.17734443433107208,25.36121138761084,25.36121138761084,-25.36121138761084,-25.36121138761084,25.36121138761084,0.0,0.0,0.0,-0.0,6005.198503702641,3.798503702641028,0.0,0.0,-0.264378079357785,-0.024546755618422803,-0.264378079357785,-0.024546755618422803,-0.264378079357785,-0.024546755618422803,0.0,0.2881314966343101,0.2881314966343101,1751.3272017355894,1751.3272017355894,0.2889248349762078,0.2881314966343101,1751.3272017355894,-1751.3272017355894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1725.9659903479785,2.4868995751603507e-14,2.4868995751603507e-14,2.4868995751603507e-14,1725.9659903479785,0.0,0.0,0.0,0.0,54.34112098946992,-2.2737367544323206e-13,-2.2737367544323206e-13,-3.740792544978319e-17,12.924788245248218,0.3535251550070085,False,False,False
short_with_spot,short_one_futures_only,-1,control,one_futures_min_variance,False,1.0,1.0,0.0,0.0,0.0,0,2025-06-23,2025-06-23,0,19,IM2507,IM2512,6078.222,6001.4,5676.0,0.12887086412478735,-0.009116093446876361,1.2421215233687142e-05,0.0003522604315468244,-5.569481868824383e-05,4,False,0.17734443433107208,25.36121138761084,25.36121138761084,-25.36121138761084,-25.36121138761084,25.36121138761084,0.0,0.0,0.0,-0.0,6005.198503702641,3.798503702641028,0.0,0.0,-0.2945411613070401,0.0,-0.2945411613070401,0.0,-0.2945411613070401,0.0,0.0,0.0,0.0,0.0,0.0,0.2945411613070401,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36121138761084,0.0,0.0,0.0,0.0,-40.54965901236079,0.0944192012885452,0.02221420836312393,0.02221420836312393,54.34112098946992,-1793.0205368556813,-1793.0205368556813,-0.29499095901000016,12.924788245248218,0.3535251550070085,False,False,False
short_with_spot,short_two_futures_only,-1,control,two_factor_neutral,False,1.0,1.0,0.0,0.0,0.0,0,2025-06-23,2025-06-23,0,19,IM2507,IM2512,6078.222,6001.4,5676.0,0.12887086412478735,-0.009116093446876361,1.2421215233687142e-05,0.0003522604315468244,-5.569481868824383e-05,4,False,0.17734443433107208,25.36121138761084,25.36121138761084,-25.36121138761084,-25.36121138761084,25.36121138761084,0.0,0.0,0.0,-0.0,6005.198503702641,3.798503702641028,0.0,0.0,-0.264378079357785,-0.024546755618422803,-0.264378079357785,-0.024546755618422803,-0.264378079357785,-0.024546755618422803,0.0,0.0,0.0,0.0,0.0,0.2889248349762078,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36121138761084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.34112098946992,-1751.3272017355896,-1751.3272017355896,-0.2881314966343101,12.924788245248218,0.3535251550070085,False,False,False
short_with_spot,short_no_hedge,-1,primary,none,False,1.0,1.0,0.0,0.0,0.0,0,2025-06-23,2025-06-24,1,18,IM2507,IM2512,6194.666,6134.2,5819.0,0.12298177041420516,-0.06473488479943787,1.2219626685224921e-05,0.0003457093280693265,-5.4393344259045925e-05,4,False,0.17734443433107208,19.944141263950836,19.944141263950836,-19.944141263950836,-19.944141263950836,19.944141263950836,0.0,0.0,0.0,-0.0,6139.977367077924,5.777367077924282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014551932200068908,0.0,0.0,0.0,0.0014551932200068908,0.0,0.0,0.0,0.0,25.362666580830847,5.418525316880011,5.418214426805482,5.418214426805482,0.0,-138.30615389846,-57.0166682807226,35.198932803271845,35.198932803271845,35.198932803271845,-19.944141263950836,-19.944141263950836,-0.0032195668441124727,13.050801952991014,0.36383081407760404,False,False,False
short_with_spot,short_one_futures_spot,-1,primary,one_futures_min_variance,True,1.0,1.0,0.0,0.0,0.0,0,2025-06-23,2025-06-24,1,18,IM2507,IM2512,6194.666,6134.2,5819.0,0.12298177041420516,-0.06473488479943787,1.2219626685224921e-05,0.0003457093280693265,-5.4393344259045925e-05,4,False,0.17734443433107208,19.944141263950836,19.944141263950836,-19.944141263950836,-19.944141263950836,19.944141263950836,0.0,0.0,0.0,-0.0,6139.977367077924,5.777367077924282,-0.2945411613070401,0.0,-0.23750201786320935,0.0,-0.23750201786320935,0.0,-0.23750201786320935,0.0,0.29499095901000016,0.2384033326801557,0.2384033326801557,1476.8290192404495,1476.8290192404495,0.057039143443830764,0.05658762632984446,350.5414448461923,350.5414448461923,0.0,0.0,0.0,-39.11506622157498,34.34992723096058,-0.10142598578550836,0.0,-39.11506622157498,34.34992723096058,-0.10142598578550836,0.0,0.0,0.0,0.0,-1456.3343728292386,0.5505051472600151,0.5504735618052555,0.5504735618052307,1456.3343728292386,-35.029820074318636,0.07929995985728056,0.016574085375627563,0.016574085375627563,35.198932803271845,0.0,0.0,0.0,13.050801952991014,0.36383081407760404,False,False,False
short_with_spot,short_two_futures_spot,-1,primary,two_factor_neutral,True,1.0,1.0,0.0,0.0,0.0,0,2025-06-23,2025-06-24,1,18,IM2507,IM2512,6194.666,6134.2,5819.0,0.12298177041420516,-0.06473488479943787,1.2219626685224921e-05,0.0003457093280693265,-5.4393344259045925e-05,4,False,0.17734443433107208,19.944141263950836,19.944141263950836,-19.944141263950836,-19.944141263950836,19.944141263950836,0.0,0.0,0.0,-0.0,6139.977367077924,5.777367077924282,-0.264378079357785,-0.024546755618422803,-0.21143877016908696,-0.020659038451208374,-0.21143877016908696,-0.020659038451208374,-0.21143877016908696,-0.020659038451208374,0.2881314966343101,0.23200069059134834,0.23200069059134834,1437.1667899827455,1437.1667899827455,0.056827026355912476,0.05613080604296175,347.71159574692973,347.71159574692973,0.0,0.0,0.0,-38.61959499214836,33.551183994085726,-0.0990336766146668,0.0,-38.61959499214836,33.551183994085726,-0.0990336766146668,0.0,0.0,0.0,0.0,-1416.9730232698118,0.24962544898282957,0.24961112662205795,0.24961112662203308,1416.9730232698118,0.0,0.0,0.0,0.0,35.198932803271845,0.0,0.0,0.0,13.050801952991014,0.36383081407760404,False,False,False
short_with_spot,short_one_futures_only,-1,control,one_futures_min_variance,False,1.0,1.0,0.0,0.0,0.0,0,2025-06-23,2025-06-24,1,18,IM2507,IM2512,6194.666,6134.2,5819.0,0.12298177041420516,-0.06473488479943787,1.2219626685224921e-05,0.0003457093280693265,-5.4393344259045925e-05,4,False,0.17734443433107208,19.944141263950836,19.944141263950836,-19.944141263950836,-19.944141263950836,19.944141263950836,0.0,0.0,0.0,-0.0,6139.977367077924,5.777367077924282,-0.2945411613070401,0.0,-0.23750201786320935,0.0,-0.23750201786320935,0.0,-0.23750201786320935,0.0,0.0,0.0,0.0,0.0,0.0,0.057039143443830764,0.0,0.0,-0.0,0.0,0.0,0.0,-39.11506622157498,0.0,0.0014551932200068908,0.0,-39.11506622157498,0.0,0.0014551932200068908,0.0,0.0,0.0,0.0,-13.752399640744134,-33.69654090469497,-33.694607552075844,-33.694607552075844,13.752399640744134,-35.029820074318636,0.07929995985728056,0.016574085375627563,0.016574085375627563,35.198932803271845,-1476.8290192404495,-1476.8290192404495,-0.2384033326801557,13.050801952991014,0.36383081407760404,False,False,False
short_with_spot,short_two_futures_only,-1,control,two_factor_neutral,False,1.0,1.0,0.0,0.0,0.0,0,2025-06-23,2025-06-24,1,18,IM2507,IM2512,6194.666,6134.2,5819.0,0.12298177041420516,-0.06473488479943787,1.2219626685224921e-05,0.0003457093280693265,-5.4393344259045925e-05,4,False,0.17734443433107208,19.944141263950836,19.944141263950836,-19.944141263950836,-19.944141263950836,19.944141263950836,0.0,0.0,0.0,-0.0,6139.977367077924,5.777367077924282,-0.264378079357785,-0.024546755618422803,-0.21143877016908696,-0.020659038451208374,-0.21143877016908696,-0.020659038451208374,-0.21143877016908696,-0.020659038451208374,0.0,0.0,0.0,0.0,0.0,0.056827026355912476,0.0,0.0,-0.0,0.0,0.0,0.0,-38.61959499214836,0.0,0.0014551932200068908,0.0,-38.61959499214836,0.0,0.0014551932200068908,0.0,0.0,0.0,0.0,-13.256928411317514,-33.20106967526835,-33.19916475051076,-33.19916475051076,13.256928411317514,0.0,0.0,0.0,0.0,35.198932803271845,-1437.1667899827455,-1437.1667899827455,-0.23200069059134834,13.050801952991014,0.36383081407760404,False,False,False
