cohort,scenario,total_pnl,option_pnl,futures_pnl,spot_pnl,financing,futures_costs,spot_costs,transaction_costs
2024-08-19,short_no_hedge,20.110798167430804,20.0854284212312,0.0,0.0,0.025369746199598035,0.0,0.0,0.0
2024-08-19,short_one_futures_spot,-4.493666711042626,20.0854284212312,48.791326772022856,-70.28000743375263,-1.9192869901876006,0.3589646870413674,0.8121627933151239,1.1711274803564913
2024-08-19,short_two_futures_spot,-4.19728153414691,20.0854284212312,47.811498608625655,-69.03746631610355,-1.8904978408405197,0.3601587814895612,0.8060856255692392,1.1662444070588005
2024-08-19,short_one_futures_only,68.59312326740672,20.0854284212312,48.791326772022856,0.0,0.0753327611940067,0.3589646870413674,0.0,0.3589646870413674
2024-08-19,short_two_futures_only,67.61102293624481,20.0854284212312,47.811498608625655,0.0,0.07425468787750379,0.3601587814895612,0.0,0.3601587814895612
2024-09-23,short_no_hedge,-7.997283262474152,-8.003131951982466,0.0,0.0,0.005848689508314877,0.0,0.0,0.0
2024-09-23,short_one_futures_spot,-29.877499933206877,-8.003131951982466,-88.6728403768706,67.63741485428832,-0.23862047291351612,0.17571163637566856,0.42461034935314035,0.6003219857288089
2024-09-23,short_two_futures_spot,-29.57658034479539,-8.003131951982466,-86.53467249034236,65.78221397724515,-0.23264442069895722,0.17232032259812666,0.4160251364187371,0.5883454590168637
2024-09-23,short_one_futures_only,-96.90151276749158,-8.003131951982466,-88.6728403768706,0.0,-0.049828802262805436,0.17571163637566856,0.0,0.17571163637566856
2024-09-23,short_two_futures_only,-94.75867871343868,-8.003131951982466,-86.53467249034236,0.0,-0.048553948515747736,0.17232032259812666,0.0,0.17232032259812666
2024-10-21,short_no_hedge,12.519668098558832,12.50272497757962,0.0,0.0,0.016943120979210677,0.0,0.0,0.0
2024-10-21,short_one_futures_spot,1.5270844414030762,12.50272497757962,-105.06476902168738,96.18833962760486,-1.1825409388592805,0.22648967369645578,0.690180529538257,0.9166702032347128
2024-10-21,short_two_futures_spot,1.9407652527939945,12.50272497757962,-102.73972413064996,94.24538070809714,-1.161269900673815,0.22461603021780352,0.6817303713409992,0.9063464015588028
2024-10-21,short_one_futures_only,-92.80226007477441,12.50272497757962,-105.06476902168738,0.0,-0.013726356970183911,0.22648967369645578,0.0,0.22648967369645578
2024-10-21,short_two_futures_only,-90.47447822454656,12.50272497757962,-102.73972413064996,0.0,-0.012863041258412613,0.22461603021780352,0.0,0.22461603021780352
2024-11-18,short_no_hedge,-23.306208080505087,-23.311885003568285,0.0,0.0,0.005676923063197722,0.0,0.0,0.0
2024-11-18,short_one_futures_spot,-3.299626017645096,-23.311885003568285,-72.72873237086841,93.9201907347727,-0.3914030170828243,0.19216568743244888,0.5956306734651622,0.7877963608976111
2024-11-18,short_two_futures_spot,-3.3975716443578676,-23.311885003568285,-70.57723005639237,91.65359885547585,-0.38327819933117896,0.1922349845239621,0.5865422560182193,0.7787772405421813
2024-11-18,short_one_futures_only,-96.23372450467517,-23.311885003568285,-72.72873237086841,0.0,-0.0009414428060185124,0.19216568743244888,0.0,0.19216568743244888
2024-11-18,short_two_futures_only,-94.08212728960156,-23.311885003568285,-70.57723005639237,0.0,-0.0007772451169315814,0.1922349845239621,0.0,0.1922349845239621
2024-12-23,short_no_hedge,12.484425232065393,12.47017392029468,0.0,0.0,0.014251311770710933,0.0,0.0,0.0
2024-12-23,short_one_futures_spot,2.0470877783031938,12.47017392029468,141.97039206335654,-150.2508704923846,-1.1354020191869318,0.25631817602575374,0.7508875177502954,1.0072056937760492
2024-12-23,short_two_futures_spot,2.1703093545997945,12.47017392029468,139.32149011736945,-147.51188889861487,-1.1112931817221985,0.25641990722112273,0.7417526955060798,0.9981726027272025
2024-12-23,short_one_futures_only,154.225615093554,12.47017392029468,141.97039206335654,0.0,0.04136728592852726,0.25631817602575374,0.0,0.25631817602575374
2024-12-23,short_two_futures_only,151.5761066903061,12.47017392029468,139.32149011736945,0.0,0.04086255986309041,0.25641990722112273,0.0,0.25641990722112273
2025-01-20,short_no_hedge,9.230977301092658,9.21971202140358,0.0,0.0,0.011265279689076422,0.0,0.0,0.0
2025-01-20,short_one_futures_spot,2.9793078217655875,9.21971202140358,-111.11336338857929,106.4548011749901,-0.840969661666924,0.1852194854204673,0.5556528389611879,0.7408723243816552
2025-01-20,short_two_futures_spot,3.0193314361852117,9.21971202140358,-109.62205230533176,104.98143563807527,-0.8266529924625203,0.18454185536704412,0.5485690701320558,0.7331109254991
2025-01-20,short_one_futures_only,-102.07993985577566,9.21971202140358,-111.11336338857929,0.0,-0.001069003179462332,0.1852194854204673,0.0,0.1852194854204673
2025-01-20,short_two_futures_only,-100.58780586025325,9.21971202140358,-109.62205230533176,0.0,-0.0009237209580423905,0.18454185536704412,0.0,0.18454185536704412
2025-02-24,short_no_hedge,-3.8162677059127006,-3.8244377161167726,0.0,0.0,0.008170010204074133,0.0,0.0,0.0
2025-02-24,short_one_futures_spot,-15.61539393470639,-3.8244377161167726,22.742931816905305,-32.75956895003335,-0.7316501558337934,0.249658952716386,0.7930099769115144,1.0426689296279004
2025-02-24,short_two_futures_spot,-14.791992483824743,-3.8244377161167726,23.120663446370234,-32.336057993608286,-0.7189782044560181,0.24797076800759704,0.7852112480064557,1.0331820160140528
2025-02-24,short_one_futures_only,18.683390330665084,-3.8244377161167726,22.742931816905305,0.0,0.01455518259292208,0.249658952716386,0.0,0.249658952716386
2025-02-24,short_two_futures_only,19.06289826290254,-3.8244377161167726,23.120663446370234,0.0,0.014643300656679578,0.24797076800759704,0.0,0.24797076800759704
2025-03-24,short_no_hedge,-13.006749366656372,-13.020204404205838,0.0,0.0,0.013455037549472073,0.0,0.0,0.0
2025-03-24,short_one_futures_spot,-52.984790777521,-13.020204404205838,206.71626266609414,-244.86906558819098,-0.9611237652876715,0.21099214451041562,0.6396675414203672,0.8506596859307828
2025-03-24,short_two_futures_spot,-52.26721806145213,-13.020204404205838,203.1953355473992,-240.657208237558,-0.9426537744552277,0.21050626079265194,0.6319809318393375,0.8424871926319895
2025-03-24,short_one_futures_only,193.51667197620085,-13.020204404205838,206.71626266609414,0.0,0.031605858822987914,0.21099214451041562,0.0,0.21099214451041562
