scenario,completed_cohorts,sum_cohort_pnl,mean_cohort_pnl,median_cohort_pnl,std_cohort_pnl,worst_cohort_pnl,fifth_percentile_cohort_pnl,mean_pnl_below_fifth_percentile,daily_discounted_pnl_variance,total_costs,total_turnover_contracts,variance_reduction_vs_no_hedge
no_hedge,1,7.997283262474152,7.997283262474152,7.997283262474152,,7.997283262474152,7.997283262474152,7.997283262474152,32.78444783321457,0.0,0.0,0.0
one_futures,1,96.72571870036583,96.72571870036583,96.72571870036583,,96.72571870036583,96.72571870036583,96.72571870036583,437.19335154251894,0.0,0.8785581818783429,-12.335388589329533
two_futures,1,94.58627764855294,94.58627764855294,94.58627764855294,,94.58627764855294,94.58627764855294,94.58627764855294,416.60683960082014,0.0,0.8616016129906333,-11.707453293715306
