scenario,completed_cohorts,sum_cohort_pnl,mean_cohort_pnl,median_cohort_pnl,std_cohort_pnl,worst_cohort_pnl,fifth_percentile_cohort_pnl,mean_pnl_below_fifth_percentile,daily_discounted_pnl_variance,total_costs,total_turnover_contracts,spot_pnl,total_futures_costs,total_spot_costs,peak_borrowing,peak_spot_notional,spot_turnover_notional,variance_reduction_vs_no_hedge
short_no_hedge,1,-3.3683626469840995,-3.3683626469840995,-3.3683626469840995,,-3.3683626469840995,-3.3683626469840995,-3.3683626469840995,55.32178743282986,0.0,0.0,0.0,0.0,0.0,3.3683626469840995,0.0,0.0,0.0
short_one_futures_spot,1,-20.51869582274253,-20.51869582274253,-20.51869582274253,,-20.51869582274253,-20.51869582274253,-20.51869582274253,34.02216805496699,0.0,0.9233493940910031,83.10204542271606,0.0,0.0,2879.278727816965,2900.962439753295,7812.372621688741,0.3850132175090015
short_two_futures_spot,1,-20.53303591993813,-20.53303591993813,-20.53303591993813,,-20.53303591993813,-20.53303591993813,-20.53303591993813,33.895275865088344,0.0,0.9186061102269006,82.22766058794456,0.0,0.0,2840.218883460458,2861.902595396788,7736.442136648728,0.38730692846388914
short_one_futures_only,1,-102.42760618265572,-102.42760618265572,-102.42760618265572,,-102.42760618265572,-102.42760618265572,-102.42760618265572,586.8479893188739,0.0,0.9233493940910031,0.0,0.0,0.0,102.42760618265572,0.0,0.0,-9.607900007414043
short_two_futures_only,1,-101.58412322378703,-101.58412322378703,-101.58412322378703,,-101.58412322378703,-101.58412322378703,-101.58412322378703,571.4424625678784,0.0,0.9186061102269006,0.0,0.0,0.0,101.58412322378703,0.0,0.0,-9.329428767313557
