date,row_index,within_date_order,innovation,innovation_variance,innovation_model_units,innovation_variance_model_units,carry_innovation,standardized_innovation,observation_noise_model
2022-07-22,0,0,-0.00947595730871004,0.00011343873211521767,-0.00947595730871004,0.00011343873211521767,0.1156066791662625,-0.8896975887430251,constant_log_futures
2022-07-22,1,1,-0.015881444474466513,0.0002212641081411343,-0.015881444474466513,0.0002212641081411343,0.09936083209666227,-0.9125990730242871,constant_log_futures
2022-07-22,2,2,-0.03494081344235241,0.0006276262856949403,-0.03494081344235241,0.0006276262856949403,0.08611675232256553,-0.8236974954678927,constant_log_futures
2022-07-22,3,3,-0.052368191502637725,0.001253432825997091,-0.052368191502637725,0.001253432825997091,0.08087239700407343,-0.41030620996704487,constant_log_futures
2022-07-25,4,0,5.3540298460165794e-05,1.2483950135995737e-05,5.3540298460165794e-05,1.2483950135995737e-05,-0.0006875701486463397,0.015153214649306175,constant_log_futures
2022-07-25,5,1,0.0004179590123194934,1.9575873713932937e-05,0.0004179590123194934,1.9575873713932937e-05,-0.0026837368159462207,0.2286881469189903,constant_log_futures
2022-07-25,6,2,0.001815679174811416,2.347421953087978e-05,0.001815679174811416,2.347421953087978e-05,-0.004520670598510056,0.9364445430718681,constant_log_futures
2022-07-25,7,3,0.0002910337263399912,2.5784133597234152e-05,0.0002910337263399912,2.5784133597234152e-05,-0.000452307192528394,-0.9091285267873429,constant_log_futures
2022-07-26,8,0,0.003970204151342085,1.1820111239004494e-05,0.003970204151342085,1.1820111239004494e-05,-0.053818322940414935,1.1547874549834423,constant_log_futures
2022-07-26,9,1,0.004547208941980753,1.9306435337027482e-05,0.004547208941980753,1.9306435337027482e-05,-0.029986999509278477,-0.1225444831888086,constant_log_futures
2022-07-26,10,2,0.005190140121921018,2.3437114671355442e-05,0.005190140121921018,2.3437114671355442e-05,-0.013055610203595138,0.13123752037751743,constant_log_futures
2022-07-26,11,3,0.004236366589229684,2.5573444129652994e-05,0.004236366589229684,2.5573444129652994e-05,-0.006626111844692583,-0.5826419069835402,constant_log_futures
2022-07-27,12,0,0.0006347663742996812,1.1190903696932478e-05,0.0006347663742996812,1.1190903696932478e-05,-0.009110764431124838,0.18974980289412163,constant_log_futures
2022-07-27,13,1,0.0006718085967405071,1.9075425669856472e-05,0.0006718085967405071,1.9075425669856472e-05,-0.004553369377907882,-0.06306500774250973,constant_log_futures
2022-07-27,14,2,0.001613283822702545,2.3409759162782367e-05,0.001613283822702545,2.3409759162782367e-05,-0.004100429716035635,0.5458353894615935,constant_log_futures
2022-07-27,15,3,0.0028634617441060176,2.5518763892295805e-05,0.0028634617441060176,2.5518763892295805e-05,-0.004507643003624957,0.8678879544694345,constant_log_futures
2022-07-28,16,0,0.00010220145983999085,1.0544852630209572e-05,0.00010220145983999085,1.0544852630209572e-05,-0.0015585722625598604,0.03147290580598948,constant_log_futures
2022-07-28,17,1,0.0006989558181344181,1.883702530925338e-05,0.0006989558181344181,1.883702530925338e-05,-0.004872720560708515,0.35517291647001875,constant_log_futures
2022-07-28,18,2,0.0021930662067630516,2.3383234635848887e-05,0.0021930662067630516,2.3383234635848887e-05,-0.005632717415265101,1.0420033688133192,constant_log_futures
2022-07-28,19,3,0.003967130594628783,2.5482300270858837e-05,0.003967130594628783,2.5482300270858837e-05,-0.006285583539541708,1.2352977830289003,constant_log_futures
2022-07-29,20,0,-0.0005696636711299942,9.877326882995978e-06,-0.0005696636711299942,9.877326882995978e-06,0.00926652905038124,-0.1812586791684343,constant_log_futures
2022-07-29,21,1,-7.750667313915355e-05,1.858526431259322e-05,-7.750667313915355e-05,1.858526431259322e-05,0.000556224360175102,0.3943932144846084,constant_log_futures
