expiry_zone,roll_change_date,n,mean_carry_residual,carry_rmse,futures_rmse,model
6-10_sessions,False,243,0.0077557033075996585,0.03707979760864026,7.630672521569362,two_factor_ou
6-10_sessions,True,1,-0.1737457319880394,0.1737457319880394,37.13694343177667,two_factor_ou
11-21_sessions,False,499,0.0008899564037013807,0.015161169797522522,5.672979778016985,two_factor_ou
11-21_sessions,True,40,0.003293200364501534,0.012725054336259927,5.536877773477607,two_factor_ou
22+_sessions,False,2567,-0.00018603878678302534,0.0036632061822521253,4.3201874043649555,two_factor_ou
22+_sessions,True,317,-0.0004768579455352847,0.004675799455606161,4.943475415666658,two_factor_ou
6-10_sessions,False,243,0.01622509111570283,0.08557250944184687,17.27743719081989,one_factor_ou
6-10_sessions,True,1,-0.43554158987285946,0.43554158987285946,92.64643416085619,one_factor_ou
11-21_sessions,False,499,0.0004681672366337139,0.045825401209778134,18.447847478356554,one_factor_ou
11-21_sessions,True,40,0.012147870127086515,0.042487448729225684,17.472319454258937,one_factor_ou
22+_sessions,False,2567,-7.199371822875884e-05,0.01391239857594502,14.328684596415265,one_factor_ou
22+_sessions,True,317,-0.0011104868142026963,0.023924749203633928,20.39077610439062,one_factor_ou
