nearest_maturity_bucket,n_dates,mean_abs_fast_state,max_abs_fast_state,mean_instantaneous_std,weak_observability_fraction
1-10,244,0.0843129300027852,0.5433966435187371,0.014517053026362182,0.0
11-21,534,0.08253637069603811,0.4615409208681761,0.01413504671929987,0.0
22-42,212,0.08162340126034902,0.8772870275593636,0.015431760846683013,1.0
64+,1,0.9619845659249816,0.9619845659249816,0.023778323878040422,1.0
