date,contract,expiry,futures_price,volume,hold,price_source,spot,spot_duplicate,risk_free_rate,quality_flags,exclusion_reasons,sessions_to_expiry,tau,implied_carry,excluded,delta,n_contracts,predicted_state,predicted_variance,predicted_std,filtered_state,filtered_variance,filtered_std,maturity_loading,predicted_carry,fitted_carry,predicted_futures_price,fitted_futures_price,carry_residual,carry_prediction_error,futures_residual,futures_prediction_error,observation_noise_model,observation_noise_carry_sd,marginal_prediction_variance,standardized_marginal_prediction_error
2022-07-22,IM2208,2022-08-19,6956.6,22153,17517,close,7034.598,False,0.014,,,20.0,0.08196721311475409,0.15002630138819212,False,,4,0.08442746248420983,0.01314881871517913,0.11466829864953579,0.1397297330915238,3.68343677587137e-05,0.006069132372811924,0.920506947721995,0.08442746248420983,0.13533358680304422,6994.10606207769,6964.983025460819,0.014692714585147898,0.06559883890398228,-8.383025460818317,-37.50606207768942,constant_log_futures,0.03545696898710417,0.012398625194671841,0.5891276233044844
2022-07-22,IM2209,2022-09-16,6901.2,6710,5858,close,7034.598,False,0.014,,,39.0,0.1598360655737705,0.1337804543185919,False,,4,0.08442746248420983,0.01314881871517913,0.11466829864953579,0.1397297330915238,3.68343677587137e-05,0.006069132372811924,0.8527025569011243,0.08442746248420983,0.13158385003350437,6955.854628580323,6903.623413164256,0.002196604285087528,0.04935299183438206,-2.4234131642560897,-54.65462858032333,constant_log_futures,0.018183061019027776,0.009891151498554821,0.49623804628399565
2022-07-22,IM2212,2022-12-16,6737.0,3921,3613,close,7034.598,False,0.014,,,99.0,0.4057377049180328,0.12053637454449517,False,,4,0.08442746248420983,0.01314881871517913,0.11466829864953579,0.1397297330915238,3.68343677587137e-05,0.006069132372811924,0.6789704418197012,0.08442746248420983,0.12197606959209048,6836.4286568319285,6733.065807660285,-0.0014396950475953074,0.03610891206028534,3.934192339715082,-99.42865683192849,constant_log_futures,0.007163024037798821,0.006112925660419387,0.46183819423181316
2022-07-22,IM2303,2023-03-17,6588.0,3703,3338,close,7034.598,False,0.014,,,158.0,0.6475409836065574,0.11529201922600309,False,,4,0.08442746248420983,0.01314881871517913,0.11466829864953579,0.1397297330915238,3.68343677587137e-05,0.006069132372811924,0.5536097858775205,0.08442746248420983,0.11504334067366562,6720.992773307285,6589.060948123981,0.0002486785523374696,0.030864556741793253,-1.0609481239807792,-132.99277330728455,constant_log_futures,0.004488223922418248,0.004050044013827376,0.48498708402459456
2022-07-25,IM2208,2022-08-19,6878.6,22883,18747,close,6948.909,False,0.014,,,19.0,0.0778688524590164,0.1445981229888313,False,0.004098360655737705,4,0.13926710321782823,0.0002552927826687011,0.01597788417371653,0.1364043565423485,3.26528530238233e-05,0.005714267496698356,0.9242755611865555,0.13511440219854406,0.1324684354085301,6883.681629055404,6885.100077910174,0.012129687580301196,0.009483720790287226,-6.500077910173786,-5.081629055403937,constant_log_futures,0.03732312524958333,0.0016111085531465732,0.23627423071511158
2022-07-25,IM2209,2022-09-16,6823.0,6248,6213,close,6948.909,False,0.014,,,38.0,0.1557377049180328,0.1314115864451097,False,0.004098360655737705,4,0.13926710321782823,0.0002552927826687011,0.01597788417371653,0.1364043565423485,3.26528530238233e-05,0.005714267496698356,0.8560982044299728,0.13137558044784534,0.12892478815922925,6823.038260020938,6825.642979546295,0.0024867982858804427,3.6005997264360046e-05,-2.642979546294555,-0.0382600209377415,constant_log_futures,0.018661562624791666,0.0005353590558129495,0.00155615290384999
2022-07-25,IM2212,2022-12-16,6670.0,2763,3461,close,6948.909,False,0.014,,,98.0,0.4016393442622951,0.11599401401957343,False,0.004098360655737705,4,0.13926710321782823,0.0002552927826687011,0.01597788417371653,0.1364043565423485,3.26528530238233e-05,0.005714267496698356,0.681437924056271,0.12179727342171848,0.11984648927008057,6654.471552620285,6659.687451814657,-0.003852475250507137,-0.0058032594021450445,10.312548185343076,15.528447379714635,constant_log_futures,0.007236116119817176,0.00017090853167706088,-0.44390507703714505
2022-07-25,IM2303,2023-03-17,6515.0,2829,3644,close,6948.909,False,0.014,,,157.0,0.6434426229508197,0.11420700519423466,False,0.004098360655737705,4,0.13926710321782823,0.0002552927826687011,0.01597788417371653,0.1364043565423485,3.26528530238233e-05,0.005714267496698356,0.555439733377111,0.11488757791178739,0.11329749466163272,6512.147644225812,6518.813810091194,0.000909510532601937,-0.0006805727175527299,-3.8138100911937727,2.852355774188254,constant_log_futures,0.004516811335936836,9.916280283157338e-05,-0.06834395990123128
2022-07-26,IM2208,2022-08-19,6991.0,19269,20386,close,7027.419,False,0.014,,,18.0,0.07377049180327869,0.08443317630106531,False,0.004098360655737705,4,0.13596954502974445,0.0002511809360371811,0.01584868877974393,0.12071392967421676,3.2972907904594755e-05,0.005742204098131201,0.9280650545129744,0.13226186813154364,0.11810366463498687,6966.376797420181,6973.656683959218,-0.033670488333921555,-0.04782869183047833,17.343316040782156,24.623202579819008,constant_log_futures,0.039396632207893516,0.0017684379614889229,-1.1373485757623836
2022-07-26,IM2209,2022-09-16,6937.0,6357,7765,close,7027.419,False,0.014,,,37.0,0.15163934426229508,0.09940061449540678,False,0.004098360655737705,4,0.13596954502974445,0.0002511809360371811,0.01584868877974393,0.12071392967421676,3.2972907904594755e-05,0.005742204098131201,0.8595124032308268,0.12872852172044394,0.11561613110344923,6906.217824304749,6919.963493416712,-0.01621551660804245,-0.029327907225037156,17.03650658328843,30.78217569525077,constant_log_futures,0.019165929182218468,0.000552895664407163,-1.2472671424385982
2022-07-26,IM2212,2022-12-16,6777.2,2658,4210,close,7027.419,False,0.014,,,97.0,0.3975409836065574,0.10519930215525243,False,0.004098360655737705,4,0.13596954502974445,0.0002511809360371811,0.01584868877974393,0.12071392967421676,3.2972907904594755e-05,0.005742204098131201,0.683918262841712,0.11967803404199599,0.10924444008946216,6738.303237049509,6766.310287959174,-0.004045137934209728,-0.014478731886743562,10.889712040825543,38.89676295049048,constant_log_futures,0.007310715255073024,0.00017093498107331013,-1.1074268576053552
2022-07-26,IM2303,2023-03-17,6624.0,1899,3684,close,7027.419,False,0.014,,,156.0,0.639344262295082,0.10646986950295019,False,0.004098360655737705,4,0.13596954502974445,0.0002511809360371811,0.01584868877974393,0.12071392967421676,3.2972907904594755e-05,0.005742204098131201,0.5572787405403699,0.11315076933001314,0.10464913921851635,6595.766620592905,6631.715312326544,0.001820730284433844,-0.00668089982706295,-7.7153123265443355,28.233379407094617,constant_log_futures,0.004545765254756944,9.867063143294497e-05,-0.672575442919339
