model,observation_noise_model,parameters,log_likelihood,aic,bic
two_factor_ou,constant_log_futures,6,11666.343328760082,-23320.686657520164,-23283.443882511736
one_factor_ou,constant_log_futures,4,9242.122018114038,-18476.244036228076,-18451.41551955579
