window_start,window_end,n_dates,n_observations,model,observation_noise_model,kappa_slow,kappa_fast,theta,eta_slow,eta_fast,sigma_log_futures,slow_half_life_sessions,fast_half_life_sessions,log_likelihood,converged,message,kappa,eta,half_life_sessions
2022-07-22,2024-07-25,488,1806,two_factor_ou,constant_log_futures,0.5321827991244219,15.370999985132869,0.035246917232007895,0.04819028743628805,1.174056169325817,0.0009033176993798655,317.8004105635991,11.003051995329548,5813.050492912649,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,
2022-07-22,2024-07-25,488,1806,one_factor_ou,constant_log_futures,,,0.06544339915000376,,,0.002667217574269456,,,4640.2780910230595,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0599196039914283,0.2877927717868898,55.27201166854593
2023-02-01,2025-02-06,488,1805,two_factor_ou,constant_log_futures,0.894941835752668,18.31708346662695,0.04651338324019304,0.05009052711503481,1.5008780414550984,0.0009526221520201762,188.98201570204387,9.23334287168432,5724.366103702073,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,
2023-02-01,2025-02-06,488,1805,one_factor_ou,constant_log_futures,,,0.06419610972734892,,,0.00265440641492181,,,4604.922169459729,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.2773145528322396,0.34158939611719885,51.605639107929726
2023-08-04,2025-08-08,488,1804,two_factor_ou,constant_log_futures,0.7716156673233694,17.09960639459199,0.047026621759646205,0.051329854287372814,1.5171596512604681,0.0010386820995354521,219.1867262665992,9.890748836775327,5584.961301030687,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,
2023-08-04,2025-08-08,488,1804,one_factor_ou,constant_log_futures,,,0.06790445047888967,,,0.002931018737331448,,,4447.6602505779665,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.606961025833963,0.32203641993679105,64.8755046127024
2024-02-07,2026-02-12,488,1806,two_factor_ou,constant_log_futures,0.1947934148683662,15.657045777465582,-0.04353755685175979,0.043831288891036796,1.1487282302283077,0.001046425365245308,868.2424514756657,10.802032162417522,5688.15637515428,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,
2024-02-07,2026-02-12,488,1806,one_factor_ou,constant_log_futures,,,0.0968789164758928,,,0.0028741700285651465,,,4558.531462060286,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.3126423367064968,0.30618907558957037,51.05528906111169
2024-08-16,2026-08-21,488,1806,two_factor_ou,constant_log_futures,0.9028569028946709,20.587295234376228,0.0931141711556209,0.060631799926400685,1.4354740315648336,0.0010147413489393145,187.32526883759945,8.21515940443796,5708.576833123184,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,
2024-08-16,2026-08-21,488,1806,one_factor_ou,constant_log_futures,,,0.11214267208971015,,,0.0024293688413645712,,,4781.231675554292,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.9055660751908445,0.3541196202058241,43.30432741388513
