date,contract,expiry,sessions_to_expiry,tau,spot,futures_price,implied_carry,predicted_carry,fitted_carry,carry_prediction_error,carry_residual,predicted_futures_price,fitted_futures_price,futures_prediction_error,futures_residual,standardized_marginal_prediction_error,observation_noise_model,observation_noise_carry_sd
2022-07-22,IM2208,2022-08-19,20.0,0.08196721311475409,7034.598,6956.6,0.15002630138819212,0.03441962222192964,0.1465256171906923,0.11560667916626248,0.003500684197499826,7022.833763155619,6958.596422454384,-66.23376315561836,-1.996422454383719,0.889697588743025,constant_log_futures,0.011887932239590487
2022-07-22,IM2209,2022-09-16,39.0,0.1598360655737705,7034.598,6901.2,0.1337804543185919,0.03441962222192964,0.13501811431081784,0.09936083209666226,-0.0012376599922259424,7011.675961518106,6899.834920983658,-110.47596151810649,1.3650790163419515,1.0676637923614283,constant_log_futures,0.0060963755074822995
2022-07-22,IM2212,2022-12-16,99.0,0.4057377049180328,7034.598,6737.0,0.12053637454449517,0.03441962222192964,0.12101538653307024,0.08611675232256553,-0.00047901198857507044,6976.557047567335,6735.690769554734,-239.55704756733485,1.3092304452657118,1.3947052939320954,constant_log_futures,0.0024016024726445425
2022-07-22,IM2303,2023-03-17,158.0,0.6475409836065574,7034.598,6588.0,0.11529201922600309,0.03441962222192964,0.11501010265141502,0.08087239700407345,0.00028191657458806474,6942.194978377215,6589.202765887834,-354.1949783772152,-1.2027658878341754,1.479166437362651,constant_log_futures,0.0015048015493152511
2022-07-25,IM2208,2022-08-19,19.0,0.0778688524590164,6948.909,6878.6,0.1445981229888313,0.1452856931374776,0.13920187893879857,-0.0006875701486463159,0.0053962440500327225,6878.231727561808,6881.490990477074,0.3682724381924345,-2.890990477073501,-0.01515321464930565,constant_log_futures,0.012513612883779458
2022-07-25,IM2209,2022-09-16,38.0,0.1557377049180328,6948.909,6823.0,0.1314115864451097,0.13409532326105592,0.1300960639911548,-0.0026837368159462194,0.001315522453954887,6820.1488615299595,6824.398015208283,2.851138470040496,-1.398015208283141,-0.09446547591708475,constant_log_futures,0.006256806441889729
2022-07-25,IM2212,2022-12-16,98.0,0.4016393442622951,6948.909,6670.0,0.11599401401957343,0.1205146846180835,0.118643216452028,-0.004520670598510065,-0.0026492024324545616,6657.900407716925,6662.90673477283,12.099592283075253,7.093265227170377,-0.37475163086239455,constant_log_futures,0.0024261086203245887
2022-07-25,IM2303,2023-03-17,157.0,0.6434426229508197,6948.909,6515.0,0.11420700519423466,0.11465931238676308,0.11337122167976309,-0.0004523071925284228,0.0008357835144715692,6513.104191158432,6518.5045707274085,1.895808841568396,-3.5045707274084634,-0.0573148352777471,constant_log_futures,0.0015143862725592976
2022-07-26,IM2208,2022-08-19,18.0,0.07377049180327869,7027.419,6991.0,0.08443317630106531,0.13825149924148022,0.0893599301281573,-0.053818322940414914,-0.004926753827091984,6963.299327825825,6988.459589354634,27.700672174175452,2.540410645366137,-1.154787454983442,constant_log_futures,0.013208813599544983
2022-07-26,IM2209,2022-09-16,37.0,0.15163934426229508,7027.419,6937.0,0.09940061449540678,0.12938761400468526,0.09886267816479767,-0.02998699950927848,0.0005379363306091123,6905.527621539658,6937.565890211488,31.472378460342043,-0.5658902114882949,-1.034889219466632,constant_log_futures,0.006425909318697559
