date,contract,expiry,futures_price,volume,hold,price_source,spot,spot_duplicate,risk_free_rate,quality_flags,exclusion_reasons,sessions_to_expiry,tau,implied_carry,excluded,delta,n_contracts,predicted_slow_state,predicted_fast_state,predicted_instantaneous_carry,predicted_var_slow,predicted_var_fast,predicted_cov_slow_fast,filtered_slow_state,filtered_fast_state,filtered_instantaneous_carry,filtered_var_slow,filtered_var_fast,filtered_cov_slow_fast,filtered_instantaneous_variance,filtered_instantaneous_std,nearest_contract_sessions,weak_instantaneous_observability,slow_loading,fast_loading,predicted_carry,fitted_carry,predicted_futures_price,fitted_futures_price,carry_residual,carry_prediction_error,futures_residual,futures_prediction_error,observation_noise_model,observation_noise_carry_sd,marginal_prediction_variance,standardized_marginal_prediction_error
2022-07-22,IM2208,2022-08-19,6956.6,22153,17517,close,7034.598,False,0.014,,,20.0,0.08196721311475409,0.15002630138819212,False,,4,0.0,0.0,0.03441962222192964,0.0032243455848399967,0.045962383668059145,0.0,0.08435636867851942,0.05314866763614157,0.1719246585365906,8.156935428871564e-06,0.0003412931041907666,-4.638043119518137e-05,0.0002566891772292754,0.016021522313103564,20.0,False,0.986142636510674,0.5441073960995435,0.03441962222192964,0.1465256171906923,7022.833763155619,6958.596422454384,0.003500684197499826,0.11560667916626248,-1.996422454383719,-66.23376315561836,constant_log_futures,0.011887932239590487,0.016884220888029003,0.889697588743025
2022-07-22,IM2209,2022-09-16,6901.2,6710,5858,close,7034.598,False,0.014,,,39.0,0.1598360655737705,0.1337804543185919,False,,4,0.0,0.0,0.03441962222192964,0.0032243455848399967,0.045962383668059145,0.0,0.08435636867851942,0.05314866763614157,0.1719246585365906,8.156935428871564e-06,0.0003412931041907666,-4.638043119518137e-05,0.0002566891772292754,0.016021522313103564,20.0,False,0.9732148263767701,0.34811076579212036,0.03441962222192964,0.13501811431081784,7011.675961518106,6899.834920983658,-0.0012376599922259424,0.09936083209666226,1.3650790163419515,-110.47596151810649,constant_log_futures,0.0060963755074822995,0.00866086781215685,1.0676637923614283
2022-07-22,IM2212,2022-12-16,6737.0,3921,3613,close,7034.598,False,0.014,,,99.0,0.4057377049180328,0.12053637454449517,False,,4,0.0,0.0,0.03441962222192964,0.0032243455848399967,0.045962383668059145,0.0,0.08435636867851942,0.05314866763614157,0.1719246585365906,8.156935428871564e-06,0.0003412931041907666,-4.638043119518137e-05,0.0002566891772292754,0.016021522313103564,20.0,False,0.9338529820255261,0.14712161594326315,0.03441962222192964,0.12101538653307024,6976.557047567335,6735.690769554734,-0.00047901198857507044,0.08611675232256553,1.3092304452657118,-239.55704756733485,constant_log_futures,0.0024016024726445425,0.0038125046980036696,1.3947052939320954
2022-07-22,IM2303,2023-03-17,6588.0,3703,3338,close,7034.598,False,0.014,,,158.0,0.6475409836065574,0.11529201922600309,False,,4,0.0,0.0,0.03441962222192964,0.0032243455848399967,0.045962383668059145,0.0,0.08435636867851942,0.05314866763614157,0.1719246585365906,8.156935428871564e-06,0.0003412931041907666,-4.638043119518137e-05,0.0002566891772292754,0.016021522313103564,20.0,False,0.8972127555228049,0.09228585888760799,0.03441962222192964,0.11501010265141502,6942.194978377215,6589.202765887834,0.00028191657458806474,0.08087239700407345,-1.2027658878341754,-354.1949783772152,constant_log_futures,0.0015048015493152511,0.0029892796318123217,1.479166437362651
2022-07-25,IM2208,2022-08-19,6878.6,22883,18747,close,6948.909,False,0.014,,,19.0,0.0778688524590164,0.1445981229888313,False,0.004098360655737705,4,0.08423846292803298,0.049625894503415736,0.16828397965337838,1.7141251172290842e-05,0.006188537007764291,-4.324573728266264e-05,0.08386076032752987,0.03940788440718188,0.1576882669566414,5.568448563258948e-06,0.0002545607065148857,-3.1397680298010346e-05,0.00019733379448212395,0.014047554750992215,19.0,False,0.9868293934433414,0.5589235200137025,0.1452856931374776,0.13920187893879857,6878.231727561808,6881.490990477074,0.0053962440500327225,-0.0006875701486463159,-2.890990477073501,0.3682724381924345,constant_log_futures,0.012513612883779458,0.002058848906638898,-0.01515321464930565
2022-07-25,IM2209,2022-09-16,6823.0,6248,6213,close,6948.909,False,0.014,,,38.0,0.1557377049180328,0.1314115864451097,False,0.004098360655737705,4,0.08423846292803298,0.049625894503415736,0.16828397965337838,1.7141251172290842e-05,0.006188537007764291,-4.324573728266264e-05,0.08386076032752987,0.03940788440718188,0.1576882669566414,5.568448563258948e-06,0.0002545607065148857,-3.1397680298010346e-05,0.00019733379448212395,0.014047554750992215,19.0,False,0.9738895638992212,0.35539391866054076,0.13409532326105592,0.1300960639911548,6820.1488615299595,6824.398015208283,0.001315522453954887,-0.0026837368159462194,-1.398015208283141,2.851138470040496,constant_log_futures,0.006256806441889729,0.0008071116464215452,-0.09446547591708475
2022-07-25,IM2212,2022-12-16,6670.0,2763,3461,close,6948.909,False,0.014,,,98.0,0.4016393442622951,0.11599401401957343,False,0.004098360655737705,4,0.08423846292803298,0.049625894503415736,0.16828397965337838,1.7141251172290842e-05,0.006188537007764291,-4.324573728266264e-05,0.08386076032752987,0.03940788440718188,0.1576882669566414,5.568448563258948e-06,0.0002545607065148857,-3.1397680298010346e-05,0.00019733379448212395,0.014047554750992215,19.0,False,0.934491293231742,0.14861096829548423,0.1205146846180835,0.118643216452028,6657.900407716925,6662.90673477283,-0.0026492024324545616,-0.004520670598510065,7.093265227170377,12.099592283075253,constant_log_futures,0.0024261086203245887,0.00014551865201899814,-0.37475163086239455
2022-07-25,IM2303,2023-03-17,6515.0,2829,3644,close,6948.909,False,0.014,,,157.0,0.6434426229508197,0.11420700519423466,False,0.004098360655737705,4,0.08423846292803298,0.049625894503415736,0.16828397965337838,1.7141251172290842e-05,0.006188537007764291,-4.324573728266264e-05,0.08386076032752987,0.03940788440718188,0.1576882669566414,5.568448563258948e-06,0.0002545607065148857,-3.1397680298010346e-05,0.00019733379448212395,0.014047554750992215,19.0,False,0.897817400511679,0.09287353712828655,0.11465931238676308,0.11337122167976309,6513.104191158432,6518.5045707274085,0.0008357835144715692,-0.0004523071925284228,-3.5045707274084634,1.895808841568396,constant_log_futures,0.0015143862725592976,6.22777466771444e-05,-0.0573148352777471
2022-07-26,IM2208,2022-08-19,6991.0,19269,20386,close,7027.419,False,0.014,,,18.0,0.07377049180327869,0.08443317630106531,False,0.004098360655737705,4,0.08374354729385292,0.03679587092534658,0.15495904044112913,1.4559995158420278e-05,0.006112921080065002,-2.92756190156735e-05,0.08479849433132304,-0.050142971930750714,0.06907514462250197,5.307801957293718e-06,0.00024586026256578127,-2.981533688248214e-05,0.00019153739075811072,0.013839703420164419,18.0,False,0.9875167896250506,0.5743502603047116,0.13825149924148022,0.0893599301281573,6963.299327825825,6988.459589354634,-0.004926753827091984,-0.053818322940414914,2.540410645366137,27.700672174175452,constant_log_futures,0.013208813599544983,0.0021719819219918873,-1.154787454983442
2022-07-26,IM2209,2022-09-16,6937.0,6357,7765,close,7027.419,False,0.014,,,37.0,0.15163934426229508,0.09940061449540678,False,0.004098360655737705,4,0.08374354729385292,0.03679587092534658,0.15495904044112913,1.4559995158420278e-05,0.006112921080065002,-2.92756190156735e-05,0.08479849433132304,-0.050142971930750714,0.06907514462250197,5.307801957293718e-06,0.00024586026256578127,-2.981533688248214e-05,0.00019153739075811072,0.013839703420164419,18.0,False,0.9745649280807622,0.3629338646226961,0.12938761400468526,0.09886267816479767,6905.527621539658,6937.565890211488,0.0005379363306091123,-0.02998699950927848,-0.5658902114882949,31.472378460342043,constant_log_futures,0.006425909318697559,0.0008396113471331399,-1.034889219466632
2022-07-26,IM2212,2022-12-16,6777.2,2658,4210,close,7027.419,False,0.014,,,97.0,0.3975409836065574,0.10519930215525243,False,0.004098360655737705,4,0.08374354729385292,0.03679587092534658,0.15495904044112913,1.4559995158420278e-05,0.006112921080065002,-2.92756190156735e-05,0.08479849433132304,-0.050142971930750714,0.06907514462250197,5.307801957293718e-06,0.00024586026256578127,-2.981533688248214e-05,0.00019153739075811072,0.013839703420164419,18.0,False,0.9351301930478073,0.15013017631018494,0.11825491235884758,0.10618928137946289,6742.116505247842,6774.533308150342,-0.0009899792242104577,-0.01305561020359515,2.6666918496575818,35.083494752158,constant_log_futures,0.0024511200494001,0.00014829971931914313,-1.072079546589101
2022-07-26,IM2303,2023-03-17,6624.0,1899,3684,close,7027.419,False,0.014,,,156.0,0.639344262295082,0.10646986950295019,False,0.004098360655737705,4,0.08374354729385292,0.03679587092534658,0.15495904044112913,1.4559995158420278e-05,0.006112921080065002,-2.92756190156735e-05,0.08479849433132304,-0.050142971930750714,0.06907514462250197,5.307801957293718e-06,0.00024586026256578127,-2.981533688248214e-05,0.00019153739075811072,0.013839703420164419,18.0,False,0.8984225990947136,0.09346874043385209,0.11309598134764279,0.10591770547041796,6595.997663673313,6626.338836536789,0.0005521640325322347,-0.006626111844692598,-2.338836536789131,28.002336326687328,constant_log_futures,0.0015240938768705749,6.256330414624507e-05,-0.8377200765486055
2022-07-27,IM2208,2022-08-19,7066.2,19290,21390,close,7099.434,False,0.014,,,17.0,0.06967213114754098,0.08134700645772011,False,0.004098360655737705,4,0.0846799706173358,-0.0468194208020192,0.07228017203724624,1.4300076660057153e-05,0.006105335769866779,-2.780022075232158e-05,0.08176629806982703,-0.05807103829009671,0.058114882001659963,5.333360038734957e-06,0.00024683136464637156,-2.989162781382218e-05,0.00019238146905746216,0.013870164709096362,17.0,False,0.9882048257258657,0.590417533278589,0.09045777088884495,0.08093531337410685,7061.716037130909,7066.402686498452,0.00041169308361325985,-0.009110764431124838,-0.20268649845183973,4.483962869090647,constant_log_futures,0.013985802634812337,0.0023054036072684162,-0.18974980289412163
2022-07-27,IM2209,2022-09-16,7015.0,5374,7206,close,7099.434,False,0.014,,,36.0,0.14754098360655737,0.09509169881378786,False,0.004098360655737705,4,0.0846799706173358,-0.0468194208020192,0.07228017203724624,1.4300076660057153e-05,0.006105335769866779,-2.780022075232158e-05,0.08176629806982703,-0.05807103829009671,0.058114882001659963,5.333360038734957e-06,0.00024683136464637156,-2.989162781382218e-05,0.00019238146905746216,0.013870164709096362,17.0,False,0.9752409195773798,0.37074201576029264,0.09964506819169572,0.0926320881490223,7010.288845368146,7017.54615900221,0.002459610664765563,-0.004553369377907859,-2.546159002209606,4.711154631853788,constant_log_futures,0.0066044067997724915,0.0008762920854016783,-0.15381845254618204
2022-07-27,IM2212,2022-12-16,6856.6,2693,4272,close,7099.434,False,0.014,,,96.0,0.39344262295081966,0.10245856670700011,False,0.004098360655737705,4,0.0846799706173358,-0.0468194208020192,0.07228017203724624,1.4300076660057153e-05,0.006105335769866779,-2.780022075232158e-05,0.08176629806982703,-0.05807103829009671,0.058114882001659963,5.333360038734957e-06,0.00024683136464637156,-2.989162781382218e-05,0.00019238146905746216,0.013870164709096362,17.0,False,0.9357696820872444,0.15168011182080102,0.10655899642303576,0.10212582339079067,6845.5472761287965,6857.497693312546,0.000332743316209444,-0.00410042971603565,-0.8976933125459254,11.052723871203852,constant_log_futures,0.0024766525499146843,0.0001512286698692937,-0.3334358607716908
2022-07-27,IM2303,2023-03-17,6715.0,1124,3785,close,7099.434,False,0.014,,,155.0,0.6352459016393442,0.10163729516533461,False,0.004098360655737705,4,0.0846799706173358,-0.0468194208020192,0.07228017203724624,1.4300076660057153e-05,0.006105335769866779,-2.780022075232158e-05,0.08176629806982703,-0.05807103829009671,0.058114882001659963,5.333360038734957e-06,0.00024683136464637156,-2.989162781382218e-05,0.00019238146905746216,0.013870164709096362,17.0,False,0.8990283518464637,0.09407161378832116,0.10614493816895958,0.10246700612592013,6695.7993576602275,6711.461654238795,-0.0008297109605855252,-0.004507643003624967,3.5383457612051643,19.200642339772457,constant_log_futures,0.0015339267405923207,6.32376743846711e-05,-0.5668414084348418
2022-07-28,IM2208,2022-08-19,7119.0,22464,24584,close,7150.198,False,0.014,,,16.0,0.06557377049180328,0.08068493325382547,False,0.004098360655737705,4,0.08165201248725103,-0.05422200307291404,0.061849631636266625,1.4325563345850159e-05,0.0061061824060336806,-2.7871355441861156e-05,0.0767427571000566,-0.06141655418096843,0.0497458251410178,5.405273016887809e-06,0.0002495433066842731,-3.0247166683615895e-05,0.00019445424633392913,0.013944685236100854,16.0,False,0.9888935024166,0.6071568634075666,0.08224350551638535,0.07302055367789334,7118.272464985602,7122.5787824016825,0.007664379575932134,-0.0015585722625598708,-3.5787824016824743,0.7275350143981996,constant_log_futures,0.014859915299488106,0.0024523372898131134,-0.03147290580598966
