model,sample,n_carry,carry_rmse,carry_mae,carry_rmse_bps,carry_mae_bps,n_price,futures_rmse_points,futures_mae_points,carry_mean_bias,futures_mean_bias,observation_noise_model
two_factor_ou,in_sample,2931,0.012281983538846799,0.005444809966731631,122.81983538846798,54.448099667316306,2931,4.648206787325651,3.4449346945771224,0.0005382463586473308,-0.0836547120366139,constant_log_futures
two_factor_ou,out_of_sample,736,0.03461676805584435,0.020541642942964743,346.16768055844346,205.41642942964742,736,31.802414411791343,23.433803977861835,0.0001019351101546941,0.4513971553608458,constant_log_futures
one_factor_ou,in_sample,2931,0.03130123485463586,0.01564232721815467,313.01234854635857,156.42327218154668,2931,14.431850803043204,10.928636608110592,0.001612821329875794,-0.1066285053433926,constant_log_futures
one_factor_ou,out_of_sample,736,0.03815247158256525,0.024488087743705884,381.52471582565255,244.88087743705884,736,36.62204232179192,28.310214115963564,-0.012775400711215412,6.087132379712285,constant_log_futures
flat_same_day,in_sample,2931,0.028411743775386578,0.01726870464147355,284.1174377538658,172.6870464147355,2931,46.48873054996005,24.99733276071273,-1.8229096915757645e-19,5.280432216837677,constant_log_futures
flat_same_day,out_of_sample,736,0.023223403125645817,0.01587700758073739,232.23403125645817,158.7700758073739,736,51.8991885247313,30.31988186811402,-3.7711379912539284e-20,-4.355366275864403,constant_log_futures
previous_day_level,in_sample,2927,0.040046040902852936,0.02533369739284012,400.46040902852934,253.3369739284012,2927,55.111250915125844,32.65312604107813,4.315719989781916e-05,5.161875685210464,constant_log_futures
previous_day_level,out_of_sample,736,0.037345006339383306,0.025805289809752815,373.45006339383303,258.05289809752816,736,66.83027752852844,42.087298289898925,0.00018187010438626658,-5.0034719685817715,constant_log_futures
ewma_level,in_sample,2927,0.0430337950307634,0.02581476960275834,430.337950307634,258.14769602758344,2927,42.43592694968483,28.18449079741376,0.00016129492231636077,5.910462440759187,constant_log_futures
ewma_level,out_of_sample,736,0.0377215769493077,0.025005799484619486,377.215769493077,250.05799484619484,736,46.0903485194028,33.63875574957508,-0.0010019120250969024,-2.361038844150105,constant_log_futures
