date,contract,expiry,sessions_to_expiry,tau,spot,futures_price,implied_carry,predicted_carry,fitted_carry,carry_prediction_error,carry_residual,predicted_futures_price,fitted_futures_price,futures_prediction_error,futures_residual,standardized_marginal_prediction_error,observation_noise_model,observation_noise_carry_sd
2022-07-22,IM2208,2022-08-19,20.0,0.08196721311475409,7034.598,6956.6,0.15002630138819212,0.08442746248420983,0.13533358680304422,0.06559883890398228,0.014692714585147898,6994.10606207769,6964.983025460819,-37.50606207768942,-8.383025460818317,0.5891276233044844,constant_log_futures,0.03545696898710417
2022-07-22,IM2209,2022-09-16,39.0,0.1598360655737705,7034.598,6901.2,0.1337804543185919,0.08442746248420983,0.13158385003350437,0.04935299183438206,0.002196604285087528,6955.854628580323,6903.623413164256,-54.65462858032333,-2.4234131642560897,0.49623804628399565,constant_log_futures,0.018183061019027776
2022-07-22,IM2212,2022-12-16,99.0,0.4057377049180328,7034.598,6737.0,0.12053637454449517,0.08442746248420983,0.12197606959209048,0.03610891206028534,-0.0014396950475953074,6836.4286568319285,6733.065807660285,-99.42865683192849,3.934192339715082,0.46183819423181316,constant_log_futures,0.007163024037798821
2022-07-22,IM2303,2023-03-17,158.0,0.6475409836065574,7034.598,6588.0,0.11529201922600309,0.08442746248420983,0.11504334067366562,0.030864556741793253,0.0002486785523374696,6720.992773307285,6589.060948123981,-132.99277330728455,-1.0609481239807792,0.48498708402459456,constant_log_futures,0.004488223922418248
2022-07-25,IM2208,2022-08-19,19.0,0.0778688524590164,6948.909,6878.6,0.1445981229888313,0.13511440219854406,0.1324684354085301,0.009483720790287226,0.012129687580301196,6883.681629055404,6885.100077910174,-5.081629055403937,-6.500077910173786,0.23627423071511158,constant_log_futures,0.03732312524958333
2022-07-25,IM2209,2022-09-16,38.0,0.1557377049180328,6948.909,6823.0,0.1314115864451097,0.13137558044784534,0.12892478815922925,3.6005997264360046e-05,0.0024867982858804427,6823.038260020938,6825.642979546295,-0.0382600209377415,-2.642979546294555,0.00155615290384999,constant_log_futures,0.018661562624791666
2022-07-25,IM2212,2022-12-16,98.0,0.4016393442622951,6948.909,6670.0,0.11599401401957343,0.12179727342171848,0.11984648927008057,-0.0058032594021450445,-0.003852475250507137,6654.471552620285,6659.687451814657,15.528447379714635,10.312548185343076,-0.44390507703714505,constant_log_futures,0.007236116119817176
2022-07-25,IM2303,2023-03-17,157.0,0.6434426229508197,6948.909,6515.0,0.11420700519423466,0.11488757791178739,0.11329749466163272,-0.0006805727175527299,0.000909510532601937,6512.147644225812,6518.813810091194,2.852355774188254,-3.8138100911937727,-0.06834395990123128,constant_log_futures,0.004516811335936836
2022-07-26,IM2208,2022-08-19,18.0,0.07377049180327869,7027.419,6991.0,0.08443317630106531,0.13226186813154364,0.11810366463498687,-0.04782869183047833,-0.033670488333921555,6966.376797420181,6973.656683959218,24.623202579819008,17.343316040782156,-1.1373485757623836,constant_log_futures,0.039396632207893516
2022-07-26,IM2209,2022-09-16,37.0,0.15163934426229508,7027.419,6937.0,0.09940061449540678,0.12872852172044394,0.11561613110344923,-0.029327907225037156,-0.01621551660804245,6906.217824304749,6919.963493416712,30.78217569525077,17.03650658328843,-1.2472671424385982,constant_log_futures,0.019165929182218468
