start_id,observation_noise_model,noise_parameter_name,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_epsilon,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_epsilon,log_likelihood,converged,iterations,message
3,constant_log_futures,sigma_log_futures,1.5,18.0,0.102431662393523,0.28514974509346236,0.6580378732926053,0.005513085656331904,0.34127983087835606,16.733586460116513,0.03441962222192964,0.04691277258673949,1.2402544263355926,0.0009744206753762693,11666.343328760082,True,38,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
7,constant_log_futures,sigma_log_futures,0.3827375932483699,1.5424571156535538,0.0912888771036335,1.0998021780869351,0.29777215935106366,0.003267959807287684,0.34127491180097363,16.733549024174803,0.03441861223757149,0.046912743141642725,1.2402504621646837,0.0009744212049638912,11666.343328752719,True,31,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2,constant_log_futures,sigma_log_futures,0.75,12.0,0.102431662393523,0.2193459577642018,0.5483648944105045,0.005513085656331904,0.3412853118537069,16.733572713153,0.034420301721677066,0.04691283582183797,1.240253372026139,0.0009744208074764923,11666.343328749974,True,33,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
0,constant_log_futures,sigma_log_futures,0.15,4.0,0.102431662393523,0.1096729788821009,0.32901893664630266,0.005513085656331904,0.341285794163087,16.733589023254833,0.03442064503273533,0.04691301632179743,1.240255182490926,0.0009744213918186519,11666.343328749597,True,25,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
10,constant_log_futures,sigma_log_futures,3.6313873516459405,6.903432857363258,0.07921665590503307,0.3325092072076622,0.705816217339608,0.00278778161227907,0.341277292111273,16.733638158745126,0.03441939684327529,0.04691277606191112,1.2402594723516445,0.0009744216446877545,11666.343328749448,True,34,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
11,constant_log_futures,sigma_log_futures,0.683568151012932,6.521215913045797,0.0982302694046904,0.3645776598292768,0.3720003449940457,0.005727658092788957,0.34127275328511525,16.73358455252841,0.03441798077012753,0.0469128723612599,1.2402524071497152,0.0009744214246660731,11666.34332874412,True,31,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1,constant_log_futures,sigma_log_futures,0.35,8.0,0.102431662393523,0.15354217043494126,0.4386919155284036,0.005513085656331904,0.34127787416850097,16.733591603687216,0.03441963831271664,0.04691251850016799,1.240249871601359,0.0009744212110466185,11666.343328729596,True,34,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
4,constant_log_futures,sigma_log_futures,3.0,25.0,0.102431662393523,0.35095353242272287,0.7677108521747062,0.005513085656331904,0.34126521976919083,16.733545446766307,0.034417557812171,0.04691269931965152,1.2402460339898143,0.0009744217555340307,11666.343328695835,True,37,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
9,constant_log_futures,sigma_log_futures,2.0683765532731546,9.793361060849696,0.0546720725458985,0.07835223640371963,0.6666388136843345,0.004137173867982315,2.0683765532731546,9.793361060849696,0.0546720725458985,0.07835223640371963,0.6666388136843345,0.004137173867982314,9270.524979430818,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
8,constant_log_futures,sigma_log_futures,1.6719627151010144,32.64543130974995,0.12166911243235597,0.1623359508379282,0.2558658126687645,0.005358077925578676,1.6719627151010144,32.64543130974995,0.12166911243235597,0.1623359508379282,0.2558658126687645,0.005358077925578676,8472.333946195036,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
6,constant_log_futures,sigma_log_futures,1.2776977012389195,41.252021781482064,0.12055444208639998,0.058565693035902436,0.6545279571024266,0.005756734095048568,1.2776977012389195,41.252021781482064,0.12055444208639998,0.058565693035902436,0.6545279571024266,0.00575673409504857,8347.362480575806,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
5,constant_log_futures,sigma_log_futures,5.0,35.0,0.102431662393523,0.4386919155284036,0.8773838310568072,0.005513085656331904,4.999999999999999,35.0,0.102431662393523,0.4386919155284036,0.8773838310568072,0.005513085656331903,8319.427745392797,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
