start_id,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_epsilon,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_epsilon,log_likelihood,converged,iterations,message
0,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.02824461285023894,2.576487522256377,62.576487522256365,0.10862241492335165,0.1149552687078265,3.8851718110983695,0.005927944735065805,5348.4299296887975,True,35,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,0.3827375932483699,1.5424571156535538,0.11390447272159922,1.2356453677514723,0.334551791839069,0.016742395333722206,2.576487608185855,62.57648760818584,0.10862241165019698,0.11495533882636039,3.8851709424110075,0.005927945682138624,5348.429929688739,True,26,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,1.6719627151010144,32.64543130974995,0.14428470805032168,0.18238704165992373,0.2874693399317251,0.027450478019612718,2.5764916881954605,62.576491688195446,0.10862242241581148,0.1149552475377241,3.885172650308518,0.005927944698496312,5348.429929688694,True,33,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,1.5,18.0,0.12504725801148872,0.32037030718846093,0.7393160935118328,0.02824461285023894,2.5764933520008677,62.57649335200085,0.1086224303136711,0.11495544081402655,3.885173167779398,0.005927945753058058,5348.429929688689,True,31,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,1.2776977012389195,41.252021781482064,0.1431700377043657,0.06579949444621595,0.7353726464374377,0.02949287131239679,2.5764890108885226,62.57648901088851,0.10862241983036217,0.11495549744773251,3.885171658554252,0.0059279444681331755,5348.429929688591,True,37,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,3.6313873516459405,6.903432857363258,0.1018322515229988,0.37357942165157726,0.7929958285376424,0.014282348807587051,2.5764894261736835,62.576489426173666,0.10862242024399675,0.11495513394541576,3.8851735815527966,0.0059279454775085375,5348.429929688517,True,33,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,3.0,25.0,0.12504725801148872,0.3943019165396442,0.8625354424304716,0.02824461285023894,2.5764805415813687,62.576480541581354,0.10862239297301308,0.11495488489670486,3.8851685473296524,0.00592794628629627,5348.429929685446,True,27,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,2.0683765532731546,9.793361060849696,0.07728766816386423,0.08802999293348511,0.7489793878433945,0.0211955484604303,2.5764848252955583,62.576484825295545,0.10862232857083401,0.11495529241698103,3.8851772325471536,0.005927949241537975,5348.429929684347,True,29,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,0.683568151012932,6.521215913045797,0.12084586502265612,0.409608841962221,0.41794834766867295,0.029343909283099788,2.576499255437343,62.57649925543733,0.10862252952582961,0.11495567844123981,3.885166783815611,0.005927945867716191,5348.4299296843155,True,29,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.02824461285023894,2.5764873659869103,62.57648736598689,0.10862241027249006,0.11495555143467304,3.88517132905142,0.005927956376124035,5348.429929683867,True,32,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.02824461285023894,2.57647307463934,62.576473074639324,0.10862235156295943,0.11495473221288721,3.885163658785798,0.005927940106281622,5348.429929677436,True,31,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,5.0,35.0,0.12504725801148872,0.49287739567455524,0.9857547913491105,0.02824461285023894,2.5764782069104024,62.57647820691039,0.10862237487404827,0.11495453420963649,3.885159843759036,0.005927941415401034,5348.429929676469,True,40,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
