elapsed_sessions,remaining_sessions,exercise_grid_fraction,maximum_normalized_exercise_value,maximum_normalized_continuation_value
1,87,0.24079336542365018,0.08721002181645121,0.07858417683740684
2,86,0.24143959039278878,0.08690590504403006,0.07827806615139637
3,85,0.24203610574891674,0.08659668859403313,0.0779668803182947
4,84,0.24259948136303758,0.08628231039049539,0.07765055760560444
5,83,0.243179426848162,0.08596270756386826,0.07732903549223678
6,82,0.24376765726878816,0.0856378164397652,0.07700225065734159
7,81,0.2443724575604179,0.08530757252752197,0.07667013896895067
8,80,0.24500211265855296,0.08497191050856545,0.0763326354724344
9,79,0.24564833762769156,0.0846307642245876,0.07598967437876306
10,78,0.2463608420808444,0.08428406666551869,0.07564118905256992
11,77,0.24699878211448123,0.08393174995729291,0.0752871120000082
12,76,0.24768643176112873,0.08357374534940076,0.0749273748563975
13,75,0.24837408140777625,0.08320998320221973,0.07456190837364852
14,74,0.2490700159899255,0.08284039297411416,0.07419064240746046
15,73,0.24981566018508547,0.0824649032082937,0.07381350590427835
16,72,0.25054473450924186,0.08208344151941727,0.0734304268879984
17,71,0.25126552389789647,0.08169593457992841,0.07304133244640455
18,70,0.2520525927705653,0.08130230810609973,0.07264614871732035
19,69,0.2528479465787359,0.08090248684376866,0.07224480087444929
20,68,0.2536515853224083,0.08049639455372914,0.07183721311287768
21,67,0.2545132186145931,0.08008395399674884,0.07142330863420186
22,66,0.2553582820357744,0.07966508691816132,0.07100300963123604
23,65,0.2562613400054681,0.07923971403198005,0.07057623727224024
24,64,0.2571146883621511,0.07880775500445547,0.07014291168459823
25,63,0.2580674559448555,0.07836912843698574,0.06970295193784831
26,62,0.2590616482050687,0.0779237518482585,0.06925627602594962
27,61,0.259981276045766,0.07747154165546966,0.06880280084862837
28,60,0.2610500327254952,0.07701241315442198,0.06834244219160554
29,59,0.2621187894052245,0.07654628049824774,0.06787511470545393
30,58,0.2631709762139502,0.07607305667442765,0.06740073188275339
31,57,0.26426458770018474,0.07559265347968214,0.06691920603312367
32,56,0.2654327636059353,0.07510498149218936,0.06643044825558657
33,55,0.26658436964068233,0.07460995004042303,0.06593436840755555
34,54,0.2677939702239418,0.07410746716770156,0.06543087506953882
35,53,0.26908642016221906,0.07359743959126708,0.06491987550438175
36,52,0.27039543997149984,0.07307977265437604,0.06440127560952691
37,51,0.2716961748452788,0.07255437026943168,0.06387497986032513
38,50,0.2731957481711005,0.07202113484961292,0.06334089124185423
39,49,0.2746041872064026,0.07147996722570982,0.06279891116595725
40,48,0.2761783249517403,0.07093076654390695,0.06224893936924534
41,47,0.2776861832130637,0.07037343013900754,0.06169087378656181
42,46,0.27941773473293513,0.0698078533759724,0.06112461039278638
43,45,0.28109957663979585,0.06923392945055451,0.060550043003767366
44,44,0.28283112815966727,0.06865154913709903,0.059967063024461933
45,43,0.28472009345407245,0.06806060046807438,0.05937555912885898
46,42,0.28669190810349543,0.06746096832535864,0.05877541685172514
47,41,0.28866372275291835,0.06685253391743151,0.05816651806634516
48,40,0.29080952104787866,0.06623517410902413,0.05754874031483125
49,39,0.2930298837623549,0.06560876055993314,0.05692195594774353
50,38,0.2953745205093578,0.0649731586169765,0.05628603101704125
51,37,0.2978848559663963,0.06432822588658238,0.05564082384991112
52,36,0.30044490103644544,0.06367381039416897,0.05498618320970736
53,35,0.30330320378455855,0.0630097482088613,0.054321945922640176
54,34,0.30613665172616633,0.06233586037634442,0.05364793381313954
55,33,0.30920207786182385,0.06165194895638615,0.052963949744590136
56,32,0.3124746273850258,0.06095779190167283,0.05226977250229057
57,31,0.3159543002957722,0.06025313643706742,0.0515651501780225
58,30,0.31959967191655414,0.059537690498027596,0.05084979161532718
59,29,0.32344388198937873,0.05881111165697339,0.0501233553447492
60,28,0.3276526292242815,0.05807299279814315,0.04938543527019649
61,27,0.33209335465323403,0.057322843583608285,0.048635542149886024
62,26,0.3365257951466848,0.056560066470973336,0.04787307963344489
63,25,0.3410245151241498,0.05578392567785495,0.04709731325161868
64,24,0.34553980497261827,0.054993507014826415,0.04630733028205063
65,23,0.3500550948210868,0.054187665895107595,0.04550198780173046
66,22,0.35460352441156245,0.05336496003422153,0.044679845442362816
67,21,0.359193378679547,0.05252356232196087,0.04383907833496292
68,20,0.36384951243154573,0.05166114801172572,0.042977364393920026
69,19,0.36847250644153734,0.05077474863646647,0.04209173835654834
70,18,0.3731617799355432,0.04986056280556628,0.041178402741355445
71,17,0.37803332201058815,0.04891371110487053,0.04023248295890304
72,16,0.3828302996661171,0.04792791850442679,0.03924770999517609
73,15,0.3876769869346567,0.04689510269982489,0.03821600911356389
74,14,0.39263137836471945,0.045804840306671535,0.03712696652170991
75,13,0.39774318356931593,0.04464367430253291,0.035967137432977206
76,12,0.4029212682579266,0.04339421490284456,0.034719147756195855
77,11,0.4083230462050853,0.04203397126082864,0.03336052686685769
78,10,0.41384081324926886,0.04053383174476932,0.03186218929817468
79,9,0.4196899777135235,0.03885608431636833,0.030186456991251106
80,8,0.4258456847913439,0.03695183321853979,0.028284478471169664
81,7,0.43230793448273,0.034757620174071024,0.026092853370170054
82,6,0.43933355978823707,0.032190992286347586,0.023529204798035486
83,5,0.44700541006288264,0.029144666844961864,0.020486350203407742
84,4,0.4555968881782255,0.02547881306308819,0.016824591393116997
85,3,0.46555538065136165,0.021010783345912,0.012361457256149748
86,2,0.47763481661295265,0.015501351650906936,0.006857958183910578
87,1,0.4938070107124216,0.008636104544302858,0.0
