date,contract,expiry,futures_price,volume,hold,price_source,spot,spot_duplicate,risk_free_rate,quality_flags,exclusion_reasons,source_expiry,expiry_source,expiry_calendar_source,sessions_to_expiry,tau,implied_carry,excluded,delta,n_contracts,predicted_slow_state,predicted_fast_state,predicted_instantaneous_carry,predicted_var_slow,predicted_var_fast,predicted_cov_slow_fast,filtered_slow_state,filtered_fast_state,filtered_instantaneous_carry,filtered_var_slow,filtered_var_fast,filtered_cov_slow_fast,filtered_instantaneous_variance,filtered_instantaneous_std,slow_loading,fast_loading,predicted_carry,fitted_carry,predicted_futures_price,fitted_futures_price,carry_residual,carry_prediction_error,futures_residual,futures_prediction_error,marginal_prediction_variance,standardized_marginal_prediction_error
2024-08-05,IM2408,2024-08-16,4670.6,107524,95315,close,4678.775,False,0.014,,,2024-08-16,demo_contract_code_inference,chinese_calendar,9.0,0.036885245901639344,0.06141138093555545,False,,4,0.0,0.0,0.10862241492335165,0.0025644823989125548,0.1206088788251718,0.0,0.0009235812224175355,-0.1188297039477848,-0.009283707802015623,4.756692756974082e-05,0.0006455617763537341,-0.0001444474007804638,0.00040423390236254736,0.020105568939041425,0.9539529738844311,0.3901632034779244,0.10862241492335165,0.0631404900164996,4662.473738624511,4670.302125106252,-0.0017291090809441537,-0.0472110339877962,0.2978748937484852,8.126261375489776,0.020728853933909778,-0.3279109100945399
2024-08-05,IM2409,2024-09-20,4625.0,73711,115943,close,4678.775,False,0.014,,,2024-09-20,demo_contract_code_inference,chinese_calendar,32.0,0.13114754098360656,0.10214463831075601,False,,4,0.0,0.0,0.10862241492335165,0.0025644823989125548,0.1206088788251718,0.0,0.0009235812224175355,-0.1188297039477848,-0.009283707802015623,4.756692756974082e-05,0.0006455617763537341,-0.0001444474007804638,0.00040423390236254736,0.020105568939041425,0.8485746925477539,0.12181763729408362,0.10862241492335165,0.09493058879993291,4621.0725253271685,4629.377805554177,0.007214049510823106,-0.0064777766125956315,-4.37780555417703,3.927474672831522,0.0036715503631749606,-0.10690578879537592
2024-08-05,IM2412,2024-12-20,4523.8,25448,73521,close,4678.775,False,0.014,,,2024-12-20,demo_contract_code_inference,chinese_calendar,92.0,0.3770491803278688,0.10333575956510294,False,,4,0.0,0.0,0.10862241492335165,0.0025644823989125548,0.1206088788251718,0.0,0.0009235812224175355,-0.1188297039477848,-0.009283707802015623,4.756692756974082e-05,0.0006455617763537341,-0.0001444474007804638,0.00040423390236254736,0.020105568939041425,0.6397271777695427,0.04238291438058082,0.10862241492335165,0.10417690576392104,4514.791559331523,4522.365488557636,-0.0008411461988181018,-0.00528665535824871,1.4345114423640553,9.008440668477306,0.001301308268822747,-0.14655171483495666
2024-08-05,IM2503,2025-03-21,4442.8,9192,17413,close,4678.775,False,0.014,,,2025-03-21,demo_contract_code_inference,chinese_calendar,150.0,0.6147540983606558,0.09818246475608636,False,,4,0.0,0.0,0.10862241492335165,0.0025644823989125548,0.1206088788251718,0.0,0.0009235812224175355,-0.1188297039477848,-0.009283707802015623,4.756692756974082e-05,0.0006455617763537341,-0.0001444474007804638,0.00040423390236254736,0.020105568939041425,0.5018150023352999,0.025994854154895088,0.10862241492335165,0.10599692101324391,4414.377405736904,4421.508110217332,-0.007814456257157557,-0.010439950167265288,21.291889782668477,28.42259426309647,0.0007624234503366176,-0.37809445031068944
2024-08-06,IM2408,2024-08-16,4729.8,88344,84545,close,4749.947,False,0.014,,,2024-08-16,demo_contract_code_inference,chinese_calendar,8.0,0.03278688524590164,0.14364152422237203,False,0.004098360655737705,4,0.0009138800909456741,-0.09194866153222463,0.017587633482072693,0.00010016369282741608,0.0487816255639616,-0.00011059722997260542,-0.0018210183733431654,0.08901177425701169,0.19581317080702015,3.151103898788535e-05,0.00042102783686926576,-8.784038147315802e-05,0.0002768581129108351,0.016639053846623463,0.958927138389623,0.42476350371791655,0.07044232370919287,0.14468514409120328,4741.165028449345,4729.638162989936,-0.0010436198688312526,0.07319920051317916,0.16183701006411866,-11.365028449345118,0.008838526531131005,0.7786035916062484
2024-08-06,IM2409,2024-09-20,4683.2,54462,110725,close,4749.947,False,0.014,,,2024-09-20,demo_contract_code_inference,chinese_calendar,31.0,0.12704918032786885,0.12538854337791178,False,0.004098360655737705,4,0.0009138800909456741,-0.09194866153222463,0.017587633482072693,0.00010016369282741608,0.0487816255639616,-0.00011059722997260542,-0.0018210183733431654,0.08901177425701169,0.19581317080702015,3.151103898788535e-05,0.00042102783686926576,-8.784038147315802e-05,0.0002768581129108351,0.016639053846623463,0.8528175625097161,0.1257372068941286,0.09784042003622256,0.11826151034867907,4699.619760611032,4687.442481744247,0.007127033029232704,0.027548123341689212,-4.242481744247016,-16.41976061103196,0.0008555004297184027,0.9418503484348185
2024-08-06,IM2412,2024-12-20,4584.0,20444,72105,close,4749.947,False,0.014,,,2024-12-20,demo_contract_code_inference,chinese_calendar,91.0,0.3729508196721312,0.1093516624749281,False,0.004098360655737705,4,0.0009138800909456741,-0.09194866153222463,0.017587633482072693,0.00010016369282741608,0.0487816255639616,-0.00011059722997260542,-0.0018210183733431654,0.08901177425701169,0.19581317080702015,3.151103898788535e-05,0.00042102783686926576,-8.784038147315802e-05,0.0002768581129108351,0.016639053846623463,0.6425754478639911,0.042848660691745886,0.10526977483303056,0.11126630853924108,4590.983736352582,4580.727876932958,-0.0019146460643129776,0.004081887641897541,3.27212306704223,-6.983736352582127,0.00015997162290140102,0.32273017300737866
2024-08-06,IM2503,2025-03-21,4504.8,7545,17451,close,4749.947,False,0.014,,,2025-03-21,demo_contract_code_inference,chinese_calendar,149.0,0.610655737704918,0.10077551336936333,False,0.004098360655737705,4,0.0009138800909456741,-0.09194866153222463,0.017587633482072693,0.00010016369282741608,0.0487816255639616,-0.00011059722997260542,-0.0018210183733431654,0.08901177425701169,0.19581317080702015,3.151103898788535e-05,0.00042102783686926576,-8.784038147315802e-05,0.0002768581129108351,0.016639053846623463,0.5037985987139285,0.026169316263317206,0.10667659282893714,0.11003436569031977,4488.596040173878,4479.401857955543,-0.00925885232095644,-0.005901079459573813,25.398142044457018,16.203959826122627,9.105440937940841e-05,-0.6184163622022862
2024-08-07,IM2408,2024-08-16,4719.0,74151,80158,close,4743.41,False,0.014,,,2024-08-16,demo_contract_code_inference,chinese_calendar,7.0,0.028688524590163935,0.1938410224410432,False,0.004098360655737705,4,-0.0018018907230362056,0.06887599002297545,0.1756965142232909,8.444332914195004e-05,0.048647187332893645,-6.725564335652737e-05,0.0023718610042930883,0.18224261210996368,0.2932368880376084,2.8755201857242257e-05,0.000335488401740483,-7.324208018041504e-05,0.00021775944323689517,0.014756674531780362,0.9639361928727971,0.46451519732579,0.13887945133634688,0.19556320051528053,4726.446629821786,4718.766855315548,-0.0017221780742373294,0.05496157110469632,0.2331446844518723,-7.446629821785791,0.010550189938487114,0.5350926672031953
2024-08-07,IM2409,2024-09-20,4669.0,46027,109681,close,4743.41,False,0.014,,,2024-09-20,demo_contract_code_inference,chinese_calendar,30.0,0.12295081967213115,0.1425991455139082,False,0.004098360655737705,4,-0.0018018907230362056,0.06887599002297545,0.1756965142232909,8.444332914195004e-05,0.048647187332893645,-6.725564335652737e-05,0.0023718610042930883,0.18224261210996368,0.2932368880376084,2.8755201857242257e-05,0.000335488401740483,-7.324208018041504e-05,0.00021775944323689517,0.014756674531780362,0.8570895680933034,0.12991505065384465,0.11602606091446177,0.13433137043065346,4684.279421983915,4673.748590411068,0.008267775083254741,0.026573084599446434,-4.748590411068108,-15.2794219839152,0.000903258491623133,0.8841703429749609
