eta_fast_fixed,kappa_slow,kappa_fast,kappa_fast_minus_slow,kappa_fast_minus_slow_at_upper_bound,theta,eta_slow,sigma_epsilon,log_likelihood,converged,carry_rmse_bps,futures_rmse_points,latest_slow_state,latest_fast_state,latest_instantaneous_carry,option_price,normalized_option_price,model_initial_carry,model_initial_futures,initial_futures_model_error,log_likelihood_below_profile_max,likelihood_ratio_vs_profile_max,relative_likelihood,log_likelihood_difference_from_cap6_fit,option_price_difference_from_cap6_fit
2.0,2.301018181011704,39.77869416193768,37.47767598092597,False,0.10803749070502529,0.1048116164161001,0.006226861924135203,5257.548130483689,True,49.18529574902727,9.888567123442378,0.019423546722581474,0.12790112396096204,0.2553621613885688,55.26154981593882,0.007145366479517297,0.1288853516222022,7420.001074131115,6.801074131115456,-90.88179920527637,181.76359841055273,3.3926268878388634e-40,-90.88179920507264,-8.595978200302284
3.0,2.4735181821809094,51.920691658867135,49.447173476686224,False,0.10839920075047794,0.11053520537581994,0.005977332154834997,5336.238146206257,True,47.24226721687025,9.966281406254526,0.020773086795262678,0.14886710587854762,0.27803939342428824,61.33720111022988,0.007930953478869636,0.12841401058296473,7421.262521057128,8.062521057127924,-12.19178348270907,24.38356696541814,5.071958704554168e-06,-12.191783482505343,-2.5203269060112277
3.25,2.5074675752314053,55.112358903845276,52.604891328613874,False,0.10847189290533776,0.11197593670487163,0.005954664966584591,5342.194278396806,True,47.042651477278866,9.992238338801618,0.021051375467174394,0.15451325881681086,0.28403652718932304,62.03613905314374,0.008021326763100602,0.12834741601904923,7421.440764940386,8.240764940385816,-6.235651292159673,12.471302584319346,0.0019583533387120358,-6.235651291955946,-1.8213889630973625
3.5,2.5388265613039134,58.42200794223813,55.88318138093422,False,0.10853940144956135,0.11341456038346516,0.005939605009370541,5345.835853724336,True,46.897430082862044,10.01834395513126,0.02131188502621672,0.16045087126829966,0.29030215774407775,62.44442054187478,0.008074117914877976,0.1282985649282533,7421.571520198564,8.371520198564212,-2.594075964630065,5.18815192926013,0.07471488338183446,-2.594075964426338,-1.4131074743663277
3.75,2.5677081058066564,61.85564654645368,59.28793844064702,False,0.108601824867381,0.11483257294123764,0.005930167645417782,5347.925871338032,True,46.792866416436134,10.043999546211419,0.021554553282151123,0.16670611292365084,0.29686249107318297,62.601139057635415,0.008094381755341473,0.1282652726766397,7421.660631851271,8.4606318512715,-0.5040583509335193,1.0081167018670385,0.6040741335378527,-0.5040583507297924,-1.2563889586056902
3.8851735323201564,2.5764904492395964,62.576490449239586,59.999999999999986,True,0.10862242727988249,0.1149553623232369,0.005927945134180276,5348.429929688966,True,46.78087533627364,10.0539858083312,0.021569501545427007,0.16815530087551817,0.29834722970082767,63.857511142505516,0.008256831759203703,0.1281697154375701,7421.916410927334,8.716410927334437,0.0,0.0,1.0,2.0372681319713593e-10,-1.6873735589229e-05
4.0,2.580674762614219,62.58067476261421,59.999999999999986,True,0.10863369316224876,0.11476444044211367,0.005927037855281157,5348.056688090956,True,46.78842388046042,10.060261037309717,0.021528703762633807,0.16831676814509866,0.29847916506998123,65.58003600945739,0.008479555723432858,0.12804507191053519,7422.250058827467,9.050058827467183,-0.37324159800937196,0.7464831960187439,0.688498872791515,-0.37324159780564514,1.7225079932162828
5.0,2.6100299426091644,62.61002994260915,59.999999999999986,True,0.10871529554275988,0.1139925501697197,0.005925582715273505,5323.6388043436,True,46.852176047077876,10.101721299791652,0.021290500825195856,0.16923694491637342,0.29924274128432915,80.96853195158106,0.010469301639739467,0.12688000110687833,7425.369465472181,12.1694654721814,-24.7911253453658,49.5822506907316,1.711398166350351e-11,-24.791125345162072,17.11100393533995
6.0,2.6292771599499165,62.6292771599499,59.999999999999986,True,0.10877012156587679,0.11385570044220727,0.0059278845240091985,5281.603515734531,True,46.9007447814001,10.127134586717597,0.02116603108738141,0.16970119270497064,0.29963734535822883,96.67888085988419,0.012500663424647875,0.1255259622486012,7428.9964699182565,15.796469918256662,-66.82641395443443,133.65282790886886,9.498546960547872e-30,-66.8264139542307,32.82135284364308
8.0,2.6510292440138277,62.65102924401381,59.999999999999986,True,0.10883258523917275,0.11393458776581283,0.0059325839568544194,5188.655507157054,True,46.95964392455417,10.154666293973639,0.0210458236164371,0.17013721944533883,0.30001562830094863,128.1708557791955,0.016572603185869422,0.1221559658770884,7438.0312249249955,24.831224924995695,-159.77442253191202,319.54884506382405,4.081783305775178e-70,-159.7744225317083,64.3133277629544
10.0,2.6620542133184983,62.662054213318484,59.999999999999986,True,0.10886431394924322,0.11404889762310622,0.005935648285247628,5101.989565878651,True,46.99075640395434,10.168239054889826,0.020991450851698835,0.1703301661510343,0.3001859309519764,159.22636490335304,0.020588107539967294,0.1178599989623544,7449.564383271955,36.364383271955376,-246.44036381031492,492.88072762062984,9.38231217375305e-108,-246.4403638101112,95.36883688711194
