date,delta,n_contracts,predicted_slow_state,predicted_fast_state,predicted_instantaneous_carry,predicted_var_slow,predicted_var_fast,predicted_cov_slow_fast,filtered_slow_state,filtered_fast_state,filtered_instantaneous_carry,filtered_var_slow,filtered_var_fast,filtered_cov_slow_fast,filtered_instantaneous_variance,filtered_instantaneous_std
2024-08-05,,4,0.0,0.0,0.10862241492335165,0.0025644823989125548,0.1206088788251718,0.0,0.0009235812224175355,-0.1188297039477848,-0.009283707802015623,4.756692756974082e-05,0.0006455617763537341,-0.0001444474007804638,0.00040423390236254736,0.020105568939041425
2024-08-06,0.004098360655737705,4,0.0009138800909456741,-0.09194866153222463,0.017587633482072693,0.00010016369282741608,0.0487816255639616,-0.00011059722997260542,-0.0018210183733431654,0.08901177425701169,0.19581317080702015,3.151103898788535e-05,0.00042102783686926576,-8.784038147315802e-05,0.0002768581129108351,0.016639053846623463
2024-08-07,0.004098360655737705,4,-0.0018018907230362056,0.06887599002297545,0.1756965142232909,8.444332914195004e-05,0.048647187332893645,-6.725564335652737e-05,0.0023718610042930883,0.18224261210996368,0.2932368880376084,2.8755201857242257e-05,0.000335488401740483,-7.324208018041504e-05,0.00021775944323689517,0.014756674531780362
2024-08-08,0.004098360655737705,4,0.0023469474018105703,0.14101662884736935,0.25198599117253156,8.174508159677343e-05,0.04859597115429868,-5.6078345069681075e-05,0.004195157027362871,-0.11300382957063346,-0.00018625761991894474,2.7492456088837e-05,0.00027203967906287707,-6.365396829986189e-05,0.0001722241985519903,0.013123421754709794
2024-08-09,0.004098360655737705,3,0.004151091850549271,-0.08744068639269778,0.02533282038120313,8.050872381935044e-05,0.04855798164563071,-4.873713568185506e-05,0.0010183523956862365,0.24494342421653956,0.3545841915355774,5.036704535765277e-05,0.0041380408290139226,-0.00036148304012685497,0.0034654417941178653,0.05886800314362519
2024-08-12,0.004098360655737705,3,0.001007655804812098,0.18953358680189292,0.2991636575300567,0.0001029052956831972,0.050872724606536524,-0.0002767721863051579,-0.007018197541988391,0.05504416274185139,0.15664838012321464,5.9094171737328806e-05,0.0043709543798124625,-0.0004155203597813746,0.003599007831987042,0.05999173136347243
2024-08-13,0.004098360655737705,3,-0.006944479654056339,0.04259235629753947,0.14427029156683477,0.00011145004858915424,0.05101218007519755,-0.0003181462632123444,-0.011560390578222116,0.21155830035886555,0.3086203247039951,6.086456892357285e-05,0.004182790104674747,-0.00041482676906420476,0.0034140011354699103,0.05842945434855532
2024-08-14,0.004098360655737705,3,-0.01143896230949677,0.16370067338194924,0.26088412599580413,0.00011318344923487957,0.050899517943326616,-0.0003176152103056169,-0.009415039780502208,0.2427039498962518,0.34191132503910127,6.02466255561229e-05,0.0038803515507132985,-0.00039700815165481654,0.0031465818729597885,0.056094401440427086
2024-08-15,0.004098360655737705,3,-0.009316145891684962,0.18780071480570643,0.2871069838373731,0.00011257841922213317,0.05071843483270787,-0.0003039722529607831,-0.007401666599788011,0.1922470735681694,0.29346782189173304,5.890094411837111e-05,0.0035571710458117203,-0.00037455185377243934,0.0028669682823852126,0.053544077939443616
2024-08-16,0.004098360655737705,3,-0.007323920821666326,0.14875793266175028,0.2500564267634356,0.00011126085890783541,0.05052493261431551,-0.0002867784209651124,-0.007167738613863731,0.14935247255904757,0.2508071488685355,5.735809463880364e-05,0.003240968127333564,-0.0003513092745422228,0.0025957076728879225,0.05094808801994362
2024-08-19,0.004098360655737705,4,-0.007092449973340035,0.11556672693863708,0.2170966918886487,0.00010975025083360265,0.05033560818026188,-0.0002689825667898781,-0.003768916290197673,0.07055481973816542,0.1754083183713194,5.303194543282591e-05,0.002909976138163038,-0.0003374075975704969,0.00228819288845487,0.04783505919777742
2024-08-20,0.004098360655737705,4,-0.003729328269620617,0.05459427250969458,0.1594873591634256,0.00010551450651282954,0.05013742888663741,-0.0002583386441111753,0.00038476152228068307,0.09923199773411816,0.2082391741797505,5.071415439892888e-05,0.002612377956255754,-0.0003108536311060337,0.002041384848442616,0.04518168709159294
2024-08-21,0.004098360655737705,4,0.0003807200562760062,0.07678424728576463,0.1857873822653923,0.00010324515107890171,0.0499592439172002,-0.0002380074015973794,0.00010729087613099231,-0.0947766193331939,0.013953086466288747,4.882643255535365e-05,0.0023469702996143232,-0.0002876361929001782,0.0018205243463693204,0.04266760300707459
2024-08-22,0.004098360655737705,4,0.00010616391201585637,-0.0733367415950614,0.035391837240306104,0.00010139687754569239,0.04980033281470633,-0.00022023079683499694,0.0032132357861828238,-0.18441753345387166,-0.07258188274433719,4.706005760360479e-05,0.0021016573131857758,-0.0002658466967949578,0.001617023977199465,0.04021223665999524
2024-08-23,0.004098360655737705,4,0.0031794845339320962,-0.14269955070837206,-0.030897651251088315,9.966741508057726e-05,0.04965345326487448,-0.00020354750659428965,0.001119224684891569,-0.13341208629597126,-0.023670446687728053,4.534143622702746e-05,0.001873215130617549,-0.00024502186082537826,0.00142851284519382,0.03779567230773677
2024-08-26,0.004098360655737705,4,0.0011074685495878814,-0.10323229259686197,0.006497590876077555,9.798470826932398e-05,0.04951667499876339,-0.00018760281558271642,-0.0012115598012035274,-0.059432486483299476,0.04797836863884864,4.365484582680859e-05,0.0016608123911238531,-0.00022507309502039352,0.0012543210469098747,0.03541639517102037
2024-08-27,0.004098360655737705,4,-0.0011988337944028131,-0.04598797608780284,0.061435605041145994,9.633336307315595e-05,0.049389500244527644,-0.00017232889422807244,0.000438672106456103,-0.11798743482664967,-0.008926347796841913,4.199855977857522e-05,0.0014641163515469666,-0.00020599795800407242,0.001094118995317397,0.0330774696026978
