configuration,slow_grid_points,fast_grid_points,stationary_stddev_width,quadrature_order,minimum_half_width,exercise_tolerance,price,normalized_price,difference_from_fine
coarse,201,281,6.0,43,0.01,1e-12,63.961790100254554,0.008270315119183667,0.1483947275566777
base,301,401,6.0,43,0.01,1e-12,63.857528016241105,0.008256833940992398,0.04413264354322877
fine,401,501,6.0,43,0.01,1e-12,63.813395372697876,0.008251127551778259,0.0
