eta_fast_fixed,start_id,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_epsilon,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_epsilon,log_likelihood,converged,iterations,message
2.0,1,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.02824461285023894,2.3010173835708794,39.778679619552115,0.1080374779091399,0.10481155497633843,2.0,0.006226859975292662,5257.548130483895,True,24,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2.0,3,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.02824461285023894,2.3010154674437633,39.77868047001852,0.10803749263888295,0.10481125618695449,2.0,0.006226861135659468,5257.548130483875,True,23,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2.0,2,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.02824461285023894,2.3010192624738472,39.77869315333447,0.10803756718206228,0.10481141742697066,2.0,0.006226851705151869,5257.548130480765,True,26,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2.0,0,2.576487522256377,62.576487522256365,0.10862241492335165,0.1149552687078265,2.0,0.005927944735065805,2.301011320824607,39.77874184026388,0.10803745570371139,0.10481100988158154,2.0,0.006226866642646548,5257.54813047863,True,20,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.0,3,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.02824461285023894,2.473514938541938,51.920629842042786,0.10839918950746355,0.11053503568071434,3.0,0.005977327951030854,5336.238146206137,True,42,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.0,1,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.02824461285023894,2.4735201048974393,51.92075850343328,0.10839922073390118,0.11053524246863425,3.0,0.005977327813409645,5336.238146204815,True,35,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.0,2,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.02824461285023894,2.4735020408627197,51.92061307290494,0.10839915140340806,0.11053437775038819,3.0,0.0059773297066223275,5336.238146199968,True,29,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.0,0,2.576487522256377,62.576487522256365,0.10862241492335165,0.1149552687078265,3.0,0.005927944735065805,2.4735413142077043,51.92087452832163,0.10839952944936351,0.11053466279168855,3.0,0.0059773022256285,5336.238146131602,True,28,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.25,3,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.02824461285023894,2.507469340986868,55.11237200641975,0.10847189913402258,0.11197599276449575,3.25,0.005954664587280616,5342.194278396885,True,27,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.25,1,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.02824461285023894,2.5074686136562274,55.11233856444793,0.10847188858764975,0.11197589756965194,3.25,0.005954664984380917,5342.194278396698,True,26,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.25,0,2.576487522256377,62.576487522256365,0.10862241492335165,0.1149552687078265,3.25,0.005927944735065805,2.507472856042784,55.112381741838156,0.10847190514554404,0.11197617845623725,3.25,0.005954664934326985,5342.194278396513,True,29,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.25,2,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.02824461285023894,2.5074731209494447,55.11237890671665,0.10847191525138675,0.11197616713511437,3.25,0.0059546664399042,5342.194278396387,True,25,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
