study,cohort,scenario,option_side,scenario_role,entry_date,exit_date,exit_reason,initial_premium,option_payoff,option_cash_flow,option_pnl,futures_pnl,spot_pnl,financing,futures_costs,spot_costs,transaction_costs,total_pnl,discounted_total_pnl,daily_discounted_pnl_variance,daily_discounted_pnl_std,worst_daily_discounted_pnl,max_drawdown,turnover_contracts,spot_turnover_units,spot_turnover_notional,peak_abs_contracts,peak_borrowing,peak_spot_notional,max_condition_number,conditioning_warning_days,mean_residual_factor_variance,rms_residual_scale_exposure,max_abs_residual_scale_exposure,max_abs_spot_delta_residual,max_abs_futures_model_error,variance_reduction_vs_no_hedge
short_with_spot,2024-08-19,short_no_hedge,-1,primary,2024-08-19,2024-09-20,expiry,20.0854284212312,0.0,0.0,20.0854284212312,0.0,0.0,0.025369746199598035,0.0,0.0,0.0,20.110798167430804,20.085428421231207,2.5000622343875643,1.5811585102030612,-2.1840299132116314,3.419587053942049,0.0,0.0,0.0,0.0,0.0,0.0,119.94172821871415,0,14.132125840884925,10.196885368576641,20.37471536753471,0.004449303948271333,15.555999999999585,0.0
short_with_spot,2024-08-19,short_one_futures_spot,-1,primary,2024-08-19,2024-09-20,expiry,20.0854284212312,0.0,0.0,20.0854284212312,48.791326772022856,-70.28000743375264,-1.9185495573912146,0.0,0.0,0.0,-3.321801797889606,-3.317611349164687,1.3642253696227549,1.1680005863109637,-3.8030718852244116,6.431673764457977,1.7948234352068364,1.789867215870148,8121.627933151238,0.5412135836179708,2421.399651207962,2426.427657983491,119.94172821871415,0,0.0027553363452523464,6.855574260447693e-14,2.2737367544323206e-13,5.0579816682156483e-17,15.555999999999585,0.45432343608960335
short_with_spot,2024-08-19,short_two_futures_spot,-1,primary,2024-08-19,2024-09-20,expiry,20.0854284212312,0.0,0.0,20.0854284212312,47.8114986086257,-69.03746631610355,-1.889764717217465,0.0,0.0,0.0,-3.030304003463656,-3.026481278834059,1.2976128755391687,1.139128120774467,-3.7614498129435856,6.2949699578412925,1.8007939074478057,1.7766369415140393,8060.856255692393,0.5376727894105471,2405.0548697224667,2410.3112474851396,119.94172821871415,0,1.876727080249091e-31,1.1874202934156835e-13,4.547473508864641e-13,1.0137018307962163e-16,15.555999999999585,0.48096777044550554
short_with_spot,2024-08-19,short_one_futures_only,-1,control,2024-08-19,2024-09-20,expiry,20.0854284212312,0.0,0.0,20.0854284212312,48.791326772022856,0.0,0.07555722908889935,0.0,0.0,0.0,68.95231242234296,68.86532916829871,254.72556031416656,15.960124069510442,-24.03235275009748,48.87829251558863,1.7948234352068364,0.0,0.0,0.5412135836179708,0.0,0.0,119.94172821871415,0,0.0027553363452523464,1606.1009971749525,2426.427657983491,0.5408880677144488,15.555999999999585,-100.88768775852742
short_with_spot,2024-08-19,short_two_futures_only,-1,control,2024-08-19,2024-09-20,expiry,20.0854284212312,0.0,0.0,20.0854284212312,47.8114986086257,0.0,0.07448024404500889,0.0,0.0,0.0,67.97140727390187,67.88566143044943,247.05563695801297,15.718003593268865,-23.524698346331572,47.895242637948925,1.8007939074478057,0.0,0.0,0.5376727894105471,0.0,0.0,119.94172821871415,0,1.876727080249091e-31,1584.0987863493042,2410.31124748514,0.5372954717826209,15.555999999999585,-97.81979478744206
short_with_spot,2024-09-23,short_no_hedge,-1,primary,2024-09-23,2024-10-15,exercise,9.263830768243354,17.26696272022582,-17.26696272022582,-8.003131951982466,0.0,0.0,0.005848689508314877,0.0,0.0,0.0,-7.997283262474152,-7.992237389321209,32.78444783321457,5.725770501270075,-16.780016093644804,17.259749309461384,0.0,0.0,0.0,0.0,7.997283262474152,0.0,31.257258259968374,0,1.789585612937816,3.1150190532739264,9.263830768243354,0.0020728474109504807,115.67648761846158,0.0
short_with_spot,2024-09-23,short_one_futures_spot,-1,primary,2024-09-23,2024-10-15,exercise,9.263830768243354,17.26696272022582,-17.26696272022582,-8.003131951982466,-88.67284037687071,67.63741485428837,-0.23834650197496157,0.0,0.0,0.0,-29.276903976539757,-29.2584317605474,23.701304678973564,4.868398574374695,-14.757597477639118,29.276903976539856,0.8785581818783429,0.8778229638022146,4246.103493531401,0.30759771573719696,1364.811064725943,1374.0748954941864,31.257258259968374,0,0.0002864939403352511,0.0,0.0,0.0,115.67648761846158,0.2770564628829495
short_with_spot,2024-09-23,short_two_futures_spot,-1,primary,2024-09-23,2024-10-15,exercise,9.263830768243354,17.26696272022582,-17.26696272022582,-8.003131951982466,-86.53467249034246,65.78221397724518,-0.23237627031184227,0.0,0.0,0.0,-28.98796673539141,-28.96967682389173,23.46928536809053,4.84451084920764,-14.776638198417091,28.98796673539151,0.8616016129906333,0.8600007396218086,4160.251364187372,0.3010229976447223,1333.9001600764518,1343.1639908446953,31.257258259968374,0,8.304605522914815e-33,1.7138935651119233e-14,5.684341886080802e-14,1.0493992690980106e-17,115.67648761846158,0.28413357798531125
short_with_spot,2024-09-23,short_one_futures_only,-1,control,2024-09-23,2024-10-15,exercise,9.263830768243354,17.26696272022582,-17.26696272022582,-8.003131951982466,-88.67284037687071,0.0,-0.04974637151264005,0.0,0.0,0.0,-96.72571870036583,-96.66468976201631,437.19335154251894,20.90916907824218,-60.01733191543779,105.9358588559645,0.8785581818783429,0.0,0.0,0.30759771573719696,105.45104545032612,0.0,31.257258259968374,0,0.0002864939403352511,524.1343053706371,1374.0748954941864,0.3074589401331727,115.67648761846158,-12.335388589329533
short_with_spot,2024-09-23,short_two_futures_only,-1,control,2024-09-23,2024-10-15,exercise,9.263830768243354,17.26696272022582,-17.26696272022582,-8.003131951982466,-86.53467249034246,0.0,-0.04847320622802234,0.0,0.0,0.0,-94.58627764855294,-94.52659858713177,416.60683960082014,20.41094901274363,-58.72160557845733,103.16231928961098,0.8616016129906333,0.0,0.0,0.3010229976447223,102.6775058839726,0.0,31.257258259968374,0,8.304605522914815e-33,511.5957463426149,1343.1639908446953,0.30054240740758786,115.67648761846158,-11.707453293715306
short_with_spot,2024-10-21,short_no_hedge,-1,primary,2024-10-21,2024-11-08,exercise,21.083986302902506,8.581261325322885,-8.581261325322885,12.502724977579621,0.0,0.0,0.016943120979210684,0.0,0.0,0.0,12.519668098558835,12.509615354106101,11.270526000969284,3.3571604073933203,-6.087777347822287,6.091601603868767,0.0,0.0,0.0,0.0,0.0,0.0,26.39436353822313,0,21.479639828949363,12.813160471106386,21.083986302902506,0.00359759932998039,12.22653932774756,0.0
