date,n_contracts,front_carry,back_carry,inversion,hump_or_u_shape,material_slope_sign_changes,one_factor_shape_limitation
2022-07-22,4,0.15002630138819212,0.11529201922600309,True,False,0,False
2022-07-25,4,0.1445981229888313,0.11420700519423466,True,False,0,False
2022-07-26,4,0.08443317630106531,0.10646986950295019,False,False,0,False
2022-07-27,4,0.08134700645772011,0.10163729516533461,False,True,1,True
2022-07-28,4,0.08068493325382547,0.09645715483980874,False,False,0,False
2022-07-29,4,0.08370506404931596,0.09876675054281711,False,False,0,False
2022-08-01,4,0.12076986505582013,0.10645034998805881,True,False,0,False
2022-08-02,4,0.04040561523891662,0.09641594434062398,False,False,0,False
2022-08-03,4,0.11381417879964391,0.10588501711247286,True,True,1,True
2022-08-04,4,0.23664140094605227,0.11660146825463695,True,False,0,False
2022-08-05,4,0.0484492856555272,0.09971613885547899,False,False,0,False
2022-08-08,4,0.18038128264994963,0.11069648598012186,True,False,0,False
2022-08-09,4,0.2126753123802356,0.11394652074720557,True,False,0,False
2022-08-10,4,0.22573019599713995,0.11399372550391904,True,False,0,False
2022-08-11,4,0.06803521013122743,0.1037430307030214,False,False,0,False
2022-08-12,3,0.09680079811983722,0.10166883248024405,False,False,0,False
2022-08-15,3,0.11306877090968069,0.10450479291490916,True,False,0,False
2022-08-16,3,0.10769943596728589,0.10609581030641815,True,True,1,True
2022-08-17,3,0.0942994732123449,0.10170555019358224,False,False,0,False
2022-08-18,3,0.0719507945243916,0.09728297016521265,False,False,0,False
2022-08-19,3,0.09949974017992311,0.10024344887534736,False,False,0,False
2022-08-22,4,0.11888471176180514,0.10513538205655912,True,False,0,False
2022-08-23,4,0.11735417118002196,0.10869580995958716,True,True,1,True
2022-08-24,4,0.16555190572539455,0.11718122452056962,True,False,0,False
2022-08-25,4,0.1909399992229582,0.12218156375610459,True,False,0,False
2022-08-26,4,0.18608178342410814,0.12103182031657854,True,False,0,False
2022-08-29,4,0.20561250283151472,0.12335139663383421,True,False,0,False
2022-08-30,4,0.1183775595360935,0.115360981436212,True,True,1,True
2022-08-31,4,0.14761919353747,0.11837028224298161,True,True,1,True
2022-09-01,4,0.13964488161748165,0.11703025986443918,True,False,0,False
2022-09-02,4,0.20117883648945262,0.11895255744159865,True,False,0,False
2022-09-05,4,0.21176655583995946,0.11831504803599233,True,False,0,False
2022-09-06,4,0.21530106301810648,0.11535287649592904,True,False,0,False
2022-09-07,4,0.26777718897673375,0.11777027671087209,True,False,0,False
2022-09-08,3,0.12915727944105418,0.11338444770505247,True,False,0,False
2022-09-09,3,0.0963577074049663,0.10289738768234083,False,False,0,False
2022-09-13,3,0.11850598741422409,0.10912184461131771,True,False,0,False
2022-09-14,3,0.11605965170242685,0.11069502862465563,True,False,0,False
2022-09-15,3,0.19192510134796145,0.1278998851591985,True,False,0,False
2022-09-16,3,0.19996372447907373,0.12777649954334092,True,False,0,False
2022-09-19,4,0.21951243968772063,0.1389962513008678,True,False,0,False
2022-09-20,4,0.2105942837792255,0.13941555429605704,True,False,0,False
2022-09-21,4,0.1654034692602676,0.13154006456132686,True,False,0,False
2022-09-22,4,0.13548778855619933,0.11496555170486003,True,False,0,False
2022-09-23,4,0.11730011249021122,0.10654264666309778,True,False,0,False
2022-09-26,4,0.0934883455707564,0.10109063198284067,False,True,1,True
2022-09-27,4,0.04616768629849967,0.09402462844371123,False,False,0,False
2022-09-28,4,0.04187504692276128,0.08481742393186481,False,False,0,False
2022-09-29,4,0.0011087052201028836,0.08314903313019138,False,False,0,False
2022-09-30,4,0.10125680438297305,0.10038796774528114,True,True,1,True
2022-10-10,4,0.05253878601991995,0.09889388304661069,False,False,0,False
2022-10-11,4,0.1334364392011771,0.10677768541383217,True,False,0,False
2022-10-12,4,0.14626262313128188,0.11151201453983456,True,True,2,True
2022-10-13,4,0.07794250534288127,0.100720855553497,False,True,1,True
2022-10-14,3,0.06479777222897748,0.09501941463567841,False,False,0,False
2022-10-17,3,0.128444862880486,0.1082478554473685,True,False,0,False
2022-10-18,3,0.11406843915045362,0.1094192391622669,True,False,0,False
2022-10-19,3,0.10318242849262478,0.10728951141931713,False,False,0,False
