date,mean_carry_residual,mean_abs_carry_residual,carry_rmse,mean_futures_residual,futures_rmse,n_contracts
2022-07-22,0.002059037004388028,0.003700152945257062,0.004497990523831873,-9.749562696366638,16.576052830218863,4
2022-07-25,0.0012408850328705992,0.0031744556447373742,0.003983259896137349,-7.851850978394168,15.509704535398775,4
2022-07-26,0.000559682904883025,0.009339271471913057,0.011146955744886992,-15.37723566574141,26.777949932264846,4
2022-07-27,0.0026774989875227723,0.008021752134804327,0.008593718489892559,-15.441712116455165,23.21113680706117,4
2022-07-28,0.0016180105139327779,0.004493416921818361,0.005025313191334302,-9.293581404011093,13.990916381856357,4
2022-07-29,0.002350357492276956,0.004632125650197414,0.005271990346067411,-11.471506977926083,17.676114168145364,4
2022-08-01,0.0037516342193291696,0.004188550436828649,0.004789489680584024,-11.093752513837217,16.830274232282317,4
2022-08-02,0.00031377086572232857,0.010669732527398498,0.01244387575287031,-15.0083602013774,25.177467287200585,4
2022-08-03,0.004899749456028019,0.006574484461943992,0.006970909664470622,-13.12387807613004,20.663095349698207,4
2022-08-04,0.0016123342706545508,0.018021679101791793,0.02272635323219006,9.73900275436904,17.355649166009552,4
2022-08-05,-0.002172027475758148,0.01455606738082002,0.018307667876829126,-14.730783443967994,23.767675497461415,4
2022-08-08,0.0030159182904338604,0.010158346931313334,0.013329521385949509,0.20104037529813468,8.418045186168628,4
2022-08-09,-0.0014099196212247547,0.01459001605732995,0.017781029365541386,9.328811411888182,14.201401775023614,4
2022-08-10,-0.003927988627960649,0.018894549140555994,0.022027707929360544,15.228622095056153,20.67913746980373,4
2022-08-11,-0.0006877954838297555,0.013638639185083377,0.016214075953826807,-15.88472901685941,23.57956354644692,4
2022-08-12,0.002792129966338578,0.0048970373631373925,0.005081077067360098,-12.029280773710221,16.675617242273024,3
2022-08-15,0.0030782156900383273,0.0030782156900383273,0.003745360100143714,-10.17725016613349,13.502646840654828,3
2022-08-16,0.002182831959042212,0.00484010743682035,0.005172885214582663,-11.533536612334805,17.738209886371937,3
2022-08-17,0.0007740396855795972,0.004584651132251973,0.005085419938512625,-8.716272987709695,15.382300874839204,3
2022-08-18,0.001254690483319711,0.007857051652589847,0.00800934866175772,-12.875340618626979,19.591931318347797,3
2022-08-19,0.0033807615684076178,0.0033807615684076178,0.003918263996757774,-10.251709316282964,13.371373480072823,3
2022-08-22,0.00212300318727519,0.0023530816988633733,0.002994234195793194,-5.935742757282696,10.318322876568113,4
2022-08-23,0.0018311614381347208,0.0034341537299929156,0.004387651889743502,-8.545147553633342,15.991224230045573,4
2022-08-24,0.003079491492877069,0.0055396235847308475,0.006668349718276292,-5.88394005928626,12.055493571421325,4
2022-08-25,0.0009034960825140478,0.009563254041177562,0.010683136159035458,-1.18584698808354,13.1078857196741,4
2022-08-26,-0.0006666371312251118,0.00848414451711478,0.009069893265873973,0.7572042130962018,12.115356866983028,4
2022-08-29,-0.0008055226031685458,0.011549219590352322,0.012745922457768918,3.615789308858666,14.202883723718038,4
2022-08-30,-0.0008516691937788742,0.008351048191543801,0.00919137054479033,-9.654874376969019,21.405135435114282,4
2022-08-31,0.00251094034368057,0.005901950062369172,0.006943164268458626,-9.176428487093517,19.548305111623836,4
2022-09-01,0.0018698359378853495,0.005142804860195225,0.006523265221447626,-9.413646472335358,19.009993059644458,4
2022-09-02,0.0004889176007360045,0.012209520285284003,0.0146254985950986,2.7865011378196414,10.420933324347859,4
2022-09-05,-0.002899030518300004,0.01592385467373616,0.01898249680706725,9.23946526808345,15.638936322923463,4
