date,contract,expiry,sessions_to_expiry,tau,spot,futures_price,implied_carry,predicted_carry,fitted_carry,carry_prediction_error,carry_residual,predicted_futures_price,fitted_futures_price,futures_prediction_error,futures_residual
2022-07-22,IM2208,2022-08-19,20.0,0.08196721311475409,7034.598,6956.6,0.15002630138819212,0.09310200921297467,0.15007303866821603,0.05692429217521745,-4.6737280023911865e-05,6989.1348214484515,6956.57334984103,-32.53482144845111,0.026650158970369375
2022-07-22,IM2209,2022-09-16,39.0,0.1598360655737705,7034.598,6901.2,0.1337804543185919,0.09310200921297467,0.13701594892030605,0.04067844510561723,-0.003235494601714156,6946.216981307761,6897.631975882084,-45.01698130776094,3.5680241179161385
2022-07-22,IM2212,2022-12-16,99.0,0.4057377049180328,7034.598,6737.0,0.12053637454449517,0.09310200921297467,0.11621254649462899,0.027434365331520508,0.004323828049866182,6812.409519800694,6748.829362375896,-75.4095198006944,-11.82936237589638
2022-07-22,IM2303,2023-03-17,158.0,0.6475409836065574,7034.598,6588.0,0.11529201922600309,0.09310200921297467,0.10809746737657909,0.02219001001302842,0.007194551849423997,6683.345952420938,6618.763562686457,-95.34595242093837,-30.76356268645668
2022-07-25,IM2208,2022-08-19,19.0,0.0778688524590164,6948.909,6878.6,0.1445981229888313,0.14905881682886393,0.14603708423447326,-0.004460693840032642,-0.0014389612456419676,6876.211139316889,6877.829294254855,2.3888606831114885,0.7707057451452783
2022-07-25,IM2209,2022-09-16,38.0,0.1557377049180328,6948.909,6823.0,0.1314115864451097,0.136165230375685,0.13383976642320128,-0.004753643930575313,-0.0024281799780915825,6817.950655052403,6820.420307733797,5.049344947597092,2.579692266202983
2022-07-25,IM2212,2022-12-16,98.0,0.4016393442622951,6948.909,6670.0,0.11599401401957343,0.1156703964219629,0.11445167730381105,0.0003236175976105288,0.0015423367157623852,6670.867006667658,6674.133098943683,-0.8670066676577335,-4.133098943682853
2022-07-25,IM2303,2023-03-17,157.0,0.6434426229508197,6948.909,6515.0,0.11420700519423466,0.10770736682728402,0.1069186605547811,0.006499638366950639,0.007288344639453562,6542.303724762619,6545.624702981242,-27.303724762618913,-30.62470298124208
2022-07-26,IM2208,2022-08-19,18.0,0.07377049180327869,7027.419,6991.0,0.08443317630106531,0.1450992062606123,0.10169136336545388,-0.06066602995954698,-0.017258187064388572,6959.78264480484,6982.1051071183565,31.217355195160053,8.8948928816435
2022-07-26,IM2209,2022-09-16,37.0,0.15163934426229508,7027.419,6937.0,0.09940061449540678,0.13305384422480215,0.09970160456507828,-0.03365322972939537,-0.0003009900696714918,6901.689596700426,6936.683389109879,35.31040329957432,0.3166108901214102
2022-07-26,IM2212,2022-12-16,97.0,0.3975409836065574,7027.419,6777.2,0.10519930215525243,0.11395201534030425,0.09654619653224349,-0.008752713185051816,0.008653105623008944,6753.659290431436,6800.553469357473,23.540709568564125,-23.35346935747293
2022-07-26,IM2303,2023-03-17,156.0,0.639344262295082,7027.419,6624.0,0.10646986950295019,0.10655968473933758,0.09532506637236697,-8.981523638738886e-05,0.01114480313058322,6623.619641922247,6671.366977077258,0.3803580777530442,-47.366977077257616
