date,delta,n_contracts,predicted_state,predicted_variance,predicted_std,filtered_state,filtered_variance,filtered_std
2022-07-22,,4,0.09310200921297467,0.04111928431196078,0.20277890499743997,0.1705893797053036,0.00043247897628576217,0.020796128877407984
2022-07-25,0.004098360655737705,4,0.16811055954133827,0.0029939826968544882,0.05471729796741144,0.16406001071551765,0.0003726997808339805,0.019305433971656284
2022-07-26,0.004098360655737705,4,0.1617900649966008,0.0029379669974624,0.054203016497814956,0.10444850615261342,0.0003632729010832514,0.019059719333800573
2022-07-27,0.004098360655737705,4,0.10408553183530668,0.0029291336021928347,0.05412147080589029,0.09171376284231345,0.00035471238895680397,0.018833809730291
2022-07-28,0.004098360655737705,4,0.09175817282905428,0.0029211120309707165,0.05404731289315609,0.08455217409889845,0.0003462887866202621,0.01860883625110023
2022-07-29,0.004098360655737705,4,0.08482568323393161,0.00291321875016096,0.05397424154317464,0.0857103247175482,0.00033799188861359416,0.018384555708898548
2022-08-01,0.004098360655737705,4,0.08594678462651811,0.002905444196804798,0.05390217246832263,0.12280953485534782,0.0003298217700389504,0.018160995843811825
2022-08-02,0.004098360655737705,4,0.12185919142368985,0.0028977884412762023,0.0538311103477924,0.053883397347242165,0.00032177859649958025,0.017938188216750885
2022-08-03,0.004098360655737705,4,0.05513800032677071,0.002890251638752603,0.05376106061781708,0.10883407582861977,0.00031386248311287987,0.017716164458281593
2022-08-04,0.004098360655737705,4,0.10833080718367888,0.0028828338971039927,0.05369202824539219,0.21712831082420384,0.00030607349216902593,0.017494956192257983
2022-08-05,0.004098360655737705,4,0.21316071074508647,0.0028755352746989695,0.053624017703814114,0.07998686178519401,0.0002984116326964913,0.017274595008175773
2022-08-08,0.004098360655737705,4,0.08040641521294363,0.0028683557799976046,0.053557032964846034,0.1661860428704634,0.000290876860128713,0.017055112433775187
2022-08-09,0.004098360655737705,4,0.16384808540535573,0.0028612953712390953,0.05349107749184994,0.19896253935134325,0.000283469076050899,0.016836539907323565
2022-08-10,0.004098360655737705,4,0.1955760621098549,0.0028543539562045114,0.053426154233713205,0.20792615159500036,0.0002761881280283412,0.016618908749624364
2022-08-11,0.004098360655737705,4,0.20425292849247206,0.002847531392055919,0.053362265619592265,0.09704922470646678,0.00026903380951764564,0.01640225013580898
2022-08-12,0.004098360655737705,3,0.09692295332450326,0.0028408274852531985,0.053299413554496064,0.10297751680010654,0.0005421875390414877,0.023284920851089182
2022-08-15,0.004098360655737705,3,0.10266159941665631,0.0030967843793732776,0.05564875901018169,0.12110568763473852,0.0005393266056415975,0.02322340641769845
2022-08-16,0.004098360655737705,3,0.12020985025767922,0.003094103560668745,0.05562466683647413,0.11911716028048114,0.0005278108246667769,0.02297413381755179
2022-08-17,0.004098360655737705,3,0.11828493587249037,0.003083312774334543,0.055527585705976296,0.10264202099952972,0.0005161903957636997,0.02271982384975068
