date,contract,expiry,futures_price,volume,hold,price_source,spot,spot_duplicate,risk_free_rate,quality_flags,exclusion_reasons,sessions_to_expiry,tau,implied_carry,excluded,delta,n_contracts,predicted_state,predicted_variance,predicted_std,filtered_state,filtered_variance,filtered_std,maturity_loading,predicted_carry,fitted_carry,predicted_futures_price,fitted_futures_price,carry_residual,carry_prediction_error,futures_residual,futures_prediction_error
2022-07-22,IM2208,2022-08-19,6956.6,22153,17517,close,7034.598,False,0.014,,,20.0,0.08196721311475409,0.15002630138819212,False,,4,0.09310200921297467,0.04111928431196078,0.20277890499743997,0.1705893797053036,0.00043247897628576217,0.020796128877407984,0.735229871568314,0.09310200921297467,0.15007303866821603,6989.1348214484515,6956.57334984103,-4.6737280023911865e-05,0.05692429217521745,0.026650158970369375,-32.53482144845111
2022-07-22,IM2209,2022-09-16,6901.2,6710,5858,close,7034.598,False,0.014,,,39.0,0.1598360655737705,0.1337804543185919,False,,4,0.09310200921297467,0.04111928431196078,0.20277890499743997,0.1705893797053036,0.00043247897628576217,0.020796128877407984,0.5667238341979712,0.09310200921297467,0.13701594892030605,6946.216981307761,6897.631975882084,-0.003235494601714156,0.04067844510561723,3.5680241179161385,-45.01698130776094
2022-07-22,IM2212,2022-12-16,6737.0,3921,3613,close,7034.598,False,0.014,,,99.0,0.4057377049180328,0.12053637454449517,False,,4,0.09310200921297467,0.04111928431196078,0.20277890499743997,0.1705893797053036,0.00043247897628576217,0.020796128877407984,0.2982490841387141,0.09310200921297467,0.11621254649462899,6812.409519800694,6748.829362375896,0.004323828049866182,0.027434365331520508,-11.82936237589638,-75.4095198006944
2022-07-22,IM2303,2023-03-17,6588.0,3703,3338,close,7034.598,False,0.014,,,158.0,0.6475409836065574,0.11529201922600309,False,,4,0.09310200921297467,0.04111928431196078,0.20277890499743997,0.1705893797053036,0.00043247897628576217,0.020796128877407984,0.19352131925923252,0.09310200921297467,0.10809746737657909,6683.345952420938,6618.763562686457,0.007194551849423997,0.02219001001302842,-30.76356268645668,-95.34595242093837
2022-07-25,IM2208,2022-08-19,6878.6,22883,18747,close,6948.909,False,0.014,,,19.0,0.0778688524590164,0.1445981229888313,False,0.004098360655737705,4,0.16811055954133827,0.0029939826968544882,0.05471729796741144,0.16406001071551765,0.0003726997808339805,0.019305433971656284,0.746005720293595,0.14905881682886393,0.14603708423447326,6876.211139316889,6877.829294254855,-0.0014389612456419676,-0.004460693840032642,0.7707057451452783,2.3888606831114885
2022-07-25,IM2209,2022-09-16,6823.0,6248,6213,close,6948.909,False,0.014,,,38.0,0.1557377049180328,0.1314115864451097,False,0.004098360655737705,4,0.16811055954133827,0.0029939826968544882,0.05471729796741144,0.16406001071551765,0.0003726997808339805,0.019305433971656284,0.5741108310211734,0.136165230375685,0.13383976642320128,6817.950655052403,6820.420307733797,-0.0024281799780915825,-0.004753643930575313,2.579692266202983,5.049344947597092
2022-07-25,IM2212,2022-12-16,6670.0,2763,3461,close,6948.909,False,0.014,,,98.0,0.4016393442622951,0.11599401401957343,False,0.004098360655737705,4,0.16811055954133827,0.0029939826968544882,0.05471729796741144,0.16406001071551765,0.0003726997808339805,0.019305433971656284,0.3008775280976769,0.1156703964219629,0.11445167730381105,6670.867006667658,6674.133098943683,0.0015423367157623852,0.0003236175976105288,-4.133098943682853,-0.8670066676577335
2022-07-25,IM2303,2023-03-17,6515.0,2829,3644,close,6948.909,False,0.014,,,157.0,0.6434426229508197,0.11420700519423466,False,0.004098360655737705,4,0.16811055954133827,0.0029939826968544882,0.05471729796741144,0.16406001071551765,0.0003726997808339805,0.019305433971656284,0.19471590305867442,0.10770736682728402,0.1069186605547811,6542.303724762619,6545.624702981242,0.007288344639453562,0.006499638366950639,-30.62470298124208,-27.303724762618913
2022-07-26,IM2208,2022-08-19,6991.0,19269,20386,close,7027.419,False,0.014,,,18.0,0.07377049180327869,0.08443317630106531,False,0.004098360655737705,4,0.1617900649966008,0.0029379669974624,0.054203016497814956,0.10444850615261342,0.0003632729010832514,0.019059719333800573,0.7570049327270771,0.1450992062606123,0.10169136336545388,6959.78264480484,6982.1051071183565,-0.017258187064388572,-0.06066602995954698,8.8948928816435,31.217355195160053
2022-07-26,IM2209,2022-09-16,6937.0,6357,7765,close,7027.419,False,0.014,,,37.0,0.15163934426229508,0.09940061449540678,False,0.004098360655737705,4,0.1617900649966008,0.0029379669974624,0.054203016497814956,0.10444850615261342,0.0003632729010832514,0.019059719333800573,0.5816416632562658,0.13305384422480215,0.09970160456507828,6901.689596700426,6936.683389109879,-0.0003009900696714918,-0.03365322972939537,0.3166108901214102,35.31040329957432
