lag,acf
0,1.0
1,0.7733595690635775
2,0.7242764621638679
3,0.7285149873438398
4,0.7312209521201323
5,0.7090412870246879
6,0.7006692331010744
7,0.6691510690226236
8,0.6711429013308325
9,0.6726281762150563
10,0.6959863815954374
11,0.6477079020029035
12,0.6261203411885093
13,0.6395315799106555
14,0.6467253456762858
15,0.6308361956850496
16,0.6173189315514566
17,0.6110566727114809
18,0.601775746857658
19,0.6088252874728447
20,0.6073469118225835
