date,delta,spot,n_contracts,predicted_state,predicted_variance,predicted_std,filtered_state,filtered_variance,filtered_std,transition_cross_covariance,curve_log_likelihood,return_log_likelihood,curve_innovation_mean,standardized_curve_innovation,log_return,return_residual,standardized_return_residual,sample,model
2022-07-22,,7034.598,4,0.08476573020750627,0.0416798182756403,0.20415635742156132,0.17871234357797636,0.00041526520904393223,0.020378057047813272,,9.22841675929937,0.0,0.0451430571618143,0.5361331869421837,,,,in_sample,legacy_curve
2022-07-25,0.004098360655737705,6948.909,4,0.17559495859394347,0.0031083530310842106,0.05575260559905887,0.171842229894714,0.0003607905150621895,0.0189944864384955,0.00040148566467696373,10.599507697774028,0.0,0.0013487055378636603,0.11334439120252726,,,,in_sample,legacy_curve
2022-07-26,0.004098360655737705,7027.419,4,0.16895281256663425,0.0030574335709307576,0.055294064518090526,0.11040639453330525,0.0003514660164470643,0.018747426928703157,0.00034881857808984637,9.286660528441406,0.0,-0.023847754831811133,-0.5457777892809068,,,,in_sample,legacy_curve
2022-07-27,0.004098360655737705,7099.434,4,0.1095555727837796,0.00304871762594825,0.05521519379616674,0.09766733628539774,0.00034284919025494716,0.018516187249402807,0.00033980348979749457,10.123711514708628,0.0,-0.0009523439162208392,0.08798099382179479,,,,in_sample,legacy_curve
2022-07-28,0.004098360655737705,7150.198,4,0.09723922853766526,0.003040663167889508,0.05514220858733814,0.0903309883582993,0.00033437300764571745,0.018285869070014622,0.0003314725915767818,10.488832851757417,0.0,0.0001573281094324466,0.0888981706634787,,,,in_sample,legacy_curve
2022-07-29,0.004098360655737705,7117.434,4,0.09014631909169003,0.003032740174457572,0.05507032026834029,0.09139236142367324,0.000326030679112115,0.01805631964471484,0.0003232776700310428,10.45245724169252,0.0,0.0046397985829975934,0.2208442157280285,,,,in_sample,legacy_curve
2022-08-01,0.004098360655737705,7180.454,4,0.09117247312853544,0.0030249422992552595,0.05499947544527365,0.12918597343965094,0.00031782229394983387,0.01782757117360169,0.0003152121609459496,10.288923731382269,0.0,0.02339670017553473,0.7218635950630026,,,,in_sample,legacy_curve
2022-08-02,0.004098360655737705,6957.982,4,0.12771199801604613,0.0030172696257504752,0.05492967891541398,0.05802670650791847,0.0003097479648776353,0.01759965808979354,0.0003072761506541403,8.849085906158315,0.0,-0.03119016974015504,-0.7142419271070866,,,,in_sample,legacy_curve
2022-08-03,0.004098360655737705,6916.67,4,0.05891397458473661,0.0030097222593055075,0.054860935640084624,0.11467252029860843,0.0003018077462548858,0.017372614836428216,0.0002994697481340842,9.850311351054362,0.0,0.033629050476253204,0.996203334555023,,,,in_sample,legacy_curve
2022-08-04,0.004098360655737705,6960.312,4,0.11368013776340222,0.003002300250732016,0.05479325004717293,0.22495588935356642,0.00029400163271357316,0.017146475810310792,0.0002917930059413673,6.631997329390991,0.0,0.05791938107926628,1.5055579837178525,,,,in_sample,legacy_curve
