model,maturity_bucket,n,mean_carry_residual_bps,carry_rmse_bps,mean_futures_residual,futures_rmse
exact_corr_curve,6-21,783,11.687790551346374,234.1252356974069,0.025991001856349692,6.96794987904146
exact_corr_curve,22-42,931,-18.291639649419174,135.37863468838796,1.477169458940174,10.144576046722332
exact_corr_curve,43-63,344,25.491427165190387,133.1230990583756,-4.255896309447653,18.852372677326468
exact_corr_curve,64-126,1029,3.2264755053925214,172.08580863343204,-4.0715436797961555,46.31618925257821
exact_corr_curve,127-189,580,-8.198904894772365,196.4604862940239,-0.7057232137947196,72.8294164862471
exact_corr_joint,6-21,783,12.23340394941789,233.9343513237304,0.0068049906645697164,6.962947670361951
exact_corr_joint,22-42,931,-17.868550656043734,135.32990657481454,1.4415539972529894,10.143294439150678
exact_corr_joint,43-63,344,25.725103396067976,133.17961174544368,-4.287325319491602,18.861646936900286
exact_corr_joint,64-126,1029,3.422397545103285,172.1516408780948,-4.119317206936486,46.341466051976774
exact_corr_joint,127-189,580,-8.07635218547265,196.55038419506803,-0.7535788352616981,72.86938918783858
exact_rho0_curve,6-21,783,12.25281401090563,234.1506258500177,0.005250755854310993,6.966407209474605
exact_rho0_curve,22-42,931,-17.82850638420419,135.32318135300338,1.4401036410910182,10.139584727981099
exact_rho0_curve,43-63,344,25.80929823795753,133.17678361683423,-4.299302320859675,18.862877033782937
exact_rho0_curve,64-126,1029,3.4180331252814935,172.08528639370874,-4.116349150125396,46.321623418505915
exact_rho0_curve,127-189,580,-8.095449527786299,196.45267925821497,-0.7438498544445596,72.83042831394927
exact_rho0_joint,6-21,783,12.241713252372081,233.98914199312898,0.005563954043471471,6.963006446127736
exact_rho0_joint,22-42,931,-17.823285094544325,135.3162068666012,1.4392811851679463,10.139928072484869
exact_rho0_joint,43-63,344,25.807980271433596,133.18468461135183,-4.299578302011939,18.865061051538312
exact_rho0_joint,64-126,1029,3.42401956891277,172.1472402969803,-4.1173172684177475,46.33966725965376
exact_rho0_joint,127-189,580,-8.10066050630377,196.53876738337573,-0.7409179008309829,72.86296301873551
legacy_curve,6-21,783,10.758549557066505,234.11267040920652,0.04890090977225919,6.966969445906417
legacy_curve,22-42,931,-16.098201530546234,135.07438408055847,1.2925650596652998,10.120829043984658
legacy_curve,43-63,344,27.643969298344913,133.63879202697734,-4.545711843337088,18.945881620682513
legacy_curve,64-126,1029,3.67331836540033,171.80937131798996,-4.140816100469697,46.24770333431196
legacy_curve,127-189,580,-9.693748329527278,196.2910245357858,-0.14792392162429882,72.69743494687097
