date,contract,expiry,futures_price,volume,hold,price_source,spot,spot_duplicate,risk_free_rate,quality_flags,exclusion_reasons,sessions_to_expiry,tau,implied_carry,excluded,delta,spot_state,n_contracts,predicted_state,predicted_variance,predicted_std,filtered_state,filtered_variance,filtered_std,transition_cross_covariance,curve_log_likelihood,return_log_likelihood,curve_innovation_mean,standardized_curve_innovation,log_return,return_residual,standardized_return_residual,sample,model,maturity_loading,predicted_carry,fitted_carry,predicted_futures_price,fitted_futures_price,carry_residual,carry_prediction_error,futures_residual,futures_prediction_error
2022-07-22,IM2208,2022-08-19,6956.6,22153,17517,close,7034.598,False,0.014,,,20.0,0.08196721311475409,0.15002630138819212,False,,7034.598,4,0.08476573020750627,0.0416798182756403,0.20415635742156132,0.17871234357797636,0.00041526520904393223,0.020378057047813272,,9.22841675929937,0.0,0.0451430571618143,0.5361331869421837,,,,in_sample,legacy_curve,0.7272044478431419,0.08476573020750627,0.1530841253103121,6993.9121401485745,6954.85660718925,-0.0030578239221199788,0.06526057118068584,1.7433928107502652,-37.312140148574144
2022-07-22,IM2209,2022-09-16,6901.2,6710,5858,close,7034.598,False,0.014,,,39.0,0.1598360655737705,0.1337804543185919,False,,7034.598,4,0.08476573020750627,0.0416798182756403,0.20415635742156132,0.17871234357797636,0.00041526520904393223,0.020378057047813272,,9.22841675929937,0.0,0.0451430571618143,0.5361331869421837,,,,in_sample,legacy_curve,0.556057794714397,0.08476573020750627,0.13700547685917594,6955.478553897746,6897.643521238158,-0.003225022540584044,0.04901472411108562,3.5564787618413902,-54.27855389774595
2022-07-22,IM2212,2022-12-16,6737.0,3921,3613,close,7034.598,False,0.014,,,99.0,0.4057377049180328,0.12053637454449517,False,,7034.598,4,0.08476573020750627,0.0416798182756403,0.20415635742156132,0.17871234357797636,0.00041526520904393223,0.020378057047813272,,9.22841675929937,0.0,0.0451430571618143,0.5361331869421837,,,,in_sample,legacy_curve,0.28872997301780196,0.08476573020750627,0.11189093335107597,6835.490435264768,6760.673420066621,0.008645441193419201,0.0357706443369889,-23.673420066620565,-98.49043526476817
2022-07-22,IM2303,2023-03-17,6588.0,3703,3338,close,7034.598,False,0.014,,,158.0,0.6475409836065574,0.11529201922600309,False,,7034.598,4,0.08476573020750627,0.0416798182756403,0.20415635742156132,0.17871234357797636,0.00041526520904393223,0.020378057047813272,,9.22841675929937,0.0,0.0451430571618143,0.5361331869421837,,,,in_sample,legacy_curve,0.186647160044011,0.08476573020750627,0.10230059878885722,6719.520753391292,6643.655170284601,0.012991420437145865,0.030526289018496813,-55.6551702846009,-131.5207533912917
2022-07-25,IM2208,2022-08-19,6878.6,22883,18747,close,6948.909,False,0.014,,,19.0,0.0778688524590164,0.1445981229888313,False,0.004098360655737705,6948.909,4,0.17559495859394347,0.0031083530310842106,0.05575260559905887,0.171842229894714,0.0003607905150621895,0.0189944864384955,0.00040148566467696373,10.599507697774028,0.0,0.0013487055378636603,0.11334439120252726,,,,in_sample,legacy_curve,0.7382209508243123,0.15181776954958057,0.1490474266010497,6874.734036977233,6876.217238133594,-0.004449303612218403,-0.007219646560749277,2.3827618664063266,3.8659630227675734
2022-07-25,IM2209,2022-09-16,6823.0,6248,6213,close,6948.909,False,0.014,,,38.0,0.1557377049180328,0.1314115864451097,False,0.004098360655737705,6948.909,4,0.17559495859394347,0.0031083530310842106,0.05575260559905887,0.171842229894714,0.0003607905150621895,0.0189944864384955,0.00040148566467696373,10.599507697774028,0.0,0.0013487055378636603,0.11334439120252726,,,,in_sample,legacy_curve,0.5635129501032429,0.13594917665114872,0.13383446543090882,6818.180067346587,6820.425938432139,-0.002422878985799126,-0.004537590206039027,2.5740615678605536,4.8199326534131615
2022-07-25,IM2212,2022-12-16,6670.0,2763,3461,close,6948.909,False,0.014,,,98.0,0.4016393442622951,0.11599401401957343,False,0.004098360655737705,6948.909,4,0.17559495859394347,0.0031083530310842106,0.05575260559905887,0.171842229894714,0.0003607905150621895,0.0189944864384955,0.00040148566467696373,10.599507697774028,0.0,0.0013487055378636603,0.11334439120252726,,,,in_sample,legacy_curve,0.29130872260550716,0.11122507670400317,0.11013187410034561,6682.787913380564,6685.722790565874,0.005862139919227821,0.004768937315570265,-15.722790565873765,-12.787913380563623
2022-07-25,IM2303,2023-03-17,6515.0,2829,3644,close,6948.909,False,0.014,,,157.0,0.6434426229508197,0.11420700519423466,False,0.004098360655737705,6948.909,4,0.17559495859394347,0.0031083530310842106,0.05575260559905887,0.171842229894714,0.0003607905150621895,0.0189944864384955,0.00040148566467696373,10.599507697774028,0.0,0.0013487055378636603,0.11334439120252726,,,,in_sample,legacy_curve,0.18780467132761489,0.10182388359156198,0.10111910361162149,6567.117757953868,6570.096525858247,0.013087901582613165,0.012383121602672673,-55.09652585824733,-52.11775795386802
2022-07-26,IM2208,2022-08-19,6991.0,19269,20386,close,7027.419,False,0.014,,,18.0,0.07377049180327869,0.08443317630106531,False,0.004098360655737705,7027.419,4,0.16895281256663425,0.0030574335709307576,0.055294064518090526,0.11040639453330525,0.0003514660164470643,0.018747426928703157,0.00034881857808984637,9.286660528441406,0.0,-0.023847754831811133,-0.5457777892809068,,,,in_sample,legacy_curve,0.7494740245229019,0.14786176163604292,0.10398274209120364,6958.364419941275,6980.924978798328,-0.019549565790138335,-0.06342858533497761,10.075021201671916,32.63558005872528
2022-07-26,IM2209,2022-09-16,6937.0,6357,7765,close,7027.419,False,0.014,,,37.0,0.15163934426229508,0.09940061449540678,False,0.004098360655737705,7027.419,4,0.16895281256663425,0.0030574335709307576,0.055294064518090526,0.11040639453330525,0.0003514660164470643,0.018747426928703157,0.00034881857808984637,9.286660528441406,0.0,-0.023847754831811133,-0.5457777892809068,,,,in_sample,legacy_curve,0.5711180715660779,0.132846494335226,0.09940957697092971,6901.906605805918,6936.990572180054,-8.962475522927837e-06,-0.03344587983981921,0.009427819945813098,35.093394194082066
