model,window_start,window_end,n_dates,n_observations,kappa,theta,eta,rho,sigma_epsilon,mu,sigma,half_life_sessions,log_likelihood,converged
exact_corr_curve,2022-07-22,2024-07-25,488,1806,10.466386702183708,0.09238742455707477,0.8185422322475504,-0.9945850882556085,0.017143117780447855,0.0,0.25,16.15914994057498,4226.823608617817,True
exact_corr_joint,2022-07-22,2024-07-25,488,1806,10.546003143856147,0.08076442372250593,0.8538336735643477,-0.3774386939551612,0.01706440537160164,-0.06988500792288564,0.25,16.037157371336136,5640.520273942002,True
exact_corr_curve,2023-03-31,2025-04-08,488,1805,11.868401406812392,0.10218960093947407,1.1164487712308386,-0.9937929942437546,0.019929209140751084,0.0,0.25,14.250268950252073,3912.897524354309,True
exact_corr_joint,2023-03-31,2025-04-08,488,1805,11.91886832597366,0.08133987944686283,1.1220510159112866,-0.10624555164560488,0.01990776049147042,0.044398469239772455,0.25,14.189930405394463,5189.044195643009,True
exact_corr_curve,2023-12-08,2025-12-12,488,1804,16.340747787158204,0.1348421472671291,1.4568700505774963,-0.9949475516076158,0.017986087429299205,0.0,0.25,10.350071750666158,4016.6057446271357,True
exact_corr_joint,2023-12-08,2025-12-12,488,1804,16.412981750767887,0.11519629548766536,1.4650969611795375,-0.11212217624320961,0.017963007027195086,0.3150925979159812,0.25,10.304520813149258,5283.9152007210605,True
exact_corr_curve,2024-08-16,2026-08-21,488,1806,14.487399953925072,0.1448360138056813,1.3092073048851864,-0.994567371248132,0.01630758339494183,0.0,0.25,11.674138395744698,4173.175053484181,True
exact_corr_joint,2024-08-16,2026-08-21,488,1806,14.531801074053567,0.11943549207992811,1.3100189614686883,0.1302010331761736,0.016302804517146618,0.40474279224473886,0.25,11.638468706993478,5440.545780525164,True
