rho,log_likelihood,converged,lr_statistic,inside_95pct_lr_set,model,mode
-0.9,7949.5559139651905,True,0.016833555293487734,True,exact_corr_curve,curve
-0.75,7949.562982227508,True,0.0026970306589646498,True,exact_corr_curve,curve
-0.6000000000000001,7949.564007991087,True,0.0006455034999817144,True,exact_corr_curve,curve
-0.45000000000000007,7949.558980053026,True,0.010701379622332752,True,exact_corr_curve,curve
-0.30000000000000004,7949.547907900089,True,0.03284568549679534,True,exact_corr_curve,curve
-0.15000000000000002,7949.53078530755,True,0.06709087057424767,True,exact_corr_curve,curve
-1.1102230246251565e-16,7949.5076143175675,True,0.11343285053953878,True,exact_corr_curve,curve
0.15000000000000002,7949.478394738396,True,0.17187200888292864,True,exact_corr_curve,curve
0.29999999999999993,7949.443119454952,True,0.24242257577134296,True,exact_corr_curve,curve
0.44999999999999984,7949.401810700148,True,0.32504008537762274,True,exact_corr_curve,curve
0.6,7949.354445792789,True,0.41976990009607107,True,exact_corr_curve,curve
0.7499999999999999,7949.30103196131,True,0.5265975630536559,True,exact_corr_curve,curve
0.9,7949.2415697904,True,0.6455219048748404,True,exact_corr_curve,curve
-0.9,9694.493793115053,True,1904.4120260077907,False,exact_corr_joint,joint
-0.75,10210.118242005135,True,873.1631282276248,False,exact_corr_joint,joint
-0.6000000000000001,10453.966039024057,True,385.4675341897819,False,exact_corr_joint,joint
-0.45000000000000007,10562.445572621125,True,168.508466995645,False,exact_corr_joint,joint
-0.30000000000000004,10616.391933286395,True,60.61574566510535,False,exact_corr_joint,joint
-0.15000000000000002,10641.281181486707,True,10.837249264481216,False,exact_corr_joint,joint
-0.15,10641.281181487237,True,10.837249263422564,False,exact_corr_joint,joint
-0.13999999999999999,10642.180507850368,True,9.038596537160629,False,exact_corr_joint,joint
-0.13,10642.99508599932,True,7.409440239254764,False,exact_corr_joint,joint
-0.12,10643.726140012508,True,5.947332212879701,False,exact_corr_joint,joint
-0.10999999999999999,10644.374784492264,True,4.650043253368494,False,exact_corr_joint,joint
-0.09999999999999999,10644.942026486786,True,3.5155592643241107,True,exact_corr_joint,joint
-0.09,10645.428768605412,True,2.542075027071405,True,exact_corr_joint,joint
-0.07999999999999999,10645.835811857694,True,1.7279885225070757,True,exact_corr_joint,joint
-0.06999999999999999,10646.163837281001,True,1.0719376758934231,True,exact_corr_joint,joint
-0.06,10646.41355241969,True,0.5725073985158815,True,exact_corr_joint,joint
-0.04999999999999999,10646.585326601491,True,0.22895903491371428,True,exact_corr_joint,joint
-0.039999999999999994,10646.679628627397,True,0.04035498310258845,True,exact_corr_joint,joint
-0.03,10646.696844950067,True,0.00592233776114881,True,exact_corr_joint,joint
-0.01999999999999999,10646.637160745708,True,0.12529074648045935,True,exact_corr_joint,joint
-0.009999999999999981,10646.500711505027,True,0.3981892278425221,True,exact_corr_joint,joint
-1.1102230246251565e-16,10646.287570150398,True,0.8244719370995881,True,exact_corr_joint,joint
0.0,10646.287570150398,True,0.8244719370995881,True,exact_corr_joint,joint
0.010000000000000009,10645.99770451073,True,1.4042032164361444,True,exact_corr_joint,joint
0.020000000000000018,10645.630993633338,True,2.1376249712193385,True,exact_corr_joint,joint
0.03,10645.187226775648,True,3.0251586865997524,True,exact_corr_joint,joint
0.04000000000000001,10644.666103645883,True,4.067404946130409,False,exact_corr_joint,joint
0.05000000000000002,10644.067233195661,True,5.265145846573432,False,exact_corr_joint,joint
0.06,10643.390132696077,True,6.619346845742257,False,exact_corr_joint,joint
0.07,10642.634226590622,True,8.131159056651086,False,exact_corr_joint,joint
0.08000000000000002,10641.798844775656,True,9.801922686583566,False,exact_corr_joint,joint
0.09,10640.88321943025,True,11.633173377394996,False,exact_corr_joint,joint
0.1,10639.886488406255,True,13.626635425385757,False,exact_corr_joint,joint
0.15000000000000002,10633.648689934693,True,26.10223236851016,False,exact_corr_joint,joint
0.29999999999999993,10600.558359039343,True,92.28289415920881,False,exact_corr_joint,joint
0.44999999999999984,10537.012441374103,True,219.37472948968934,False,exact_corr_joint,joint
0.6,10415.773492233468,True,461.8526277709607,False,exact_corr_joint,joint
0.7499999999999999,10148.91833410188,True,995.5629440341363,False,exact_corr_joint,joint
0.9,9409.261202301865,True,2474.8772076341666,False,exact_corr_joint,joint
