model,date,mean_carry_residual,carry_rmse,mean_futures_residual,futures_rmse,n_contracts
exact_corr_curve,2022-07-22,0.002006892040067331,0.004631730359701184,-9.872611546064945,17.002734408474268,4
exact_corr_curve,2022-07-25,0.001232953833090359,0.004124217909966708,-8.028683918510751,15.980304491451877,4
exact_corr_curve,2022-07-26,0.0005304225096979219,0.0112026325258197,-15.491639512163601,27.12311667278364,4
exact_corr_curve,2022-07-27,0.00265866113691781,0.00860906742853509,-15.557505658077162,23.50249539707684,4
exact_corr_curve,2022-07-28,0.0015971927631353716,0.005039335019572129,-9.393978811824127,14.246910305194017,4
exact_corr_curve,2022-07-29,0.0023297972779307494,0.005318100592242883,-11.561698915613078,17.95683830688955,4
exact_corr_curve,2022-08-01,0.003745221034455532,0.004877414519068894,-11.21095455983368,17.176112010378375,4
exact_corr_curve,2022-08-02,0.00026274288311614775,0.01241171892015998,-15.018756794118872,25.376105324594327,4
exact_corr_curve,2022-08-03,0.0048870971703487386,0.0070766068646812685,-13.198381018695045,20.95163935079967,4
exact_corr_curve,2022-08-04,0.0016252772354499213,0.02282231083116651,9.589673560767778,17.34553168691217,4
exact_corr_curve,2022-08-05,-0.0022468026664262675,0.018242091191727136,-14.689058394223593,23.840661708435707,4
exact_corr_curve,2022-08-08,0.003003120432399295,0.013465638277603564,0.1330139828803567,8.731950568204352,4
exact_corr_curve,2022-08-09,-0.0014350098536471331,0.017930187034491712,9.269926144798319,14.301960007975001,4
exact_corr_curve,2022-08-10,-0.003966791191022542,0.02218843479042976,15.194069067388455,20.751111610660843,4
exact_corr_curve,2022-08-11,-0.0007720035833346552,0.016087235645866355,-15.783183612612675,23.587860429055862,4
exact_corr_curve,2022-08-12,0.0027412052464222403,0.005144079391328452,-12.087121959411888,16.914869261012655,3
exact_corr_curve,2022-08-15,0.0030596090004244383,0.0037927693081029343,-10.29163646948382,13.802014898716923,3
exact_corr_curve,2022-08-16,0.0021586821889815846,0.005256783909560093,-11.629456671438069,18.04683734736937,3
exact_corr_curve,2022-08-17,0.0007372875370191684,0.005177681154188401,-8.77431630492932,15.672441200342089,3
exact_corr_curve,2022-08-18,0.0012077435234735118,0.00805594590738716,-12.895003395480066,19.756945620237435,3
exact_corr_curve,2022-08-19,0.0033530345735653297,0.00392988533711666,-10.302709580011348,13.570601080613772,3
exact_corr_curve,2022-08-22,0.0020970568069610777,0.003072544574726744,-5.989293631322198,10.619292485813146,4
exact_corr_curve,2022-08-23,0.001803036620619012,0.004465670396123523,-8.588666621144739,16.274354842121816,4
exact_corr_curve,2022-08-24,0.0030682439957754014,0.006767478884897937,-5.95752906209168,12.378314030265626,4
