date,standardized_curve_innovation,standardized_return_residual,rolling_correlation
2022-07-25,-0.00434569389203851,-0.7559692839909976,
2022-07-26,-0.6210608105875227,0.7098012396409294,
2022-07-27,0.003797128465985622,0.6297626295352233,
2022-07-28,0.0070729639385061355,0.4347351035034994,
2022-07-29,0.11831195159285839,-0.2990177677283976,
2022-08-01,0.6358025199178621,0.5388796716943451,
2022-08-02,-0.8532224308208366,-1.9684722111221113,
2022-08-03,0.869174879833865,-0.39167980293767696,
2022-08-04,1.4164764051188563,0.38698783785619256,
2022-08-05,-1.699256357980822,1.1745677398389323,
2022-08-08,1.22642073581917,0.740775402488508,
2022-08-09,0.387722225078868,0.2802795897077113,
2022-08-10,-0.016561425877806967,0.05733819338272715,
2022-08-11,-1.3573331291973867,0.7288290406891553,
2022-08-12,0.1845045116794135,-0.573637472319255,
2022-08-15,0.355164894896085,0.46320392409675604,
2022-08-16,0.10626976309384904,0.3487508081338567,
2022-08-17,-0.12765889195076935,0.031147931960964152,
2022-08-18,-0.20054687652783856,0.18618357376110223,
2022-08-19,0.38115740186610764,-1.0162375608359375,
2022-08-22,0.38848122201427265,0.45808158750349726,-0.044914593784202116
2022-08-23,0.14098557631876607,0.14706310331314515,-0.0445713191311114
2022-08-24,0.6623812718533035,-2.3236727985683445,-0.13805192343156147
2022-08-25,0.377054836452288,-0.1951870821232887,-0.14137146740511283
2022-08-26,-0.020278378892807078,-0.3061100242440773,-0.13843050914659222
2022-08-29,0.19483609559785248,0.3828753651584077,-0.13488596016374002
2022-08-30,-0.8913182109011469,-0.3786741218234777,-0.1044516790232678
2022-08-31,0.2642232884418313,-2.0552199208380206,-0.11834209744426097
2022-09-01,0.03665166261685762,-0.30677613149897787,-0.11779272071685552
2022-09-02,0.6276892573180431,0.5569369045341801,-0.09364720367226699
2022-09-05,0.01239903365991691,0.14622905700842803,-0.0944922613053476
2022-09-06,-0.11380909639143508,1.1880858435372414,-0.10521045280813549
2022-09-07,0.24104108237475003,0.41139227860008604,-0.10059295799465397
2022-09-08,-1.0051442727973694,-0.5734349694082084,-0.06320562186817812
2022-09-09,-0.6680724651324765,0.15682962300992512,-0.06930319002529707
2022-09-13,0.35230705331713463,-0.09095051807775702,-0.070126254721338
2022-09-14,0.10450023507974014,-0.6785441026948262,-0.07171969066917731
2022-09-15,1.1756760104935842,-1.9548435023937494,-0.16560311097258423
2022-09-16,0.2569762354420184,-1.29600476721866,-0.17149926741369423
2022-09-19,0.374387467046642,-0.7656691231532581,-0.17847689431729513
2022-09-20,0.05698563850610435,0.8280920482376232,-0.1768179621712619
2022-09-21,-0.48398660785525016,0.013453887997138219,-0.17842237870323946
2022-09-22,-0.5433304314952713,0.0816895303685729,-0.18167229833504886
2022-09-23,-0.3924852589658571,-1.194763839969923,-0.15661919665210428
2022-09-26,-0.32978091439291907,-0.7912494956500358,-0.14461499770028374
2022-09-27,-0.4597682841184296,1.2355945236686345,-0.1675185021114361
2022-09-28,-0.2159310469463866,-1.9838411631820732,-0.14189521011311712
2022-09-29,-0.28467696274906273,0.1567167974415083,-0.14508081992900898
2022-09-30,1.1460817807756163,-1.0792428119426516,-0.17719529290499092
2022-10-10,-0.17463140678027375,-1.4579548694761209,-0.16348412277583754
2022-10-11,0.9138429754324376,0.3310454669906001,-0.14322068973983468
2022-10-12,0.1942547976647651,1.7894711271641142,-0.12705298817270175
2022-10-13,-0.47951024184946733,0.5994610002391015,-0.1386445989032184
2022-10-14,-0.3420276599137751,1.5136640037210494,-0.1545519421550206
2022-10-17,0.9827715360432903,0.6239382701587689,-0.1287541648396306
2022-10-18,0.08870197586961698,0.3458164510749091,-0.1280019052980431
2022-10-19,-0.14474110569999313,-0.4573963426300646,-0.12539501570303296
2022-10-20,0.515400656954844,-0.30941524512027874,-0.12784782396076674
2022-10-21,-0.02824388979527741,0.028116285172459933,-0.128136257799246
2022-10-24,-0.7792292183182846,-0.5248891106361796,-0.11485322320955192
2022-10-25,-0.11330780156309034,-0.23877857222218746,-0.1141092953988508
2022-10-26,-0.49782020465706656,1.3003747123920162,-0.13355505376741125
2022-10-27,-0.07770443563625559,-0.32497381409408016,-0.13264645321721738
2022-10-28,0.7108945915802531,-2.219364370386889,-0.16815925750426147
2022-10-31,0.1024083517356174,0.5008436193211974,-0.15342877331905364
2022-11-01,-0.9217898491465442,1.4188904863638523,-0.18825577166994475
2022-11-02,0.7706986263047914,0.7675867946758351,-0.16753096686422006
2022-11-03,0.6870984408431753,0.3661781553054299,-0.15769799174838797
2022-11-04,-1.2048708231848066,1.3156070751394981,-0.2070137489801043
2022-11-07,1.363557221600513,-0.019405200278704925,-0.2549228412342589
2022-11-08,-0.3867515606264632,-0.20625200702090607,-0.24768230809680233
2022-11-09,0.4036836409873071,-0.21822488269111423,-0.2753678674264185
2022-11-10,-0.6837852703761933,-0.7158389625544996,-0.21586264344934675
2022-11-11,0.31008790588746415,0.33399811765758874,-0.25072610172977594
2022-11-14,0.05192648958682072,-0.449529870453126,-0.2559339644889761
2022-11-15,-0.35736950087056546,1.3996819165745993,-0.2667609751738218
2022-11-16,-0.04930617930635205,-0.5026424804504753,-0.24462073672208753
2022-11-17,-0.45969716519848075,0.08554297358212332,-0.2440074859788402
2022-11-18,-0.22938479311445126,-0.5585508977717811,-0.2464870570285778
2022-11-21,-0.45973311573490194,0.2565310486790509,-0.25185225852512594
2022-11-22,0.5018838240318785,-1.0357024971350834,-0.2619495464577442
2022-11-23,-0.3571920944913985,-0.16931313594536643,-0.2588006627112009
2022-11-24,0.21632547375928562,0.1515210282843627,-0.24922311180243417
2022-11-25,-0.43960458366814836,-0.7329450444147906,-0.24668469266041898
2022-11-28,-0.5323308607230516,-0.2119601259732807,-0.24490542443114727
