date,delta,spot,n_contracts,predicted_state,predicted_variance,predicted_std,filtered_state,filtered_variance,filtered_std,transition_cross_covariance,curve_log_likelihood,return_log_likelihood,curve_innovation_mean,standardized_curve_innovation,log_return,return_residual,standardized_return_residual,smoothed_state,smoothed_variance,smoothed_std,model
2022-07-22,,7034.598,4,0.09310201266287135,0.041119290890781486,0.20277892121909882,0.17058940886355028,0.0004324794465918549,0.020796140184944294,,9.374861089219422,0.0,0.03680677470644922,0.4137990822147868,,,,0.16901130282741156,0.0003804578822714468,0.019505329586332214,legacy_curve
2022-07-25,0.004098360655737705,6948.909,4,0.16811058543980256,0.002993986029464053,0.054717328420382995,0.1640600368534843,0.0003727001830946503,0.01930544438998104,0.0004186444200576694,10.700903394231268,0.0,-0.0005977665031440867,0.016731768015285038,,,,0.15682456991244542,0.0003333079446760928,0.01825672327325177,legacy_curve
2022-07-26,0.004098360655737705,7027.419,4,0.16179008817678575,0.00293797026995087,0.0542030466851345,0.10444850381064419,0.0003632732858168621,0.01905972942664355,0.00036077749644897373,9.63877614344986,0.0,-0.025790443550887165,-0.6360679347450077,,,,0.1028684897644216,0.0003256490861061525,0.01804574980725801,legacy_curve
2022-07-27,0.004098360655737705,7099.434,4,0.10408552932171435,0.002929136858831766,0.054121500892268,0.09171375604124685,0.0003547127571467658,0.018833819504995946,0.0003516521658121,10.395213867898208,0.0,-0.0030783291308435984,-0.0135180795674113,,,,0.09092457702223257,0.00031865905127449837,0.01785102381586273,legacy_curve
2022-07-28,0.004098360655737705,7150.198,4,0.09175816639958362,0.0029211152726288468,0.05404734288222546,0.0845521660252544,0.0003462891386187334,0.01860884570892922,0.00034336548863305317,10.626854462235144,0.0,-0.0017764393098374503,-0.005422006890496149,,,,0.08504437901676237,0.00031175517261968904,0.0176565900620615,legacy_curve
2022-07-29,0.004098360655737705,7117.434,4,0.08482567579786164,0.0029132219771599403,0.05397427143704619,0.08571031759454575,0.0003379922247670296,0.018384564851174193,0.0003352113418377646,10.613072891590502,0.0,0.002772324124097514,0.1264309189958447,,,,0.08910335237182042,0.000304930013837653,0.017462245383616994,legacy_curve
2022-08-01,0.004098360655737705,7180.454,4,0.08594677807424897,0.002905447409461555,0.05390220226912399,0.12280954304651763,0.0003298220906950626,0.018161004671963018,0.000327179846433561,10.3909418064377,0.0,0.021557820596858887,0.622698428587732,,,,0.11607786411547778,0.0002981844100974531,0.01726801697061516,legacy_curve
2022-08-02,0.004098360655737705,6957.982,4,0.12185919852873353,0.0028977916399088375,0.05383114005767329,0.053883375918755944,0.00032177890200716595,0.017938196732313033,0.0003192710751212911,9.205633977410564,0.0,-0.032940426927466654,-0.7981350193764615,,,,0.06076063856207502,0.0002915192806976898,0.017073935712005297,legacy_curve
2022-08-03,0.004098360655737705,6916.67,4,0.05513798092776919,0.002890254823680223,0.05376109023894719,0.10883407905584018,0.0003138627738215725,0.017716172662896816,0.0003114851882076023,9.985020563273238,0.0,0.03150581697186417,0.8874015313727773,,,,0.11895174248397157,0.0002849355141085426,0.0168800330008132,legacy_curve
2022-08-04,0.004098360655737705,6960.312,4,0.10833080992316924,0.002882837068646482,0.053692057779959244,0.217128357869035,0.00030607376842904616,0.017494964087675233,0.0003038222971280928,6.2528293459641695,0.0,0.05621830411900765,1.4071775170365237,,,,0.20433289882321087,0.00027843396483777193,0.016686340666478432,legacy_curve
2022-08-05,0.004098360655737705,7090.003,4,0.21316075249405708,0.0028755384331767583,0.053624047154021845,0.07998684748609317,0.000298411894858393,0.017274602596250747,0.00029628246218084365,6.050230400458101,0.0,-0.06988321208830403,-1.7298803052966858,,,,0.0889757636642138,0.00027201545182820605,0.016492890948169338,legacy_curve
2022-08-08,0.004098360655737705,7176.105,4,0.08040640189417164,0.0028683589257314348,0.053557062332912124,0.16618606743897435,0.00029087710854312874,0.017055119716470148,0.0002888656921058292,8.569194474994207,0.0,0.04720178099321938,1.2042239727744102,,,,0.16966393110853728,0.0002656807583193717,0.016299716510398937,legacy_curve
2022-08-09,0.004098360655737705,7207.396,4,0.16384810699941738,0.0028612985045497856,0.05349110678000396,0.19896257381847676,0.00028346931106828214,0.01683654688670697,0.0002815719437622479,8.983393507426504,0.0,0.016916614448324187,0.37859283122789,,,,0.1991897180412865,0.0002594307773181932,0.016106854979113495,legacy_curve
2022-08-10,0.004098360655737705,7212.075,4,0.19557609225489453,0.0028543570774127187,0.05342618344419446,0.20792618790803055,0.0002761883499987092,0.01661891542787041,0.0002744011218834257,8.377491267345142,0.0,0.0026032809549638297,-0.017294823120247552,,,,0.1979388767636465,0.00025328244988517064,0.015914849979976897,legacy_curve
