factor,pathwise_delta,bump_and_value_delta,absolute_method_difference,pathwise_option_factor_sensitivity,model_futures_factor_sensitivity,bump_down_factor_state,bump_up_factor_state,bump_down_option_value,bump_up_option_value,bump_down_model_futures,bump_up_model_futures
slow,-0.4373481995751001,-0.4372558419168735,9.235765822662723e-05,265.8969444832206,-607.9753952149551,0.0953751678910832,0.0999178336000008,29.062607703686727,30.27023356622435,7522.909415562476,7520.147586567251
fast,-0.35164739286572044,-0.351135205653867,0.000512187211853421,117.96096011586597,-335.45239495323193,0.018383187617276735,0.031246491283326665,28.916517080142246,30.431674650482183,7523.686196776835,7519.371170695874
