scenario,completed_cohorts,sum_cohort_pnl,mean_cohort_pnl,median_cohort_pnl,std_cohort_pnl,worst_cohort_pnl,fifth_percentile_cohort_pnl,mean_pnl_below_fifth_percentile,daily_discounted_pnl_variance,total_costs,total_turnover_contracts,variance_reduction_vs_no_hedge
no_hedge,1,31.45246034899766,31.45246034899766,31.45246034899766,,31.45246034899766,31.45246034899766,31.45246034899766,214.13658595370083,0.0,0.0,0.0
one_futures,1,21.616911935281095,21.616911935281095,21.616911935281095,,21.616911935281095,21.616911935281095,21.616911935281095,5651.616371236684,0.0,1.1191548941855443,-25.39257717716037
two_futures,1,20.683544840799286,20.683544840799286,20.683544840799286,,20.683544840799286,20.683544840799286,20.683544840799286,5466.699214130079,0.0,1.11986322081631,-24.529029473329008
