study,scenario,option_side,scenario_role,carry_hedge,spot_hedge_enabled,option_point_value,futures_multiplier,fee_per_contract,slippage_points,spot_cost_bps,execution_lag_sessions,cohort,date,elapsed_sessions,remaining_sessions,hedge_contract_1,hedge_contract_2,spot,futures_1,futures_2,filtered_slow_state,filtered_fast_state,filtered_var_slow,filtered_var_fast,filtered_cov_slow_fast,accepted_contracts,prediction_only,locked_carry,positive_long_option_price,option_price_points,signed_option_mark,option_mark,continuation_points,exercise_value_points,unsigned_payoff,option_payoff,realized_payoff,option_cash_flow,signed_option_cash_flow,model_futures,futures_model_error,held_contracts_1,held_contracts_2,target_contracts_1,target_contracts_2,contracts_1,contracts_2,actual_contracts_1,actual_contracts_2,held_spot_units,target_spot_units,spot_units,spot_market_value,spot_notional,turnover_contracts,spot_turnover_units,spot_turnover_notional,spot_trade_cash_flow,transaction_cost,futures_transaction_cost,spot_transaction_cost,daily_futures_pnl,futures_pnl,daily_spot_pnl,spot_pnl,daily_financing,financing,dividend_cash_flow,cumulative_dividend_cash_flow,cumulative_futures_pnl,cumulative_spot_pnl,cumulative_financing,cumulative_costs,cumulative_futures_costs,cumulative_spot_costs,cumulative_option_cash_flow,cash,equity,discounted_equity,discounted_pnl_change,borrowing,residual_slow_exposure,residual_fast_exposure,residual_factor_variance,factor_variance,unhedged_factor_variance,residual_scale_exposure,scale_residual,spot_delta_residual,hedge_condition_number,hedge_angular_separation,conditioning_warning,exercise_now,expired
short_with_spot,short_no_hedge,-1,primary,none,False,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-24,0,19,IM2512,IM2606,7156.409,7095.2,6662.0,0.1893919550228041,-0.08247786530438096,7.724034545415403e-06,0.0002824987551534059,-3.7988452358829875e-05,4,False,0.12431136965471758,30.253736526466653,30.253736526466653,-30.253736526466653,-30.253736526466653,30.253736526466653,0.0,0.0,0.0,0.0,-0.0,-0.0,7100.980392885888,5.780392885888432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.253736526466653,0.0,0.0,0.0,0.0,-214.43871754305056,-96.93706495152256,81.03626897651343,81.03626897651343,81.03626897651343,-30.253736526466653,-30.253736526466653,-0.0042275024424214235,14.60454227023139,0.3921532382501285,False,False,False
short_with_spot,short_one_futures_spot,-1,primary,one_futures_min_variance,True,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-24,0,19,IM2512,IM2606,7156.409,7095.2,6662.0,0.1893919550228041,-0.08247786530438096,7.724034545415403e-06,0.0002824987551534059,-3.7988452358829875e-05,4,False,0.12431136965471758,30.253736526466653,30.253736526466653,-30.253736526466653,-30.253736526466653,30.253736526466653,0.0,0.0,0.0,0.0,-0.0,-0.0,7100.980392885888,5.780392885888432,0.0,0.0,-0.3100107941528991,0.0,-0.3100107941528991,0.0,-0.3100107941528991,0.0,0.0,0.3115867641438767,0.3115867641438767,2229.8423232001164,2229.8423232001164,0.3100107941528991,0.3115867641438767,2229.8423232001164,-2229.8423232001164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2199.58858667365,-7.105427357601002e-14,-7.105427357601002e-14,-7.105427357601002e-14,2199.58858667365,-44.81488444107964,0.07476150542932203,0.01649604323902535,0.01649604323902535,81.03626897651343,0.0,0.0,0.0,14.60454227023139,0.3921532382501285,False,False,False
short_with_spot,short_two_futures_spot,-1,primary,two_factor_neutral,True,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-24,0,19,IM2512,IM2606,7156.409,7095.2,6662.0,0.1893919550228041,-0.08247786530438096,7.724034545415403e-06,0.0002824987551534059,-3.7988452358829875e-05,4,False,0.12431136965471758,30.253736526466653,30.253736526466653,-30.253736526466653,-30.253736526466653,30.253736526466653,0.0,0.0,0.0,0.0,-0.0,-0.0,7100.980392885888,5.780392885888432,0.0,0.0,-0.28862771191095254,-0.016193330636720918,-0.28862771191095254,-0.016193330636720918,-0.28862771191095254,-0.016193330636720918,0.0,0.3054611672947832,0.3054611672947832,2186.005046778892,2186.005046778892,0.30482104254767345,0.3054611672947832,2186.005046778892,-2186.005046778892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2155.7513102524254,-7.105427357601002e-14,-7.105427357601002e-14,-7.105427357601002e-14,2155.7513102524254,0.0,0.0,0.0,0.0,81.03626897651343,0.0,0.0,0.0,14.60454227023139,0.3921532382501285,False,False,False
short_with_spot,short_one_futures_only,-1,control,one_futures_min_variance,False,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-24,0,19,IM2512,IM2606,7156.409,7095.2,6662.0,0.1893919550228041,-0.08247786530438096,7.724034545415403e-06,0.0002824987551534059,-3.7988452358829875e-05,4,False,0.12431136965471758,30.253736526466653,30.253736526466653,-30.253736526466653,-30.253736526466653,30.253736526466653,0.0,0.0,0.0,0.0,-0.0,-0.0,7100.980392885888,5.780392885888432,0.0,0.0,-0.3100107941528991,0.0,-0.3100107941528991,0.0,-0.3100107941528991,0.0,0.0,0.0,0.0,0.0,0.0,0.3100107941528991,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.253736526466653,0.0,0.0,0.0,0.0,-44.81488444107964,0.07476150542932203,0.01649604323902535,0.01649604323902535,81.03626897651343,-2229.8423232001164,-2229.8423232001164,-0.3115867641438767,14.60454227023139,0.3921532382501285,False,False,False
short_with_spot,short_two_futures_only,-1,control,two_factor_neutral,False,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-24,0,19,IM2512,IM2606,7156.409,7095.2,6662.0,0.1893919550228041,-0.08247786530438096,7.724034545415403e-06,0.0002824987551534059,-3.7988452358829875e-05,4,False,0.12431136965471758,30.253736526466653,30.253736526466653,-30.253736526466653,-30.253736526466653,30.253736526466653,0.0,0.0,0.0,0.0,-0.0,-0.0,7100.980392885888,5.780392885888432,0.0,0.0,-0.28862771191095254,-0.016193330636720918,-0.28862771191095254,-0.016193330636720918,-0.28862771191095254,-0.016193330636720918,0.0,0.0,0.0,0.0,0.0,0.30482104254767345,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.253736526466653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.03626897651343,-2186.005046778892,-2186.005046778892,-0.3054611672947832,14.60454227023139,0.3921532382501285,False,False,False
short_with_spot,short_no_hedge,-1,primary,none,False,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-25,1,18,IM2512,IM2606,7249.947,7172.0,6725.6,0.18886829395015284,-0.019126249563106323,7.547618971862054e-06,0.00027729634678201956,-3.6912194921910584e-05,4,False,0.12431136965471758,35.23819807445392,35.23819807445392,-35.23819807445392,-35.23819807445392,35.23819807445392,19.18833751589682,0.0,0.0,0.0,-0.0,-0.0,7178.058903546025,6.058903546025249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017359199290730917,0.0017359199290730917,0.0,0.0,0.0,0.0,0.0017359199290730917,0.0,0.0,0.0,0.0,30.255472446395725,-4.982725628058194,-4.9824397421665045,-4.9824397421665045,0.0,-244.62032122065477,-119.01865243828445,122.0825640215542,122.0825640215542,122.0825640215542,-35.23819807445392,-35.23819807445392,-0.004860476645478087,14.785534588419107,0.4018528078239984,False,False,False
short_with_spot,short_one_futures_spot,-1,primary,one_futures_min_variance,True,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-25,1,18,IM2512,IM2606,7249.947,7172.0,6725.6,0.18886829395015284,-0.019126249563106323,7.547618971862054e-06,0.00027729634678201956,-3.6912194921910584e-05,4,False,0.12431136965471758,35.23819807445392,35.23819807445392,-35.23819807445392,-35.23819807445392,35.23819807445392,19.18833751589682,0.0,0.0,0.0,-0.0,-0.0,7178.058903546025,6.058903546025249,-0.3100107941528991,0.0,-0.3869254078717002,0.0,-0.3869254078717002,0.0,-0.3869254078717002,0.0,0.3115867641438767,0.3876258989659218,0.3876258989659218,2810.267223330288,2810.267223330288,0.0769146137188011,0.0760391348220451,551.2796973856815,-551.2796973856815,0.0,0.0,0.0,-23.808828990942708,-23.808828990942708,29.145202744490085,29.145202744490085,-0.1262095232444482,-0.1262095232444482,0.0,0.0,-23.808828990942708,29.145202744490085,-0.1262095232444482,0.0,0.0,0.0,0.0,-2774.8033225735185,0.22570268231544333,0.2256897325330537,0.22568973253312474,2774.8033225735185,-41.78035623691878,0.06789792711377629,0.014335572920980696,0.014335572920980696,122.0825640215542,0.0,0.0,0.0,14.785534588419107,0.4018528078239984,False,False,False
short_with_spot,short_two_futures_spot,-1,primary,two_factor_neutral,True,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-25,1,18,IM2512,IM2606,7249.947,7172.0,6725.6,0.18886829395015284,-0.019126249563106323,7.547618971862054e-06,0.00027729634678201956,-3.6912194921910584e-05,4,False,0.12431136965471758,35.23819807445392,35.23819807445392,-35.23819807445392,-35.23819807445392,35.23819807445392,19.18833751589682,0.0,0.0,0.0,-0.0,-0.0,7178.058903546025,6.058903546025249,-0.28862771191095254,-0.016193330636720918,-0.366627230253074,-0.014980315577006261,-0.366627230253074,-0.014980315577006261,-0.366627230253074,-0.014980315577006261,0.3054611672947832,0.38144283039506544,0.38144283039506544,2765.4403038942137,2765.4403038942137,0.0792125334018361,0.07598166310028226,550.8630304489021,-550.8630304489021,0.0,0.0,0.0,-23.196504103256665,-23.196504103256665,28.57222666641957,28.57222666641957,-0.12369419751900211,-0.12369419751900211,0.0,0.0,-23.196504103256665,28.57222666641957,-0.12369419751900211,0.0,0.0,0.0,0.0,-2729.934539002103,0.2675668176567001,0.26755146590266776,0.2675514659027388,2729.934539002103,0.0,1.4210854715202004e-14,1.7334731494503398e-30,1.7334731494503398e-30,122.0825640215542,0.0,0.0,0.0,14.785534588419107,0.4018528078239984,False,False,False
short_with_spot,short_one_futures_only,-1,control,one_futures_min_variance,False,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-25,1,18,IM2512,IM2606,7249.947,7172.0,6725.6,0.18886829395015284,-0.019126249563106323,7.547618971862054e-06,0.00027729634678201956,-3.6912194921910584e-05,4,False,0.12431136965471758,35.23819807445392,35.23819807445392,-35.23819807445392,-35.23819807445392,35.23819807445392,19.18833751589682,0.0,0.0,0.0,-0.0,-0.0,7178.058903546025,6.058903546025249,-0.3100107941528991,0.0,-0.3869254078717002,0.0,-0.3869254078717002,0.0,-0.3869254078717002,0.0,0.0,0.0,0.0,0.0,0.0,0.0769146137188011,0.0,0.0,-0.0,0.0,0.0,0.0,-23.808828990942708,-23.808828990942708,0.0,0.0,0.0017359199290730917,0.0017359199290730917,0.0,0.0,-23.808828990942708,0.0,0.0017359199290730917,0.0,0.0,0.0,0.0,6.446643455453017,-28.7915546190009,-28.789902691947354,-28.789902691947354,0.0,-41.78035623691878,0.06789792711377629,0.014335572920980696,0.014335572920980696,122.0825640215542,-2810.267223330288,-2810.267223330288,-0.3876258989659218,14.785534588419107,0.4018528078239984,False,False,False
short_with_spot,short_two_futures_only,-1,control,two_factor_neutral,False,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-25,1,18,IM2512,IM2606,7249.947,7172.0,6725.6,0.18886829395015284,-0.019126249563106323,7.547618971862054e-06,0.00027729634678201956,-3.6912194921910584e-05,4,False,0.12431136965471758,35.23819807445392,35.23819807445392,-35.23819807445392,-35.23819807445392,35.23819807445392,19.18833751589682,0.0,0.0,0.0,-0.0,-0.0,7178.058903546025,6.058903546025249,-0.28862771191095254,-0.016193330636720918,-0.366627230253074,-0.014980315577006261,-0.366627230253074,-0.014980315577006261,-0.366627230253074,-0.014980315577006261,0.0,0.0,0.0,0.0,0.0,0.0792125334018361,0.0,0.0,-0.0,0.0,0.0,0.0,-23.196504103256665,-23.196504103256665,0.0,0.0,0.0017359199290730917,0.0017359199290730917,0.0,0.0,-23.196504103256665,0.0,0.0017359199290730917,0.0,0.0,0.0,0.0,7.05896834313906,-28.17922973131486,-28.1776129366486,-28.1776129366486,0.0,0.0,1.4210854715202004e-14,1.7334731494503398e-30,1.7334731494503398e-30,122.0825640215542,-2765.4403038942137,-2765.4403038942137,-0.38144283039506544,14.785534588419107,0.4018528078239984,False,False,False
short_with_spot,short_no_hedge,-1,primary,none,False,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-26,2,17,IM2512,IM2606,7248.449,7176.2,6725.8,0.18925015955529717,-0.022625614596135178,7.580939298306197e-06,0.00027781545197453836,-3.692396793217211e-05,4,False,0.12431136965471758,32.65702768712915,32.65702768712915,-32.65702768712915,-32.65702768712915,32.65702768712915,16.75364735484618,0.0,0.0,0.0,-0.0,-0.0,7181.47934110161,5.2793411016100436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0017360195338937232,0.0017360195338937232,0.0,0.0,0.0,0.0,0.003471939462966815,0.0,0.0,0.0,0.0,30.25720846592962,-2.3998192211995324,-2.3995438479089843,2.58289589425752,0.0,-228.56377575121576,-115.27859910146366,114.49854203506548,114.49854203506548,114.49854203506548,-32.65702768712915,-32.65702768712915,-0.00450538145293278,15.020755824925963,0.4117695247409499,False,False,False
short_with_spot,short_one_futures_spot,-1,primary,one_futures_min_variance,True,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-26,2,17,IM2512,IM2606,7248.449,7176.2,6725.8,0.18925015955529717,-0.022625614596135178,7.580939298306197e-06,0.00027781545197453836,-3.692396793217211e-05,4,False,0.12431136965471758,32.65702768712915,32.65702768712915,-32.65702768712915,-32.65702768712915,32.65702768712915,16.75364735484618,0.0,0.0,0.0,-0.0,-0.0,7181.47934110161,5.2793411016100436,-0.3869254078717002,0.0,-0.3859766520272487,0.0,-0.3859766520272487,0.0,-0.3859766520272487,0.0,0.3876258989659218,0.3866348066965873,0.3866348066965873,2802.502677965071,2802.502677965071,0.000948755844451532,0.0009910922693345259,7.183881768565574,7.183881768565574,0.0,0.0,0.0,-1.6250867130610704,-1.6250867130610704,-0.5806635966511455,-0.5806635966511455,-0.1592145942931619,-0.1592145942931619,0.0,0.0,-25.433915704003777,28.56453914783894,-0.2854241175376101,0.0,0.0,0.0,0.0,-2769.403742112307,0.4419081656348922,0.4418574577713098,0.21616772523825611,2769.403742112307,-37.25288353130904,0.058955240957715205,0.011395374687420088,0.011395374687420088,114.49854203506548,0.0,0.0,0.0,15.020755824925963,0.4117695247409499,False,False,False
short_with_spot,short_two_futures_spot,-1,primary,two_factor_neutral,True,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-26,2,17,IM2512,IM2606,7248.449,7176.2,6725.8,0.18925015955529717,-0.022625614596135178,7.580939298306197e-06,0.00027781545197453836,-3.692396793217211e-05,4,False,0.12431136965471758,32.65702768712915,32.65702768712915,-32.65702768712915,-32.65702768712915,32.65702768712915,16.75364735484618,0.0,0.0,0.0,-0.0,-0.0,7181.47934110161,5.2793411016100436,-0.366627230253074,-0.014980315577006261,-0.36730673730864744,-0.013381446579088888,-0.36730673730864744,-0.013381446579088888,-0.36730673730864744,-0.013381446579088888,0.38144283039506544,0.3805675627107373,0.3805675627107373,2758.524569363081,2758.524569363081,0.002278376053490832,0.0008752676843281626,6.344333171200786,6.344333171200786,0.0,0.0,0.0,-1.5428304301782425,-1.5428304301782425,-0.5714013599319995,-0.5714013599319995,-0.15664008203327134,-0.15664008203327134,0.0,0.0,-24.739334533434906,28.00082530648757,-0.28033427955227347,0.0,0.0,0.0,0.0,-2725.289676343114,0.5778653328377246,0.5777990242271461,0.31024755832447837,2725.289676343114,0.0,-1.4210854715202004e-14,1.7334731494503398e-30,1.7334731494503398e-30,114.49854203506548,0.0,0.0,0.0,15.020755824925963,0.4117695247409499,False,False,False
short_with_spot,short_one_futures_only,-1,control,one_futures_min_variance,False,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-26,2,17,IM2512,IM2606,7248.449,7176.2,6725.8,0.18925015955529717,-0.022625614596135178,7.580939298306197e-06,0.00027781545197453836,-3.692396793217211e-05,4,False,0.12431136965471758,32.65702768712915,32.65702768712915,-32.65702768712915,-32.65702768712915,32.65702768712915,16.75364735484618,0.0,0.0,0.0,-0.0,-0.0,7181.47934110161,5.2793411016100436,-0.3869254078717002,0.0,-0.3859766520272487,0.0,-0.3859766520272487,0.0,-0.3859766520272487,0.0,0.0,0.0,0.0,0.0,0.0,0.000948755844451532,0.0,0.0,-0.0,0.0,0.0,0.0,-1.6250867130610704,-1.6250867130610704,-0.0,-0.0,0.00036989999037505657,0.00036989999037505657,0.0,0.0,-25.433915704003777,0.0,0.0021058199194481484,0.0,0.0,0.0,0.0,4.821926642382322,-27.83510104474683,-27.83190703608996,0.9579956558573954,0.0,-37.25288353130904,0.058955240957715205,0.011395374687420088,0.011395374687420088,114.49854203506548,-2802.502677965071,-2802.502677965071,-0.3866348066965873,15.020755824925963,0.4117695247409499,False,False,False
short_with_spot,short_two_futures_only,-1,control,two_factor_neutral,False,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-26,2,17,IM2512,IM2606,7248.449,7176.2,6725.8,0.18925015955529717,-0.022625614596135178,7.580939298306197e-06,0.00027781545197453836,-3.692396793217211e-05,4,False,0.12431136965471758,32.65702768712915,32.65702768712915,-32.65702768712915,-32.65702768712915,32.65702768712915,16.75364735484618,0.0,0.0,0.0,-0.0,-0.0,7181.47934110161,5.2793411016100436,-0.366627230253074,-0.014980315577006261,-0.36730673730864744,-0.013381446579088888,-0.36730673730864744,-0.013381446579088888,-0.36730673730864744,-0.013381446579088888,0.0,0.0,0.0,0.0,0.0,0.002278376053490832,0.0,0.0,-0.0,0.0,0.0,0.0,-1.5428304301782425,-1.5428304301782425,-0.0,-0.0,0.00040503439351470696,0.00040503439351470696,0.0,0.0,-24.739334533434906,0.0,0.0021409543225877985,0.0,0.0,0.0,0.0,5.516542947354333,-27.14048473977482,-27.13737043661238,1.0402425000362214,0.0,0.0,-1.4210854715202004e-14,1.7334731494503398e-30,1.7334731494503398e-30,114.49854203506548,-2758.524569363081,-2758.524569363081,-0.3805675627107373,15.020755824925963,0.4117695247409499,False,False,False
short_with_spot,short_no_hedge,-1,primary,none,False,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-27,3,16,IM2512,IM2606,7257.454,7179.0,6720.0,0.1897907998851146,0.01501340269624038,7.668805738466816e-06,0.00027990246108222476,-3.722031561457822e-05,4,False,0.12431136965471758,35.23909847132978,35.23909847132978,-35.23909847132978,-35.23909847132978,35.23909847132978,26.14638358391585,0.0,0.0,0.0,-0.0,-0.0,7183.277872549847,4.277872549847416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017361191444295494,0.0017361191444295494,0.0,0.0,0.0,0.0,0.005208058607396364,0.0,0.0,0.0,0.0,30.258944585074047,-4.980153886255735,-4.979296720426949,-2.5797528725179646,0.0,-244.1703132946218,-130.95685438892932,147.696867860879,147.696867860879,147.696867860879,-35.23909847132978,-35.23909847132978,-0.004855573107501582,15.297995548842406,0.42190042813468115,False,False,False
short_with_spot,short_one_futures_spot,-1,primary,one_futures_min_variance,True,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-27,3,16,IM2512,IM2606,7257.454,7179.0,6720.0,0.1897907998851146,0.01501340269624038,7.668805738466816e-06,0.00027990246108222476,-3.722031561457822e-05,4,False,0.12431136965471758,35.23909847132978,35.23909847132978,-35.23909847132978,-35.23909847132978,35.23909847132978,26.14638358391585,0.0,0.0,0.0,-0.0,-0.0,7183.277872549847,4.277872549847416,-0.3859766520272487,0.0,-0.45305353367024126,0.0,-0.45305353367024126,0.0,-0.45305353367024126,0.0,0.3866348066965873,0.4530115405058016,0.4530115405058016,3287.7104166899917,3287.7104166899917,0.06707688164299258,0.06637673380921433,481.7260922906177,-481.7260922906177,0.0,0.0,0.0,-1.0807346256763666,-1.0807346256763666,3.4816464343028106,3.4816464343028106,-0.15890477341126685,-0.15890477341126685,0.0,0.0,-26.514650329680144,32.04618558214175,-0.44432889094887695,0.0,0.0,0.0,0.0,-3252.369473802012,0.1018444166497261,0.1018268875621118,-0.340030570209198,3252.369473802012,-32.63132722457755,0.050271726690738205,0.00874216061825952,0.00874216061825952,147.696867860879,0.0,0.0,0.0,15.297995548842406,0.42190042813468115,False,False,False
short_with_spot,short_two_futures_spot,-1,primary,two_factor_neutral,True,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-27,3,16,IM2512,IM2606,7257.454,7179.0,6720.0,0.1897907998851146,0.01501340269624038,7.668805738466816e-06,0.00027990246108222476,-3.722031561457822e-05,4,False,0.12431136965471758,35.23909847132978,35.23909847132978,-35.23909847132978,-35.23909847132978,35.23909847132978,26.14638358391585,0.0,0.0,0.0,-0.0,-0.0,7183.277872549847,4.277872549847416,-0.36730673730864744,-0.013381446579088888,-0.4361256964249994,-0.01175456824243761,-0.4361256964249994,-0.01175456824243761,-0.4361256964249994,-0.01175456824243761,0.3805675627107373,0.4471507737693661,0.4471507737693661,3245.176171695581,3245.176171695581,0.07044583745300322,0.06658321105862886,483.2245914302902,-483.2245914302902,0.0,0.0,0.0,-0.9508464743055616,-0.9508464743055616,3.4270109022102306,3.4270109022102306,-0.1563735658741684,-0.1563735658741684,0.0,0.0,-25.690181007740467,31.4278362086978,-0.43670784542644187,0.0,0.0,0.0,0.0,-3209.621487813584,0.31558541066755197,0.31553109326365925,-0.2622679309634869,3209.621487813584,0.0,0.0,0.0,0.0,147.696867860879,0.0,0.0,0.0,15.297995548842406,0.42190042813468115,False,False,False
short_with_spot,short_one_futures_only,-1,control,one_futures_min_variance,False,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-27,3,16,IM2512,IM2606,7257.454,7179.0,6720.0,0.1897907998851146,0.01501340269624038,7.668805738466816e-06,0.00027990246108222476,-3.722031561457822e-05,4,False,0.12431136965471758,35.23909847132978,35.23909847132978,-35.23909847132978,-35.23909847132978,35.23909847132978,26.14638358391585,0.0,0.0,0.0,-0.0,-0.0,7183.277872549847,4.277872549847416,-0.3859766520272487,0.0,-0.45305353367024126,0.0,-0.45305353367024126,0.0,-0.45305353367024126,0.0,0.0,0.0,0.0,0.0,0.0,0.06707688164299258,0.0,0.0,-0.0,0.0,0.0,0.0,-1.0807346256763666,-1.0807346256763666,0.0,0.0,0.00027667585945019676,0.00027667585945019676,0.0,0.0,-26.514650329680144,0.0,0.0023824957788983452,0.0,0.0,0.0,0.0,3.7414686925654053,-31.497629778764377,-31.49220852220268,-3.660301486112722,0.0,-32.63132722457755,0.050271726690738205,0.00874216061825952,0.00874216061825952,147.696867860879,-3287.7104166899917,-3287.7104166899917,-0.4530115405058016,15.297995548842406,0.42190042813468115,False,False,False
short_with_spot,short_two_futures_only,-1,control,two_factor_neutral,False,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-27,3,16,IM2512,IM2606,7257.454,7179.0,6720.0,0.1897907998851146,0.01501340269624038,7.668805738466816e-06,0.00027990246108222476,-3.722031561457822e-05,4,False,0.12431136965471758,35.23909847132978,35.23909847132978,-35.23909847132978,-35.23909847132978,35.23909847132978,26.14638358391585,0.0,0.0,0.0,-0.0,-0.0,7183.277872549847,4.277872549847416,-0.36730673730864744,-0.013381446579088888,-0.4361256964249994,-0.01175456824243761,-0.4361256964249994,-0.01175456824243761,-0.4361256964249994,-0.01175456824243761,0.0,0.0,0.0,0.0,0.0,0.07044583745300322,0.0,0.0,-0.0,0.0,0.0,0.0,-0.9508464743055616,-0.9508464743055616,0.0,0.0,0.0003165320367460216,0.0003165320367460216,0.0,0.0,-25.690181007740467,0.0,0.00245748635933382,0.0,0.0,0.0,0.0,4.566013005085518,-30.673085466244267,-30.667806127226715,-3.530435690614336,0.0,0.0,0.0,0.0,0.0,147.696867860879,-3245.176171695581,-3245.176171695581,-0.4471507737693661,15.297995548842406,0.42190042813468115,False,False,False
short_with_spot,short_no_hedge,-1,primary,none,False,1.0,1.0,0.0,0.0,0.0,0,2025-11-24,2025-11-28,4,15,IM2512,IM2606,7334.21,7260.8,6787.2,0.19186494193379908,0.01309370277986646,7.776399179317137e-06,0.00028270988754739573,-3.762917315414048e-05,4,False,0.12431136965471758,33.42168435772762,33.42168435772762,-33.42168435772762,-33.42168435772762,33.42168435772762,23.841781269572493,0.0,0.0,0.0,-0.0,-0.0,7263.346235009881,2.5462350098805473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017362187606808981,0.0017362187606808981,0.0,0.0,0.0,0.0,0.006944277368077262,0.0,0.0,0.0,0.0,30.260680803834727,-3.1610035538928933,-3.1602781609124113,1.8190185595145376,0.0,-234.16831145106244,-130.5423228206077,146.72721042637338,146.72721042637338,146.72721042637338,-33.42168435772762,-33.42168435772762,-0.004556957648843928,15.634937372380428,0.43224160601238626,False,False,False
