scenario,completed_cohorts,sum_cohort_pnl,mean_cohort_pnl,median_cohort_pnl,std_cohort_pnl,worst_cohort_pnl,fifth_percentile_cohort_pnl,mean_pnl_below_fifth_percentile,daily_discounted_pnl_variance,total_costs,total_turnover_contracts,variance_reduction_vs_no_hedge
no_hedge,1,20.639334150496026,20.639334150496026,20.639334150496026,,20.639334150496026,20.639334150496026,20.639334150496026,,0.0,0.0,
one_futures,1,41.60045684213753,41.60045684213753,41.60045684213753,,41.60045684213753,41.60045684213753,41.60045684213753,,0.0,0.6093349619663131,
two_futures,1,41.12634523445449,41.12634523445449,41.12634523445449,,41.12634523445449,41.12634523445449,41.12634523445449,,0.0,0.5976213099272644,
