scenario,mean_factor_variance,mean_unhedged_factor_variance,rms_scale_exposure,max_abs_scale_exposure,factor_variance_reduction
no_hedge,43.62421271414407,43.62421271414407,19.737801084562804,48.99670745392068,0.0
one_futures,0.009886068313864382,43.62421271414407,2015.829257918212,4713.348223891058,0.9997733811638356
two_futures,8.679463670625725e-31,43.62421271414407,1984.4895031001683,4671.739515217189,1.0
