variant,scenario,sum_pnl,mean_pnl,cohort_pnl_std,daily_pnl_std,daily_pnl_variance,costs,variance_reduction
same_close_zero_cost,no_hedge,80.08250744812757,3.336771143671982,19.49963199323103,7.360821959049463,54.18169991282477,0.0,0.0
same_close_zero_cost,one_futures,1285.7732274792256,53.57388447830107,96.4191764886691,29.311837072254296,859.1837925503813,0.0,-14.857453603943002
same_close_zero_cost,two_futures,1263.259183542599,52.635799314274955,94.90720469837737,28.852238826893352,832.4516853240922,0.0,-14.364074709052298
lag_one_session,no_hedge,80.08250744812757,3.336771143671982,19.49963199323103,7.360821959049463,54.18169991282477,0.0,0.0
lag_one_session,one_futures,717.5637654101411,29.898490225422545,92.90272534136291,28.33578950450206,802.916966843449,0.0,-13.818969654612095
lag_one_session,two_futures,702.9805901278825,29.2908579219951,91.35599058100513,27.87749405038449,777.1546745292227,0.0,-13.34349006730353
cost_0.2_points_one_way,no_hedge,80.08250744812757,3.336771143671982,19.49963199323103,7.360821959049463,54.18169991282477,0.0,0.0
cost_0.2_points_one_way,one_futures,1280.3505503922015,53.347939599675065,96.4241850118954,29.309286781349034,859.0342916313613,5.420905052982771,-14.854694352770363
cost_0.2_points_one_way,two_futures,1257.851263537293,52.41046931405388,94.91253168333014,28.849679696842582,832.3040186104112,5.406150105173792,-14.361349310736657
