cohort,scenario,date,pnl_before_financing_costs,first_order_spot_move,first_order_factor_move,remainder
2024-08-19,no_hedge,2024-08-20,0.2892869463035095,-0.3631010254148836,1.5239651918049641,-0.871577220086571
2024-08-19,no_hedge,2024-08-21,-5.220604981480568,-0.13810639455434282,-4.814224836750167,-0.2682737501760579
2024-08-19,no_hedge,2024-08-22,-2.0722321802994363,-0.18799935063864118,-1.0656049032099426,-0.8186279264508525
2024-08-19,no_hedge,2024-08-23,-0.7376346302236081,0.010207842068953647,0.1247787251305667,-0.8726211974231284
2024-08-19,no_hedge,2024-08-26,0.1936536754234642,0.048189667021476756,0.988255432479958,-0.8427914240779705
2024-08-19,no_hedge,2024-08-27,-1.5291232245311666,-0.14783845449361177,-0.5196849292762751,-0.8615998407612797
2024-08-19,no_hedge,2024-08-28,-0.15984499500359517,0.026832726488721825,0.690472562095783,-0.8771502835881
2024-08-19,no_hedge,2024-08-29,-2.000949893857451,0.17451765048271847,-1.384196075834676,-0.7912714685054936
2024-08-19,no_hedge,2024-08-30,-1.9161327018072412,0.16918132449087367,-1.3353408608646629,-0.7499731654334518
2024-08-19,no_hedge,2024-09-02,1.2360158073344518,-0.1449537716583146,2.0185883107401073,-0.6376187317473407
2024-08-19,no_hedge,2024-09-03,2.1858774546921307,0.07186974162885154,2.6368920366809188,-0.5228843236176397
2024-08-19,no_hedge,2024-09-04,-2.9349879696692827,-0.0489721973931663,-2.1987200004496104,-0.687295771826506
2024-08-19,no_hedge,2024-09-05,-1.9109441904247564,0.058705816484035396,-1.1564272130803557,-0.8132227938284362
2024-08-19,no_hedge,2024-09-06,0.19734606472314617,-0.09432645803407196,1.1699227423436864,-0.8782502195864683
2024-08-19,no_hedge,2024-09-09,0.8997284175610903,-0.041376723223497724,1.820550173308661,-0.879445032524073
2024-08-19,no_hedge,2024-09-10,-1.2109253000181424,0.017774244279459825,-0.13038566308922545,-1.0983138812083766
2024-08-19,no_hedge,2024-09-11,-0.7888427101585869,-0.001885899669133168,0.3591011542677097,-1.1460579647571634
2024-08-19,no_hedge,2024-09-12,-2.2055431185985883,-0.01772134621080473,-1.4930714769222022,-0.6947502954655813
2024-08-19,no_hedge,2024-09-13,-1.2463767707534932,-0.029832310824295997,-0.5561365321506907,-0.6604079277785065
2024-08-19,no_hedge,2024-09-18,-0.45542094793382704,-0.0036724005052827064,0.30738034274739456,-0.7591288901759389
2024-08-19,no_hedge,2024-09-19,-0.6977731725092565,0.013187657001678486,-0.27698272742272845,-0.43397810208820653
2024-08-19,no_hedge,2024-09-20,-3.0791341698588326e-17,-0.0,0.0,-3.0791341698588326e-17
2024-08-19,one_futures,2024-08-20,-29.07768025333526,-28.966871907013022,0.0241095053377142,-0.13491785165995132
2024-08-19,one_futures,2024-08-21,-10.975463838358289,-11.936813875409253,0.004589309935482311,0.9567607271154821
2024-08-19,one_futures,2024-08-22,-16.48710948856838,-16.75895629951319,0.0628184558057741,0.20902835513903767
2024-08-19,one_futures,2024-08-23,-0.25128377500374094,0.9533112968652578,-0.06744842701620438,-1.1371466448527945
2024-08-19,one_futures,2024-08-26,4.142141306461363,4.905825125093295,-0.05506534455969371,-0.7086184740722387
2024-08-19,one_futures,2024-08-27,-15.823404687704436,-16.24673587060947,0.008463337611992135,0.4148678452930422
2024-08-19,one_futures,2024-08-28,2.1832679089612084,3.1980586514278073,0.0053461447942162515,-1.0201368872608152
2024-08-19,one_futures,2024-08-29,22.66175248517515,23.043949755912475,-0.029415832392872068,-0.3527814383444535
2024-08-19,one_futures,2024-08-30,24.045273789778676,24.180143615241967,-0.015898838657690872,-0.11897098680559987
2024-08-19,one_futures,2024-09-02,-24.048981565929807,-23.326310891340682,0.005758742638124078,-0.728429417227249
2024-08-19,one_futures,2024-09-03,12.304885823274125,12.71527267119938,-0.003744097291580539,-0.40664275063367383
2024-08-19,one_futures,2024-09-04,-8.083023884451153,-9.935392095108384,0.008013825808644076,1.8443543848485864
2024-08-19,one_futures,2024-09-05,13.188068785626829,13.277967233353914,-0.006983177906199649,-0.08291526982088579
2024-08-19,one_futures,2024-09-06,-25.919211993425293,-25.684934982810883,0.012647539493987307,-0.24692455010839673
2024-08-19,one_futures,2024-09-09,-14.856328928552685,-12.953433748229605,-0.008524227565709874,-1.8943709527573702
2024-08-19,one_futures,2024-09-10,7.1207193137212546,6.186896987182573,-0.0031771305431840522,0.9369994570818656
2024-08-19,one_futures,2024-09-11,-0.19416312252851106,-0.7770078973164675,0.0009246519401226429,0.5819201228478338
2024-08-19,one_futures,2024-09-12,-5.669310053753896,-9.337350712954473,0.002675268324996866,3.6653653908755803
2024-08-19,one_futures,2024-09-13,-21.89025279310543,-22.255094557068606,0.0028888020877504764,0.36195296187542686
2024-08-19,one_futures,2024-09-18,-4.224562715045768,-4.496459287158555,0.0033339444763976836,0.2685626276363896
2024-08-19,one_futures,2024-09-19,22.977912493509987,23.933929354503043,0.0007298184081703582,-0.9567466794012267
2024-08-19,one_futures,2024-09-20,-2.1822821327788233e-15,-0.0,0.0,-2.1822821327788233e-15
2024-08-19,two_futures,2024-08-20,-28.51992215153517,-28.328298542461592,2.575655991362453e-16,-0.19162360907357748
2024-08-19,two_futures,2024-08-21,-10.798436276377545,-11.705893960899147,-0.0,0.9074576845216011
2024-08-19,two_futures,2024-08-22,-16.226396396110957,-16.35496931281654,-1.5654353513744684e-16,0.12857291670558285
2024-08-19,two_futures,2024-08-23,-0.1313077373244714,0.9290145616212473,3.991686666399799e-17,-1.0603222989457186
2024-08-19,two_futures,2024-08-26,4.091215169163729,4.787208325176087,-3.2909516123446417e-16,-0.695993156012357
2024-08-19,two_futures,2024-08-27,-15.566052198829645,-15.887960946705087,0.0,0.3219087478754421
2024-08-19,two_futures,2024-08-28,2.132769602782294,3.1276827992973897,0.0,-0.9949131965150957
2024-08-19,two_futures,2024-08-29,22.23692010204795,22.58807959061324,1.4886094594124516e-16,-0.3511594885652906
2024-08-19,two_futures,2024-08-30,23.537357168909764,23.666829161492522,-2.0125646642980402e-16,-0.12947199258275768
2024-08-19,two_futures,2024-09-02,-23.539717800412074,-22.813846653495297,0.0,-0.7258711469167771
2024-08-19,two_futures,2024-09-03,12.091325502483429,12.492834475896474,3.815548502622967e-16,-0.4015089734130463
2024-08-19,two_futures,2024-09-04,-8.026806836114076,-9.818165675231503,1.2202113539002679e-17,1.7913588391174269
2024-08-19,two_futures,2024-09-05,13.004759681304197,13.09447291578439,-1.6620218283016045e-16,-0.08971323448019303
2024-08-19,two_futures,2024-09-06,-25.595637816239186,-25.33024079691051,-1.722215156637505e-17,-0.26539701932867743
2024-08-19,two_futures,2024-09-09,-14.67760731243365,-12.809632033752829,-3.0018007185384903e-16,-1.8679752786808217
2024-08-19,two_futures,2024-09-10,7.049876761930401,6.136071703865887,-0.0,0.9138050580645141
2024-08-19,two_futures,2024-09-11,-0.2077617866051586,-0.7708525451780441,0.0,0.5630907585728855
2024-08-19,two_futures,2024-09-12,-5.648031412792704,-9.275331729383332,-2.5128820589201696e-16,3.627300316590629
2024-08-19,two_futures,2024-09-13,-21.74454514513174,-22.097603837917276,0.0,0.3530586927855346
2024-08-19,two_futures,2024-09-18,-4.206742316553468,-4.467364127266991,2.409651934265238e-17,0.26062181071352253
2024-08-19,two_futures,2024-09-19,22.847814167981216,23.80050031216711,0.0,-0.9526861441858934
2024-08-19,two_futures,2024-09-20,-2.3284325856298693e-15,-0.0,0.0,-2.3284325856298693e-15
2024-09-23,no_hedge,2024-09-24,-6.4813189642222495,0.35948356224408684,-10.144687796873306,3.30388527040697
2024-09-23,no_hedge,2024-09-25,0.6861141272944243,0.026191544798303403,1.0063713746664482,-0.3464487921703273
2024-09-23,no_hedge,2024-09-26,-3.0287026070294707,0.13905863232881593,-5.894532219824765,2.726770980466479
2024-09-23,no_hedge,2024-09-27,-0.43643223393535235,0.023675158422084525,-1.5400618700796622,1.0799544777222254
2024-09-23,no_hedge,2024-09-30,0.04106441078565768,0.00038903352542895447,0.011780336725288977,0.02889504053493975
2024-09-23,no_hedge,2024-10-08,0.4402579045020071,0.003848943090034216,0.13115462678381942,0.30525433462815343
2024-09-23,no_hedge,2024-10-09,-0.17648722244974843,-0.03710019717606518,0.03561677020484008,-0.17500379547852332
2024-09-23,no_hedge,2024-10-10,0.09865579278096698,-0.003921786653808747,0.2327279877906559,-0.13015040835588018
2024-09-23,no_hedge,2024-10-11,0.06875254915463466,-0.01711352108667574,0.2776408186377737,-0.19177474839646327
2024-09-23,no_hedge,2024-10-14,0.0005907617985266788,0.01747728420407006,0.23990815584450695,-0.2567946782500503
2024-09-23,no_hedge,2024-10-15,16.79063743330307,-0.009209694946516927,0.9039172264645929,15.895929901784992
2024-09-23,one_futures,2024-09-24,60.02130717815969,53.32106669259544,-0.01492612408814624,6.715166609652397
2024-09-23,one_futures,2024-09-25,3.3236531170842074,4.336813262077519,-0.03077107565752686,-0.9823890693357847
2024-09-23,one_futures,2024-09-26,32.18398083081321,25.80616557352214,-0.03386209274201692,6.411677350033089
2024-09-23,one_futures,2024-09-27,8.591739400311653,5.670827669944387,0.0009048056827292272,2.9200069246845364
2024-09-23,one_futures,2024-09-30,0.15279727188456144,0.1483614537610049,2.2988356325553195e-05,0.004412829767230981
2024-09-23,one_futures,2024-10-08,1.6387798173571462,1.4848748064819073,-0.0037241528410311454,0.15762916371627003
2024-09-23,one_futures,2024-10-09,-14.38895289384677,-14.430042634421637,-0.0028967815737492423,0.04398652214861594
2024-09-23,one_futures,2024-10-10,-2.13651429087989,-1.9091613189426015,-0.005221963398273759,-0.22213100853901466
2024-09-23,one_futures,2024-10-11,-10.21483318168636,-10.179950832579966,-0.002422272106254606,-0.03246007700014038
2024-09-23,one_futures,2024-10-14,12.472479432254097,13.09506095054564,0.002357878544819063,-0.6249393968363623
2024-09-23,one_futures,2024-10-15,5.031535647401665,-9.70660076869556,0.0012227590803703628,14.736913657016855
2024-09-23,two_futures,2024-09-24,58.725506494092585,52.12156700466088,-0.0,6.603939489431703
2024-09-23,two_futures,2024-09-25,3.2574737536885525,4.176361545950121,2.4677004314970146e-16,-0.9188877922615684
2024-09-23,two_futures,2024-09-26,31.221210442427697,25.00212819181627,-0.0,6.219082250611429
2024-09-23,two_futures,2024-09-27,8.194392860371485,5.428413075286544,-6.038989149608721e-16,2.7659797850849412
2024-09-23,two_futures,2024-09-30,0.1477234574723626,0.14108266755332202,-2.008547984253876e-18,0.006640789919040576
2024-09-23,two_futures,2024-10-08,1.593009659005667,1.4236821644654063,0.0,0.16932749454026075
2024-09-23,two_futures,2024-10-09,-13.963350352550263,-13.987536877574076,0.0,0.024186525023813132
2024-09-23,two_futures,2024-10-10,-2.073175913962637,-1.856542674858427,0.0,-0.21663323910421006
2024-09-23,two_futures,2024-10-11,-9.991472002195636,-9.952906197404154,5.383298800712035e-17,-0.038565804791481695
2024-09-23,two_futures,2024-10-14,12.24638915059726,12.863440537672393,-3.007430284100146e-17,-0.6170513870751329
2024-09-23,two_futures,2024-10-15,5.180096893377844,-9.57747546032321,1.0797093478962046e-16,14.757572353701054
2024-10-21,no_hedge,2024-10-22,-1.6130716759519554,0.10161059547596342,-0.25023670154768635,-1.4644455698802326
2024-10-21,no_hedge,2024-10-23,-1.8300960015100107,0.04881272592833853,-0.4283625516362376,-1.4505461758021116
2024-10-21,no_hedge,2024-10-24,-2.9435182719317323,-0.1253412384934605,-1.506893288056526,-1.3112837453817456
2024-10-21,no_hedge,2024-10-25,-5.639420221214964,0.28402774042185086,-5.6403185945106395,-0.2831293671261754
2024-10-21,no_hedge,2024-10-28,4.9937370916455155,0.16248189465297747,4.65897114117239,0.17228405582014794
2024-10-21,no_hedge,2024-10-29,-1.8349377816154002,-0.22699433080982703,-0.18603422381135631,-1.4219092269942168
2024-10-21,no_hedge,2024-10-30,0.8790424405267961,0.07249973155620577,2.118611423218897,-1.3120687142483065
2024-10-21,no_hedge,2024-10-31,0.7618689296883219,0.21172118350237948,2.0068707859473305,-1.4567230397613882
2024-10-21,no_hedge,2024-11-01,-4.069524987697447,-0.4223682934260838,-2.4758692481908806,-1.1712874460804823
2024-10-21,no_hedge,2024-11-04,-4.690702697136366,0.20281795527671476,-4.54739434665434,-0.3461263057587418
2024-10-21,no_hedge,2024-11-05,-1.7718019587021332,0.17973072567402248,-1.062110030884909,-0.8894226534912466
2024-10-21,no_hedge,2024-11-06,0.7126059494092083,0.014143291581721113,1.4764879348447157,-0.7780252770172286
2024-10-21,no_hedge,2024-11-07,-1.5497180712907337,0.07104915647529098,-0.7251383029367343,-0.8956289248292902
2024-10-21,no_hedge,2024-11-08,6.092812278201276,0.007462334074378373,1.6309320675436527,4.4544178765832445
2024-10-21,one_futures,2024-10-22,7.648196949141072,7.813359831583103,0.08316362667122594,-0.248326509113257
2024-10-21,one_futures,2024-10-23,2.871895154620741,4.028037056373305,-0.009599849009640107,-1.1465420527429235
2024-10-21,one_futures,2024-10-24,-11.441402735431918,-11.172076958386388,0.032792060233395114,-0.3021178372789255
2024-10-21,one_futures,2024-10-25,27.08255442542942,27.32769749979424,0.0012338551052031264,-0.246376929470022
2024-10-21,one_futures,2024-10-28,16.42203377826028,16.9547923566058,-0.05415067751793747,-0.47860790082758453
2024-10-21,one_futures,2024-10-29,-26.484701739854614,-26.668532671645682,0.057507190662610626,0.12632374112845718
2024-10-21,one_futures,2024-10-30,8.284036118049446,9.38787134195546,0.03382487531504861,-1.1376600992210624
2024-10-21,one_futures,2024-10-31,28.87789369414646,30.749440284145816,0.025448081392849764,-1.8969946713922043
2024-10-21,one_futures,2024-11-01,-70.7132585705594,-70.13671218356808,0.00816391385654569,-0.5847103008478705
2024-10-21,one_futures,2024-11-04,40.3005987180493,37.580468593859095,0.03729279443729439,2.6828373297529113
2024-10-21,one_futures,2024-11-05,39.066114201641795,40.242713583820596,0.008421329461821926,-1.185020711640622
2024-10-21,one_futures,2024-11-06,2.194900354835073,3.8228838652016455,0.005416098875131383,-1.6333996092417038
2024-10-21,one_futures,2024-11-07,22.263933162600615,23.16230010242683,-0.0037409864217100744,-0.8946259534045043
2024-10-21,one_futures,2024-11-08,6.189250533179542,3.0960969254388893,0.0012139521967300677,3.0919396555439222
2024-10-21,two_futures,2024-10-22,7.243564993736717,7.644996060873409,1.271460936772769e-16,-0.4014310671366924
2024-10-21,two_futures,2024-10-23,2.8122835070534955,3.9421936521376826,8.339793942141974e-17,-1.129910145084187
2024-10-21,two_futures,2024-10-24,-11.294964567143788,-10.936131476056943,1.8854054387874802e-16,-0.3588330910868455
2024-10-21,two_futures,2024-10-25,26.51120133347771,26.729654361528556,-0.0,-0.21845302805084543
2024-10-21,two_futures,2024-10-28,16.097537653375465,16.50809983698905,0.0,-0.4105621836135853
2024-10-21,two_futures,2024-10-29,-26.13099939330619,-26.16979789951022,0.0,0.038798506204027916
2024-10-21,two_futures,2024-10-30,8.092965933788172,9.216170483488106,2.8126003777067376e-16,-1.123204549699935
2024-10-21,two_futures,2024-10-31,28.401001772586095,30.277650641574645,-2.0852060432312172e-16,-1.8766488689885497
2024-10-21,two_futures,2024-11-01,-69.85088904579834,-69.26065717126889,5.08002531680836e-16,-0.5902318745294514
2024-10-21,two_futures,2024-11-04,39.64778830073168,37.050756627930085,0.0,2.5970316728015987
2024-10-21,two_futures,2024-11-05,38.40708076966184,39.566072425798,0.0,-1.158991656136159
2024-10-21,two_futures,2024-11-06,2.148507359839751,3.7576488103951933,-2.284546800440097e-16,-1.6091414505554422
2024-10-21,two_futures,2024-11-07,21.976619110001902,22.862189323606213,1.6528922717354166e-16,-0.8855702136043108
2024-10-21,two_futures,2024-11-08,6.175301425065867,3.0565350306120793,2.209102621132086e-18,3.118766394453788
2024-11-18,no_hedge,2024-11-19,3.3124165092449323,0.8595562484922051,3.881561573977175,-1.428701313224448
2024-11-18,no_hedge,2024-11-20,9.187071672956147,0.7134372798052491,8.692927607046817,-0.21929321389591827
2024-11-18,no_hedge,2024-11-21,10.812396821367205,0.08265541473932898,7.539367840511488,3.1903735661163886
2024-11-18,one_futures,2024-11-19,43.97341516941599,46.32381648482523,-0.1234049426275928,-2.2269963727816435
2024-11-18,one_futures,2024-11-20,42.98429657054573,42.10812545134414,0.04231135349346579,0.8338597657081279
2024-11-18,one_futures,2024-11-21,9.08290563447499,5.488248798603383,0.045582412203763634,3.5490744236678435
2024-11-18,two_futures,2024-11-19,43.12438987147791,45.09518530876932,-7.510405876376325e-16,-1.9707954372914067
2024-11-18,two_futures,2024-11-20,41.821081262307956,41.15466316242833,-2.8674737869769745e-17,0.6664180998796283
2024-11-18,two_futures,2024-11-21,8.943643926174797,5.403750384278249,0.0,3.5398935418965483
2024-12-23,no_hedge,2024-12-24,-0.5202431681819742,0.25170737863565845,0.8543466963877251,-1.6262972432053577
2024-12-23,no_hedge,2024-12-25,-5.3895320285903185,-0.24925456334818738,-4.002194393418646,-1.138083071823485
2024-12-23,no_hedge,2024-12-26,1.887833357526969,0.17980394981558,2.97423482260739,-1.266205414896001
2024-12-23,no_hedge,2024-12-27,-1.548105429960212,0.03346451306754158,0.03894805153634963,-1.620517994564103
2024-12-23,no_hedge,2024-12-30,-4.228416468546659,-0.07063062755246872,-2.9616205047333137,-1.1961653362608766
