cohort,date,scenario,elapsed_sessions,remaining_sessions,hedge_contract_1,hedge_contract_2,spot,futures_1,futures_2,filtered_slow_state,filtered_fast_state,filtered_var_slow,filtered_var_fast,filtered_cov_slow_fast,accepted_contracts,prediction_only,locked_carry,option_price_points,continuation_points,exercise_value_points,model_futures,futures_model_error,held_contracts_1,held_contracts_2,target_contracts_1,target_contracts_2,contracts_1,contracts_2,turnover_contracts,transaction_cost,daily_futures_pnl,daily_financing,option_payoff,cash,option_mark,equity,discounted_equity,discounted_pnl_change,cumulative_futures_pnl,cumulative_financing,cumulative_costs,residual_slow_exposure,residual_fast_exposure,residual_factor_variance,unhedged_factor_variance,residual_scale_exposure,hedge_condition_number,hedge_angular_separation,conditioning_warning,exercise_now,expired
2024-08-19,2024-08-19,no_hedge,0,22,IM2409,IM2503,4663.612,4622.8,4430.6,0.07616062491819457,0.011669026197226259,7.842081497846861e-06,0.00020481954686258925,-3.417758247942001e-05,4,False,0.11148546500274653,20.085398064603336,20.085398064603336,0.0,4619.420755975631,-3.379244024368745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.085398064603336,20.085398064603336,0.0,0.0,0.0,0.0,0.0,0.0,172.28268229469262,76.77685598293343,32.26059275128297,32.26059275128297,20.085398064603336,12.977266476469644,0.3622786827829635,False,False,False
2024-08-19,2024-08-19,one_futures,0,22,IM2409,IM2503,4663.612,4622.8,4430.6,0.07616062491819457,0.011669026197226259,7.842081497846861e-06,0.00020481954686258925,-3.417758247942001e-05,4,False,0.11148546500274653,20.085398064603336,20.085398064603336,0.0,4619.420755975631,-3.379244024368745,0.0,0.0,0.34227259714513747,0.0,0.34227259714513747,0.0,0.34227259714513747,0.0,0.0,0.0,0.0,-20.085398064603336,20.085398064603336,0.0,0.0,0.0,0.0,0.0,0.0,34.41110952522655,-0.129085928142203,0.013509317026403119,32.26059275128297,1602.343160147145,12.977266476469644,0.3622786827829635,False,False,False
2024-08-19,2024-08-19,two_futures,0,22,IM2409,IM2503,4663.612,4622.8,4430.6,0.07616062491819457,0.011669026197226259,7.842081497846861e-06,0.00020481954686258925,-3.417758247942001e-05,4,False,0.11148546500274653,20.085398064603336,20.085398064603336,0.0,4619.420755975631,-3.379244024368745,0.0,0.0,0.3131569028558402,0.02240608945756451,0.3131569028558402,0.02240608945756451,0.3355629923134047,0.0,0.0,0.0,0.0,-20.085398064603336,20.085398064603336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.26059275128297,1567.019548537267,12.977266476469644,0.3622786827829635,False,False,False
2024-08-19,2024-08-20,no_hedge,1,21,IM2409,IM2503,4579.304,4537.0,4344.0,0.07692924452213479,0.029793576499101554,7.670785398452206e-06,0.0002005892607432145,-3.3250287883417546e-05,4,False,0.11148546500274653,20.374686778108533,20.374686778108533,4.043716041304833,4533.55295037852,-3.4470496214798914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011524739350198582,0.0,-20.086550538538354,20.374686778108533,0.28813623957017853,0.2881197076372714,0.2881197076372714,0.0,-0.0011524739350198582,0.0,175.6792656759601,82.668084042369,37.36115762722887,37.36115762722887,20.374686778108533,13.063984163562436,0.3707818400146644,False,False,False
2024-08-19,2024-08-20,one_futures,1,21,IM2409,IM2503,4579.304,4537.0,4344.0,0.07692924452213479,0.029793576499101554,7.670785398452206e-06,0.0002005892607432145,-3.3250287883417546e-05,4,False,0.11148546500274653,20.374686778108533,20.374686778108533,4.043716041304833,4533.55295037852,-3.4470496214798914,0.34227259714513747,0.0,0.38365748529826205,0.0,0.38365748529826205,0.0,0.04138488815312458,0.0,-29.366988835052858,-0.0011524739350198582,0.0,-49.45353937359121,20.374686778108533,-29.07885259548268,-29.077184184591907,-29.077184184591907,-29.366988835052858,-0.0011524739350198582,0.0,30.67619743000381,-0.11243873295268259,0.0107326670774346,37.36115762722887,1761.0286975763233,13.063984163562436,0.3707818400146644,False,False,False
2024-08-19,2024-08-20,two_futures,1,21,IM2409,IM2503,4579.304,4537.0,4344.0,0.07692924452213479,0.029793576499101554,7.670785398452206e-06,0.0002005892607432145,-3.3250287883417546e-05,4,False,0.11148546500274653,20.374686778108533,20.374686778108533,4.043716041304833,4533.55295037852,-3.4470496214798914,0.3131569028558402,0.02240608945756451,0.35664902120268455,0.02036600698739862,0.35664902120268455,0.02036600698739862,0.045532200817010246,0.0,-28.80922961205624,-0.0011524739350198582,0.0,-48.89578015059459,20.374686778108533,-28.521093372486057,-28.519456963255564,-28.519456963255564,-28.80922961205624,-0.0011524739350198582,0.0,0.0,-1.4210854715202004e-14,1.093704948087781e-30,37.36115762722887,1726.9612303279478,13.063984163562436,0.3707818400146644,False,False,False
2024-08-19,2024-08-21,no_hedge,2,20,IM2409,IM2503,4548.264,4522.0,4332.8,0.07686589242665873,-0.028307397181184166,7.707090118962757e-06,0.0002007328700940822,-3.327126801712695e-05,4,False,0.11148546500274653,15.154083259058025,15.154083259058025,0.0,4516.958495126763,-5.04150487323659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011525400624705876,0.0,-20.087703078600825,15.154083259058025,-4.9336198195428,-4.9330536989317055,-5.221173406568977,0.0,-0.002305013997490446,0.0,133.17284276769118,61.935559790935066,20.975928121779326,20.975928121779326,15.154083259058025,13.198957845270002,0.3794760292634377,False,False,False
2024-08-19,2024-08-21,one_futures,2,20,IM2409,IM2503,4548.264,4522.0,4332.8,0.07686589242665873,-0.028307397181184166,7.707090118962757e-06,0.0002007328700940822,-3.327126801712695e-05,4,False,0.11148546500274653,15.154083259058025,15.154083259058025,0.0,4516.958495126763,-5.04150487323659,0.38365748529826205,0.0,0.29538694677962873,0.0,0.29538694677962873,0.0,0.08827053851863331,0.0,-5.75486227947393,-0.0028375795659725065,0.0,-55.211239232631115,15.154083259058025,-40.05715597357309,-40.052559514492756,-10.97537532990085,-35.12185111452679,-0.003990053500992364,0.0,27.035483877416382,-0.09679424856732055,0.008333851643790784,20.975928121779326,1350.8938565965393,13.198957845270002,0.3794760292634377,False,False,False
2024-08-19,2024-08-21,two_futures,2,20,IM2409,IM2503,4548.264,4522.0,4332.8,0.07686589242665873,-0.028307397181184166,7.707090118962757e-06,0.0002007328700940822,-3.327126801712695e-05,4,False,0.11148546500274653,15.154083259058025,15.154083259058025,0.0,4516.958495126763,-5.04150487323659,0.35664902120268455,0.02036600698739862,0.2709467151502257,0.017991690925571593,0.2709467151502257,0.017991690925571593,0.08807662211428585,0.0,-5.5778345962991285,-0.0028055760694795317,0.0,-54.4764203229632,15.154083259058025,-39.322337063905174,-39.31782492346823,-10.798367960212666,-34.38706420835537,-0.00395805000449939,0.0,0.0,0.0,0.0,20.975928121779326,1318.3295276106955,13.198957845270002,0.3794760292634377,False,False,False
2024-08-19,2024-08-22,no_hedge,3,19,IM2409,IM2503,4491.839,4473.2,4281.0,0.0791105684675734,-0.0503389226408414,7.784872513358811e-06,0.00020182496974083253,-3.348590747485521e-05,4,False,0.11148546500274653,13.081852720260095,13.081852720260095,0.0,4466.24392044434,-6.956079555659926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011526061937156239,0.0,-20.08885568479454,13.081852720260095,-7.007002964534447,-7.005796944873091,-2.0727432459413855,0.0,-0.00345762019120607,0.0,115.14655602457051,54.60845047826051,16.300513121658565,16.300513121658565,13.081852720260095,13.341768074587344,0.3883604361959002,False,False,False
