model,start_id,start_model,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_log_futures,estimate_model,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_log_futures,estimate_kappa_gap,comparison_log_likelihood,converged,iterations,message
constant_log_futures,8,constant_log_futures,0.3827375932483699,1.5424571156535538,0.08436344623626629,1.09258945587799,0.2958193100934882,0.00338267449220347,constant_log_futures,0.42734286120698006,16.37286858557491,0.040475623448631315,0.04662249259956491,1.2460993077910907,0.0009818229783949022,15.94552572436793,9296.02352578913,True,27,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,5,constant_log_futures,3.0000000000000004,25.000000000000004,0.0955062315261558,0.348651909105322,0.7626760511678919,0.00570661064478785,constant_log_futures,0.42734808275402136,16.37290817812989,0.040476060373773236,0.04662264764505982,1.246102721967629,0.0009818230605137398,15.94556009537587,9296.023525786017,True,36,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,3,constant_log_futures,0.75,12.000000000000002,0.0955062315261558,0.2179074431908263,0.5447686079770657,0.00570661064478785,constant_log_futures,0.4273406802312393,16.3728411461757,0.04047542869286615,0.04662244461661007,1.2460950035814264,0.0009818220661497257,15.945500465944459,9296.02352578279,True,29,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,2,constant_log_futures,0.3499999999999999,7.999999999999999,0.0955062315261558,0.15253521023357838,0.43581488638165256,0.00570661064478785,constant_log_futures,0.42734453281861645,16.372872722902827,0.04047545088085364,0.046622621821521076,1.246099822211349,0.000981823445687033,15.945528190084211,9296.0235257826,True,34,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,4,constant_log_futures,1.5,18.0,0.0955062315261558,0.28327967614807414,0.6537223295724788,0.00570661064478785,constant_log_futures,0.4273478971307248,16.372849841721017,0.040476610046604994,0.04662242998701865,1.246096613878485,0.0009818231562862718,15.945501944590292,9296.023525778272,True,30,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,1,constant_log_futures,0.15,4.0,0.0955062315261558,0.10895372159541317,0.3268611647862394,0.00570661064478785,constant_log_futures,0.427355203598115,16.372933404051913,0.04047703165024745,0.04662279851452442,1.2461028158076795,0.0009818227397588681,15.945578200453799,9296.023525774597,True,28,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,11,constant_log_futures,3.6313873516459405,6.903432857363258,0.07229122503766586,0.3303285454565852,0.7011873337024667,0.0028856406766878326,constant_log_futures,0.42733294824937584,16.37287794219805,0.04047477999874791,0.04662230866890696,1.2460978296542293,0.0009818220830228675,15.945544993948673,9296.023525774594,True,29,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,0,constant_log_futures,1.6015253989500184,46.377239804716254,0.076044607348657,0.08752485220043074,3.018006806408648,0.0011879783660461174,constant_log_futures,1.6015253989500184,46.377239804716254,0.076044607348657,0.08752485220043074,3.018006806408648,0.0011879783660461174,44.77571440576624,8931.863742098378,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,10,constant_log_futures,2.0683765532731546,9.793361060849696,0.0477466416785313,0.0778383867979545,0.6622668632803358,0.004282400438899452,constant_log_futures,2.0683765532731546,9.793361060849696,0.0477466416785313,0.0778383867979545,0.6622668632803358,0.004282400438899452,7.724984507576542,7320.913944146952,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,9,constant_log_futures,1.6719627151010144,32.64543130974995,0.11474368156498876,0.16127131926940771,0.2541877935974112,0.005546161701767197,constant_log_futures,1.6719627151010144,32.64543130974995,0.11474368156498876,0.16127131926940771,0.2541877935974112,0.005546161701767197,30.97346859464894,6677.12660861643,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,6,constant_log_futures,4.999999999999999,35.0,0.0955062315261558,0.43581488638165256,0.8716297727633051,0.00570661064478785,constant_log_futures,4.999999999999999,35.0,0.0955062315261558,0.43581488638165256,0.8716297727633051,0.00570661064478785,30.0,6592.303383934347,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,7,constant_log_futures,1.2776977012389195,41.252021781482064,0.11362901121903278,0.0581816075310191,0.6502354321132691,0.005958811836759094,constant_log_futures,1.2776977012389195,41.252021781482064,0.11362901121903278,0.0581816075310191,0.6502354321132691,0.005958811836759094,39.97432408024314,6570.132793858373,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
