model,start_id,start_model,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_carry_floor,start_sigma_log_futures,estimate_model,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_carry_floor,estimate_sigma_log_futures,estimate_kappa_gap,comparison_log_likelihood,converged,iterations,message
smooth_carry_log,1,smooth_carry_log,0.15,4.0,0.1024382192897398,0.10968571733803717,0.3290571520141116,0.019220185921938943,0.003859791435143474,smooth_carry_log,0.2885597774462959,16.49187489062522,0.030425621164682608,0.04601074752235974,1.2257273335340593,8.580805645241573e-07,0.0009715873066518547,16.203315113178924,11673.612374960736,True,51,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,10,smooth_carry_log,2.0683765532731546,9.793361060849696,0.0546786294421153,0.07836133697271223,0.6667162434144294,0.014423365768438591,0.0028964955846454547,smooth_carry_log,0.2886059665943404,16.49026012072238,0.030437480365493593,0.046007822825576396,1.2256279523154352,1.3970288718576591e-06,0.0009715529062354329,16.20165415412804,11673.612328786452,True,51,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,0,smooth_carry_log,1.222594962690854,44.12598992895808,0.083037370803528,0.07955923904884162,2.8404977707559853,0.004189353188807166,0.0008413045338178325,smooth_carry_log,0.28856057172104105,16.49197399022784,0.030426484646866522,0.0460108769586411,1.2257337256161518,1.6353964215115027e-06,0.0009715902627879765,16.2034134185068,11673.61232086913,True,55,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,11,smooth_carry_log,3.6313873516459405,6.903432857363258,0.07922321280124986,0.33254782796846943,0.7058981975035038,0.009719000254644445,0.001951766444580237,smooth_carry_log,0.2886502228727392,16.49201844992116,0.030442653936548738,0.04601270868000215,1.2257348612426004,1.6999602654106846e-06,0.0009715871314549482,16.203368227048422,11673.612313114985,True,52,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,5,smooth_carry_log,3.0000000000000004,25.000000000000004,0.1024382192897398,0.350994295481719,0.7678000213662602,0.019220185921938943,0.003859791435143474,smooth_carry_log,0.2885311966410557,16.491786730309826,0.030420056695910025,0.046010317057770075,1.2257175208779447,1.7689004026013319e-06,0.000971588636184177,16.20325553366877,11673.612308174934,True,62,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,2,smooth_carry_log,0.3499999999999999,7.999999999999999,0.1024382192897398,0.15356000427325206,0.43874286935214873,0.019220185921938943,0.003859791435143474,smooth_carry_log,0.28844384661207373,16.492013226375093,0.030411235005771094,0.045990539902948754,1.2257191483262693,8.970356292762039e-07,0.0009716576863780011,16.20356937976302,11673.612305783752,True,54,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,3,smooth_carry_log,0.75,12.000000000000002,0.1024382192897398,0.21937143467607434,0.5484285866901859,0.019220185921938943,0.003859791435143474,smooth_carry_log,0.28857600833386027,16.49187315412649,0.030428019976506227,0.046011414336309085,1.225726785671579,1.8953771890985479e-06,0.0009715920656859475,16.203297145792632,11673.612295174085,True,63,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,8,smooth_carry_log,0.3827375932483699,1.5424571156535538,0.0912954339998503,1.0999299195026149,0.297806745422944,0.011393038127269692,0.002287946181295963,smooth_carry_log,0.28857303268736023,16.49197700487503,0.030435834271579348,0.04601087147763658,1.2257183839867791,1.8969375571104999e-06,0.0009715883170345914,16.20340397218767,11673.612294235705,True,56,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,4,smooth_carry_log,1.5,18.0,0.1024382192897398,0.2851828650788967,0.6581143040282231,0.019220185921938943,0.003859791435143474,smooth_carry_log,0.2885308566387132,16.49251059501446,0.030417982802192028,0.04600912867381018,1.2257768918971836,3.251679596227723e-06,0.0009715773095077817,16.203979738375747,11673.612098821894,True,52,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,9,smooth_carry_log,1.6719627151010144,32.64543130974995,0.12167566932857277,0.16235480606897693,0.2558955313416182,0.01867978484890407,0.0037512682688372926,smooth_carry_log,1.6719627151010144,32.64543130974995,0.12167566932857277,0.16235480606897693,0.2558955313416182,0.01867978484890407,0.0037512682688372926,30.97346859464894,8198.603901444281,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,6,smooth_carry_log,4.999999999999999,35.0,0.1024382192897398,0.43874286935214873,0.8774857387042975,0.019220185921938943,0.003859791435143474,smooth_carry_log,4.999999999999999,35.0,0.1024382192897398,0.43874286935214873,0.8774857387042975,0.019220185921938943,0.003859791435143474,30.0,8111.496086718585,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,7,smooth_carry_log,1.2776977012389195,41.252021781482064,0.12056099898261678,0.05857249540880888,0.654603980163217,0.0200696137348999,0.004030373250041373,smooth_carry_log,1.2776977012389195,41.252021781482064,0.12056099898261678,0.05857249540880888,0.654603980163217,0.0200696137348999,0.004030373250041373,39.97432408024314,8073.801593916642,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
