model,start_id,start_model,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_carry_floor,start_sigma_log_futures,estimate_model,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_carry_floor,estimate_sigma_log_futures,estimate_kappa_gap,comparison_log_likelihood,converged,iterations,message
smooth_carry_log,11,smooth_carry_log,3.6313873516459405,6.903432857363258,0.07229122503766586,0.3303285454565852,0.7011873337024667,0.010058518930169015,0.0020199484736814826,smooth_carry_log,0.4273004710582749,16.374547228188288,0.04046206346053913,0.046623578832001,1.246256418268865,7.46814464388376e-07,0.0009818211827634568,15.947246757130012,9296.023505721983,True,54,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,6,smooth_carry_log,4.999999999999999,35.0,0.0955062315261558,0.43581488638165256,0.8716297727633051,0.01989161424754623,0.003994627451351495,smooth_carry_log,0.42728987158652354,16.373159571283256,0.040469221939098306,0.046622211932363745,1.2461155689390995,1.263749656306578e-06,0.0009818148797580356,15.945869699696733,9296.023492809027,True,74,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,8,smooth_carry_log,0.3827375932483699,1.5424571156535538,0.08436344623626629,1.09258945587799,0.2958193100934882,0.011791036801394952,0.002367872144542429,smooth_carry_log,0.4273371435676667,16.372820461843162,0.04047482758313922,0.0466225522835444,1.246097106866813,1.390745600024656e-06,0.0009818239013050889,15.945483318275496,9296.023486701948,True,64,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,3,smooth_carry_log,0.75,12.000000000000002,0.0955062315261558,0.2179074431908263,0.5447686079770657,0.01989161424754623,0.003994627451351495,smooth_carry_log,0.4273387994921234,16.37275588259358,0.040476195931779584,0.04662216526300408,1.2460885535127957,1.469536094494591e-06,0.0009818255581068652,15.945417083101457,9296.023482099128,True,69,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,5,smooth_carry_log,3.0000000000000004,25.000000000000004,0.0955062315261558,0.348651909105322,0.7626760511678919,0.01989161424754623,0.003994627451351495,smooth_carry_log,0.4273492484671832,16.37288822095784,0.04047644453502731,0.04662216203192888,1.246100295448796,2.2883015468648914e-06,0.0009818217157832377,15.945538972490658,9296.023419996669,True,75,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,0,smooth_carry_log,1.6015253989500184,46.377239804716254,0.076044607348657,0.08752485220043074,3.018006806408648,0.0041409531616464655,0.000831584856232282,smooth_carry_log,0.4271952554433605,16.372776313265867,0.04046650903950033,0.046619106661795875,1.24610394009648,2.2687249813875e-06,0.0009818447856967845,15.945581057822507,9296.023416850761,True,60,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,2,smooth_carry_log,0.3499999999999999,7.999999999999999,0.0955062315261558,0.15253521023357838,0.43581488638165256,0.01989161424754623,0.003994627451351495,smooth_carry_log,0.4273478035789486,16.37335834801632,0.04044762635864076,0.0466234217514036,1.2460846510244212,2.56951466505062e-06,0.0009818222069219189,15.946010544437373,9296.023371295116,True,52,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,10,smooth_carry_log,2.0683765532731546,9.793361060849696,0.0477466416785313,0.0778383867979545,0.6622668632803358,0.014927224387020946,0.0029976803072296163,smooth_carry_log,0.42756613988552117,16.37422891410805,0.040497696772532614,0.0466289765880797,1.2462245723310037,2.7535726858941874e-06,0.0009818204031556534,15.946662774222528,9296.023363609807,True,51,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,4,smooth_carry_log,1.5,18.0,0.0955062315261558,0.28327967614807414,0.6537223295724788,0.01989161424754623,0.003994627451351495,smooth_carry_log,0.42737502386442006,16.37356305327925,0.04048351011216993,0.04662147577355997,1.2459770601281466,2.444062682016542e-06,0.0009816685229253994,15.946188029414829,9296.023345153486,True,61,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,1,smooth_carry_log,0.15,4.0,0.0955062315261558,0.10895372159541317,0.3268611647862394,0.01989161424754623,0.003994627451351495,smooth_carry_log,0.42743428651783233,16.37393846402144,0.040462923019026195,0.046635132990418555,1.2462693478664586,3.4869338699385065e-06,0.000981862471274248,15.946504177503607,9296.023243414575,True,43,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,9,smooth_carry_log,1.6719627151010144,32.64543130974995,0.11474368156498876,0.16127131926940771,0.2541877935974112,0.019332335074731373,0.003882313191237038,smooth_carry_log,1.6719627151010144,32.64543130974995,0.11474368156498876,0.16127131926940771,0.2541877935974112,0.019332335074731373,0.003882313191237038,30.97346859464894,6463.120110557481,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
smooth_carry_log,7,smooth_carry_log,1.2776977012389195,41.252021781482064,0.11362901121903278,0.0581816075310191,0.6502354321132691,0.020770715545274546,0.004171168285731366,smooth_carry_log,1.2776977012389195,41.252021781482064,0.11362901121903278,0.0581816075310191,0.6502354321132691,0.020770715545274546,0.004171168285731366,39.97432408024314,6361.610285343907,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
