model,start_id,start_model,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_carry,estimate_model,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_carry,estimate_kappa_gap,comparison_log_likelihood,converged,iterations,message
constant_carry,10,constant_carry,3.6313873516459405,6.903432857363258,0.07922321280124986,0.33254782796846943,0.7058981975035038,0.013884286078063494,constant_carry,1.222594962690854,44.12598992895808,0.083037370803528,0.07955923904884162,2.8404977707559853,0.005984790269724523,42.90339496626722,10857.383384944242,True,33,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,11,constant_carry,0.683568151012932,6.521215913045797,0.0982368263009072,0.36462000532314803,0.37204355262870004,0.028526066449159386,constant_carry,1.222592091526368,44.12593873811006,0.08303737646506364,0.07955920463982637,2.8404907947331814,0.0059847871985151515,42.90334664658369,10857.383384943316,True,26,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,3,constant_carry,1.5,18.0,0.1024382192897398,0.2851828650788967,0.6581143040282231,0.027457408459912774,constant_carry,1.2226013432002447,44.12606431663488,0.08303745632340924,0.07955976717062647,2.840498949591426,0.0059847885683723375,42.903462973434635,10857.383384932238,True,38,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,7,constant_carry,0.3827375932483699,1.5424571156535538,0.0912954339998503,1.0999299195026149,0.297806745422944,0.01627576875324242,constant_carry,1.2226039218855826,44.1261141508554,0.0830374596449252,0.07955986098167524,2.8405054706010824,0.005984793179469398,42.903510228969814,10857.383384921604,True,30,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,2,constant_carry,0.75,12.000000000000002,0.1024382192897398,0.21937143467607434,0.5484285866901859,0.027457408459912774,constant_carry,1.2226034593749946,44.12611609680589,0.08303761593836685,0.07955988606730818,2.8404976881168778,0.005984791032399708,42.90351263743089,10857.383384918056,True,37,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,1,constant_carry,0.3499999999999999,7.999999999999999,0.1024382192897398,0.15356000427325206,0.43874286935214873,0.027457408459912774,constant_carry,1.222603787836813,44.12607972934636,0.08303755067279853,0.07955955675540025,2.840502945284754,0.0059848047068732325,42.90347594150955,10857.383384916113,True,34,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,0,constant_carry,0.15,4.0,0.1024382192897398,0.10968571733803717,0.3290571520141116,0.027457408459912774,constant_carry,1.2226039053985898,44.12612881050905,0.0830375246325629,0.07956008660276304,2.8405096135203434,0.005984790412470965,42.90352490511046,10857.383384908588,True,36,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,4,constant_carry,3.0000000000000004,25.000000000000004,0.1024382192897398,0.350994295481719,0.7678000213662602,0.027457408459912774,constant_carry,1.2225752114155037,44.12528302370124,0.08303734633935786,0.07955886648653375,2.8404528125247532,0.005984767715810494,42.90270781228574,10857.383384755105,True,31,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,9,constant_carry,2.0683765532731546,9.793361060849696,0.0546786294421153,0.07836133697271223,0.6667162434144294,0.02060480824062656,constant_carry,2.0683765532731546,9.793361060849696,0.0546786294421153,0.07836133697271223,0.6667162434144294,0.02060480824062656,7.724984507576542,8603.16558627377,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,5,constant_carry,4.999999999999999,35.0,0.1024382192897398,0.43874286935214873,0.8774857387042975,0.027457408459912774,constant_carry,4.999999999999999,35.0,0.1024382192897398,0.43874286935214873,0.8774857387042975,0.027457408459912774,30.0,8133.515663324808,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,6,constant_carry,1.2776977012389195,41.252021781482064,0.12056099898261678,0.05857249540880888,0.654603980163217,0.028670876764142716,constant_carry,1.2776977012389195,41.252021781482064,0.12056099898261678,0.05857249540880888,0.654603980163217,0.028670876764142716,39.97432408024314,7826.082086967498,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_carry,8,constant_carry,1.6719627151010144,32.64543130974995,0.12167566932857277,0.16235480606897693,0.2558955313416182,0.026685406927005828,constant_carry,1.6719627151010144,32.64543130974995,0.12167566932857277,0.16235480606897693,0.2558955313416182,0.026685406927005828,30.97346859464894,7586.869993808998,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
