model,start_id,start_model,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_short,start_sigma_long,estimate_model,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_short,estimate_sigma_long,estimate_kappa_gap,comparison_log_likelihood,converged,iterations,message
two_bucket_carry,3,two_bucket_carry,0.75,12.000000000000002,0.1024382192897398,0.21937143467607434,0.5484285866901859,0.04118611268986915,0.02196592676793022,two_bucket_carry,0.6199977062838155,18.395634327752607,0.06319812378834726,0.05926631343514047,1.3383735655824676,0.035350623021957336,0.003986224411409713,17.77563662146879,11285.011389059391,True,27,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,11,two_bucket_carry,3.6313873516459405,6.903432857363258,0.07922321280124986,0.33254782796846943,0.7058981975035038,0.020826429117095247,0.011107428862450796,two_bucket_carry,0.6200107135682357,18.395655588995297,0.06319883171793075,0.05926633579492575,1.3383753447575581,0.0353507104050629,0.003986227576700246,17.775644875427062,11285.011389057743,True,36,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,8,two_bucket_carry,0.3827375932483699,1.5424571156535538,0.0912954339998503,1.0999299195026149,0.297806745422944,0.024413653129863624,0.013020615002593936,two_bucket_carry,0.6199917519328964,18.39557080162689,0.06319785570349629,0.05926587505272032,1.3383694523032867,0.03535070600783283,0.0039862220575911135,17.77557904969399,11285.011389049949,True,31,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,1,two_bucket_carry,0.15,4.0,0.1024382192897398,0.10968571733803717,0.3290571520141116,0.04118611268986915,0.02196592676793022,two_bucket_carry,0.6200064968642023,18.395672046753305,0.06319845706098291,0.05926663289886503,1.3383761120255502,0.035350516740661544,0.00398622606238146,17.7756655498891,11285.0113890361,True,27,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,0,two_bucket_carry,1.222594962690854,44.12598992895808,0.083037370803528,0.07955923904884162,2.8404977707559853,0.008977185404586786,0.004787832215779619,two_bucket_carry,0.620014865376687,18.395644997771733,0.063199049678636,0.05926651568180426,1.33837846732621,0.035350605428231145,0.003986226223209759,17.775630132395044,11285.011389034076,True,27,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,5,two_bucket_carry,3.0000000000000004,25.000000000000004,0.1024382192897398,0.350994295481719,0.7678000213662602,0.04118611268986915,0.02196592676793022,two_bucket_carry,0.6200049431623802,18.395591441899953,0.06319872125807943,0.05926676884005376,1.338371234175741,0.03535094965096611,0.003986228916687413,17.77558649873757,11285.011389032265,True,33,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,4,two_bucket_carry,1.5,18.0,0.1024382192897398,0.2851828650788967,0.6581143040282231,0.04118611268986915,0.02196592676793022,two_bucket_carry,0.6200118694128707,18.395650122068012,0.0631991201019947,0.05926651166704581,1.3383762305468305,0.035350518375403366,0.0039862374257335,17.775638252655142,11285.01138903218,True,36,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,2,two_bucket_carry,0.3499999999999999,7.999999999999999,0.1024382192897398,0.15356000427325206,0.43874286935214873,0.04118611268986915,0.02196592676793022,two_bucket_carry,0.6199914774723405,18.395526776573806,0.0631978352284189,0.05926543838484236,1.3383657225804528,0.03535063324994005,0.003986224423539757,17.775535299101467,11285.011389007077,True,31,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,10,two_bucket_carry,2.0683765532731546,9.793361060849696,0.0546786294421153,0.07836133697271223,0.6667162434144294,0.030907212360939833,0.01648384659250125,two_bucket_carry,2.0683765532731546,9.793361060849696,0.0546786294421153,0.07836133697271223,0.6667162434144294,0.030907212360939833,0.01648384659250125,7.724984507576542,9222.978492400645,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,6,two_bucket_carry,4.999999999999999,35.0,0.1024382192897398,0.43874286935214873,0.8774857387042975,0.04118611268986915,0.02196592676793022,two_bucket_carry,4.999999999999999,35.0,0.1024382192897398,0.43874286935214873,0.8774857387042975,0.04118611268986915,0.02196592676793022,30.0,8630.45630501546,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,7,two_bucket_carry,1.2776977012389195,41.252021781482064,0.12056099898261678,0.05857249540880888,0.654603980163217,0.043006315146214065,0.022936701411314174,two_bucket_carry,1.2776977012389195,41.252021781482064,0.12056099898261678,0.05857249540880888,0.654603980163217,0.043006315146214065,0.022936701411314174,39.97432408024314,8392.080692728161,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,9,two_bucket_carry,1.6719627151010144,32.64543130974995,0.12167566932857277,0.16235480606897693,0.2558955313416182,0.04002811039050873,0.021348325541604662,two_bucket_carry,1.6719627151010144,32.64543130974995,0.12167566932857277,0.16235480606897693,0.2558955313416182,0.04002811039050873,0.021348325541604662,30.97346859464894,8284.007630256807,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
