model,start_id,start_model,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_log_futures,estimate_model,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_log_futures,estimate_kappa_gap,comparison_log_likelihood,converged,iterations,message
constant_log_futures,3,constant_log_futures,0.75,12.000000000000002,0.1024382192897398,0.21937143467607434,0.5484285866901859,0.005513987764490678,constant_log_futures,0.2885518348794985,16.49181742671476,0.030424460269715483,0.04601064996454549,1.2257232610684536,0.0009715890814782597,16.20326559183526,11673.612395498258,True,37,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,4,constant_log_futures,1.5,18.0,0.1024382192897398,0.2851828650788967,0.6581143040282231,0.005513987764490678,constant_log_futures,0.2885512110989151,16.491830776132865,0.030423997916539262,0.046010697927743344,1.2257242754426487,0.0009715889950521276,16.20327956503395,11673.61239549501,True,34,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,5,constant_log_futures,3.0000000000000004,25.000000000000004,0.1024382192897398,0.350994295481719,0.7678000213662602,0.005513987764490678,constant_log_futures,0.28855904327388276,16.491853755494038,0.0304259257784929,0.04601075155158249,1.22572690191208,0.0009715876443639049,16.203294712220156,11673.61239549364,True,46,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,8,constant_log_futures,0.3827375932483699,1.5424571156535538,0.0912954339998503,1.0999299195026149,0.297806745422944,0.0032684945447085186,constant_log_futures,0.28855230742161975,16.4918411613848,0.030424034466891927,0.0460103768889848,1.2257264976136377,0.0009715867426441958,16.203288853963183,11673.612395481829,True,32,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,1,constant_log_futures,0.15,4.0,0.1024382192897398,0.10968571733803717,0.3290571520141116,0.005513987764490678,constant_log_futures,0.28854660001171983,16.491866884190923,0.03042336206489493,0.04601057696115096,1.2257264150574878,0.000971588887610871,16.203320284179203,11673.612395477548,True,24,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,2,constant_log_futures,0.3499999999999999,7.999999999999999,0.1024382192897398,0.15356000427325206,0.43874286935214873,0.005513987764490678,constant_log_futures,0.2885527729504907,16.491847037572626,0.030424924399553487,0.04601097898445067,1.2257260179644947,0.0009715880068180282,16.203294264622134,11673.612395475206,True,29,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,11,constant_log_futures,3.6313873516459405,6.903432857363258,0.07922321280124986,0.33254782796846943,0.7058981975035038,0.002788237777971767,constant_log_futures,0.2885652926961899,16.49185309645298,0.030427265149961462,0.04601099174605577,1.2257267893612034,0.0009715882105725867,16.20328780375679,11673.61239547407,True,32,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,0,constant_log_futures,1.222594962690854,44.12598992895808,0.083037370803528,0.07955923904884162,2.8404977707559853,0.0012018636197397609,constant_log_futures,1.222594962690854,44.12598992895808,0.083037370803528,0.07955923904884162,2.8404977707559853,0.0012018636197397609,42.90339496626722,11244.493837984179,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,10,constant_log_futures,2.0683765532731546,9.793361060849696,0.0546786294421153,0.07836133697271223,0.6667162434144294,0.004137850835207793,constant_log_futures,2.0683765532731546,9.793361060849696,0.0546786294421153,0.07836133697271223,0.6667162434144294,0.004137850835207793,7.724984507576542,9266.769486374145,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,9,constant_log_futures,1.6719627151010144,32.64543130974995,0.12167566932857277,0.16235480606897693,0.2558955313416182,0.005358954669767562,constant_log_futures,1.6719627151010144,32.64543130974995,0.12167566932857277,0.16235480606897693,0.2558955313416182,0.005358954669767562,30.97346859464894,8471.489752994192,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,7,constant_log_futures,1.2776977012389195,41.252021781482064,0.12056099898261678,0.05857249540880888,0.654603980163217,0.005757676071487677,constant_log_futures,1.2776977012389195,41.252021781482064,0.12056099898261678,0.05857249540880888,0.654603980163217,0.005757676071487677,39.97432408024314,8346.644193940947,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
constant_log_futures,6,constant_log_futures,4.999999999999999,35.0,0.1024382192897398,0.43874286935214873,0.8774857387042975,0.005513987764490678,constant_log_futures,4.999999999999999,35.0,0.1024382192897398,0.43874286935214873,0.8774857387042975,0.005513987764490678,30.0,8315.590405387178,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
