study,cohort,scenario,option_side,scenario_role,entry_date,exit_date,exit_reason,initial_premium,option_payoff,option_cash_flow,option_pnl,futures_pnl,spot_pnl,financing,futures_costs,spot_costs,transaction_costs,total_pnl,discounted_total_pnl,daily_discounted_pnl_variance,daily_discounted_pnl_std,worst_daily_discounted_pnl,max_drawdown,turnover_contracts,spot_turnover_units,spot_turnover_notional,peak_abs_contracts,peak_borrowing,peak_spot_notional,max_condition_number,conditioning_warning_days,mean_residual_factor_variance,max_abs_residual_slow_exposure,max_abs_residual_fast_exposure,rms_residual_scale_exposure,max_abs_residual_scale_exposure,max_abs_spot_delta_residual,max_abs_futures_model_error,variance_reduction_vs_no_hedge
short_with_spot,2026-01-19,short_no_hedge,-1,primary,2026-01-19,2026-02-02,exercise,36.89892413093778,48.212208574486795,-48.212208574486795,-11.313284443549016,0.0,0.0,0.021177588802397174,0.0,0.0,0.0,-11.29210685474662,-11.28562963543943,253.47472845243178,15.920889687841939,-40.716127557048786,40.73780641717183,0.0,0.0,0.0,0.0,11.29210685474662,0.0,21.396319065270255,0,50.69182841729303,261.35308853508246,115.03031635442505,21.87455717293213,36.89892413093778,0.004464130708106514,15.440332404477886,0.0
short_with_spot,2026-01-19,short_one_futures_spot,-1,primary,2026-01-19,2026-02-02,exercise,36.89892413093778,48.212208574486795,-48.212208574486795,-11.313284443549016,15.607691861903596,-33.22765528381267,-1.0578950446643638,0.0,0.0,0.0,-29.991142910123017,-29.97393981309241,78.28477403499365,8.84786833282422,-27.361698026430403,33.039019095180734,1.0605262545751275,1.0659182069490707,8822.182239218655,0.345292555818448,2878.200379372877,2902.901386371128,21.396319065270255,0,0.009239687707398487,57.178039502871314,0.09888841726667863,3.595093471822542e-14,1.1368683772161603e-13,1.3421115987169016e-17,15.440332404477886,0.6911535342676778
short_with_spot,2026-01-19,short_two_futures_spot,-1,primary,2026-01-19,2026-02-02,exercise,36.89892413093778,48.212208574486795,-48.212208574486795,-11.313284443549016,14.562931818170817,-32.68820937650887,-1.0389111046800186,0.0,0.0,0.0,-30.47747310656723,-30.459991047658335,78.01121337999815,8.832395676145751,-27.35679671350743,33.468563554244625,1.0503499858188377,1.0522369888706902,8709.325547910717,0.3409666427999253,2839.9340665681348,2864.19213782165,21.396319065270255,0,1.73167857320378e-30,2.842170943040401e-14,4.263256414560601e-14,7.190186943645084e-14,2.2737367544323206e-13,2.712592760394997e-17,15.440332404477886,0.6922327765916194
short_with_spot,2026-01-19,short_one_futures_only,-1,control,2026-01-19,2026-02-02,exercise,36.89892413093778,48.212208574486795,-48.212208574486795,-11.313284443549016,15.607691861903596,0.0,0.002805040942006133,0.0,0.0,0.0,4.297212459296588,4.294747552803363,349.94496100632,18.706815897055275,-34.91052443346311,66.75098080912163,1.0605262545751275,0.0,0.0,0.345292555818448,26.64240003074723,0.0,21.396319065270255,0,0.009239687707398487,57.178039502871314,0.09888841726667863,1941.6134551354396,2902.901386371128,0.3470114090147288,15.440332404477886,-0.3805911269453919
short_with_spot,2026-01-19,short_two_futures_only,-1,control,2026-01-19,2026-02-02,exercise,36.89892413093778,48.212208574486795,-48.212208574486795,-11.313284443549016,14.562931818170817,0.0,0.002825593879664757,0.0,0.0,0.0,3.252472968501486,3.2506073307618966,338.332409670552,18.393814440472973,-34.53661783953632,66.10107242092958,1.0503499858188377,0.0,0.0,0.3409666427999253,26.34636540099532,0.0,21.396319065270255,0,1.73167857320378e-30,2.842170943040401e-14,4.263256414560601e-14,1907.9920019075462,2864.19213782165,0.34238412441452837,15.440332404477886,-0.33477767876983844
