model,model_label,parameter_count,kappa_slow,kappa_fast,theta,eta_slow,eta_fast,sigma_carry,kappa_gap,gap_at_upper_bound,eta_fast_at_upper_bound,comparison_log_likelihood,aic,bic,optimizer_converged,option_price,model_initial_futures,initial_futures_model_error,slow_delta_pathwise,fast_delta_pathwise,sigma_short,sigma_long,sigma_carry_floor,sigma_log_futures
constant_carry,Constant carry noise,6,1.222594962690854,44.12598992895808,0.083037370803528,0.07955923904884162,2.8404977707559853,0.005984790269724523,42.90339496626722,False,False,10857.383384944242,-21702.766769888483,-21665.523994880055,True,74.67924145222685,7319.405491732927,4.805491732926384,-0.44046358019681187,-0.04431630417820452,,,,
two_bucket_carry,Two carry-noise buckets,7,0.6199977062838155,18.395634327752607,0.06319812378834726,0.05926631343514047,1.3383735655824676,,17.77563662146879,False,False,11285.011389059391,-22556.022778118782,-22512.572873942285,True,86.16337991863362,7320.315669779585,5.715669779584459,-0.4278206942414955,-0.1300475118500246,0.035350623021957336,0.003986224411409713,,
smooth_carry_log,Smooth carry + log-price noise,7,0.2885597774462959,16.49187489062522,0.030425621164682608,0.04601074752235974,1.2257273335340593,,16.203315113178924,False,False,11673.612374960736,-23333.22474992147,-23289.774845744974,True,86.7642459766035,7318.180119780196,3.5801197801956732,-0.43377735658385747,-0.1475051579318905,,,8.580805645241573e-07,0.0009715873066518547
constant_log_futures,Constant log-futures noise,6,0.2885518348794985,16.49181742671476,0.030424460269715483,0.04601064996454549,1.2257232610684536,,16.20326559183526,False,False,11673.612395498258,-23335.224790996515,-23297.982015988087,True,86.76418738426042,7318.180160644169,3.580160644168245,-0.43377630664214584,-0.14750487087370215,,,,0.0009715890814782597
