model,model_label,sessions_to_expiry,observation_noise_carry_bps,approximate_futures_noise_points_at_7500
constant_carry,Constant carry noise,6,59.84790269724523,1.1037523038426373
constant_carry,Constant carry noise,7,59.84790269724523,1.2877110211497438
constant_carry,Constant carry noise,8,59.84790269724523,1.4716697384568502
constant_carry,Constant carry noise,9,59.84790269724523,1.6556284557639562
constant_carry,Constant carry noise,10,59.84790269724523,1.8395871730710625
constant_carry,Constant carry noise,11,59.84790269724523,2.023545890378169
constant_carry,Constant carry noise,12,59.84790269724523,2.2075046076852747
constant_carry,Constant carry noise,13,59.84790269724523,2.391463324992381
constant_carry,Constant carry noise,14,59.84790269724523,2.5754220422994876
constant_carry,Constant carry noise,15,59.84790269724523,2.7593807596065933
constant_carry,Constant carry noise,16,59.84790269724523,2.9433394769137005
constant_carry,Constant carry noise,17,59.84790269724523,3.1272981942208062
constant_carry,Constant carry noise,18,59.84790269724523,3.3112569115279125
constant_carry,Constant carry noise,19,59.84790269724523,3.495215628835019
constant_carry,Constant carry noise,20,59.84790269724523,3.679174346142125
constant_carry,Constant carry noise,21,59.84790269724523,3.863133063449231
constant_carry,Constant carry noise,22,59.84790269724523,4.047091780756338
constant_carry,Constant carry noise,23,59.84790269724523,4.231050498063444
constant_carry,Constant carry noise,24,59.84790269724523,4.415009215370549
constant_carry,Constant carry noise,25,59.84790269724523,4.598967932677656
constant_carry,Constant carry noise,26,59.84790269724523,4.782926649984762
constant_carry,Constant carry noise,27,59.84790269724523,4.9668853672918685
constant_carry,Constant carry noise,28,59.84790269724523,5.150844084598975
constant_carry,Constant carry noise,29,59.84790269724523,5.334802801906081
constant_carry,Constant carry noise,30,59.84790269724523,5.518761519213187
constant_carry,Constant carry noise,31,59.84790269724523,5.702720236520294
constant_carry,Constant carry noise,32,59.84790269724523,5.886678953827401
constant_carry,Constant carry noise,33,59.84790269724523,6.070637671134507
constant_carry,Constant carry noise,34,59.84790269724523,6.2545963884416125
constant_carry,Constant carry noise,35,59.84790269724523,6.438555105748718
constant_carry,Constant carry noise,36,59.84790269724523,6.622513823055825
constant_carry,Constant carry noise,37,59.84790269724523,6.806472540362931
constant_carry,Constant carry noise,38,59.84790269724523,6.990431257670038
constant_carry,Constant carry noise,39,59.84790269724523,7.174389974977144
constant_carry,Constant carry noise,40,59.84790269724523,7.35834869228425
constant_carry,Constant carry noise,41,59.84790269724523,7.5423074095913565
constant_carry,Constant carry noise,42,59.84790269724523,7.726266126898462
constant_carry,Constant carry noise,43,59.84790269724523,7.91022484420557
constant_carry,Constant carry noise,44,59.84790269724523,8.094183561512676
constant_carry,Constant carry noise,45,59.84790269724523,8.278142278819782
constant_carry,Constant carry noise,46,59.84790269724523,8.462100996126887
constant_carry,Constant carry noise,47,59.84790269724523,8.646059713433994
constant_carry,Constant carry noise,48,59.84790269724523,8.830018430741099
constant_carry,Constant carry noise,49,59.84790269724523,9.013977148048207
constant_carry,Constant carry noise,50,59.84790269724523,9.197935865355312
constant_carry,Constant carry noise,51,59.84790269724523,9.381894582662419
constant_carry,Constant carry noise,52,59.84790269724523,9.565853299969524
constant_carry,Constant carry noise,53,59.84790269724523,9.74981201727663
constant_carry,Constant carry noise,54,59.84790269724523,9.933770734583737
constant_carry,Constant carry noise,55,59.84790269724523,10.117729451890844
constant_carry,Constant carry noise,56,59.84790269724523,10.30168816919795
constant_carry,Constant carry noise,57,59.84790269724523,10.485646886505057
constant_carry,Constant carry noise,58,59.84790269724523,10.669605603812162
constant_carry,Constant carry noise,59,59.84790269724523,10.853564321119268
constant_carry,Constant carry noise,60,59.84790269724523,11.037523038426373
constant_carry,Constant carry noise,61,59.84790269724523,11.221481755733482
constant_carry,Constant carry noise,62,59.84790269724523,11.405440473040589
constant_carry,Constant carry noise,63,59.84790269724523,11.589399190347693
constant_carry,Constant carry noise,64,59.84790269724523,11.773357907654802
constant_carry,Constant carry noise,65,59.84790269724523,11.957316624961907
constant_carry,Constant carry noise,66,59.84790269724523,12.141275342269013
constant_carry,Constant carry noise,67,59.84790269724523,12.325234059576122
constant_carry,Constant carry noise,68,59.84790269724523,12.509192776883225
constant_carry,Constant carry noise,69,59.84790269724523,12.69315149419033
constant_carry,Constant carry noise,70,59.84790269724523,12.877110211497437
constant_carry,Constant carry noise,71,59.84790269724523,13.061068928804545
constant_carry,Constant carry noise,72,59.84790269724523,13.24502764611165
constant_carry,Constant carry noise,73,59.84790269724523,13.428986363418757
constant_carry,Constant carry noise,74,59.84790269724523,13.612945080725861
constant_carry,Constant carry noise,75,59.84790269724523,13.79690379803297
constant_carry,Constant carry noise,76,59.84790269724523,13.980862515340077
constant_carry,Constant carry noise,77,59.84790269724523,14.164821232647181
constant_carry,Constant carry noise,78,59.84790269724523,14.348779949954288
constant_carry,Constant carry noise,79,59.84790269724523,14.532738667261397
constant_carry,Constant carry noise,80,59.84790269724523,14.7166973845685
constant_carry,Constant carry noise,81,59.84790269724523,14.900656101875605
constant_carry,Constant carry noise,82,59.84790269724523,15.084614819182713
constant_carry,Constant carry noise,83,59.84790269724523,15.26857353648982
constant_carry,Constant carry noise,84,59.84790269724523,15.452532253796925
constant_carry,Constant carry noise,85,59.84790269724523,15.636490971104031
constant_carry,Constant carry noise,86,59.84790269724523,15.82044968841114
constant_carry,Constant carry noise,87,59.84790269724523,16.004408405718245
constant_carry,Constant carry noise,88,59.84790269724523,16.18836712302535
constant_carry,Constant carry noise,89,59.84790269724523,16.372325840332458
constant_carry,Constant carry noise,90,59.84790269724523,16.556284557639565
constant_carry,Constant carry noise,91,59.84790269724523,16.74024327494667
constant_carry,Constant carry noise,92,59.84790269724523,16.924201992253774
constant_carry,Constant carry noise,93,59.84790269724523,17.108160709560877
constant_carry,Constant carry noise,94,59.84790269724523,17.292119426867988
constant_carry,Constant carry noise,95,59.84790269724523,17.476078144175094
constant_carry,Constant carry noise,96,59.84790269724523,17.660036861482197
constant_carry,Constant carry noise,97,59.84790269724523,17.843995578789304
constant_carry,Constant carry noise,98,59.84790269724523,18.027954296096414
constant_carry,Constant carry noise,99,59.84790269724523,18.211913013403517
constant_carry,Constant carry noise,100,59.84790269724523,18.395871730710624
constant_carry,Constant carry noise,101,59.84790269724523,18.57983044801773
constant_carry,Constant carry noise,102,59.84790269724523,18.763789165324837
constant_carry,Constant carry noise,103,59.84790269724523,18.947747882631944
constant_carry,Constant carry noise,104,59.84790269724523,19.131706599939047
constant_carry,Constant carry noise,105,59.84790269724523,19.315665317246157
constant_carry,Constant carry noise,106,59.84790269724523,19.49962403455326
constant_carry,Constant carry noise,107,59.84790269724523,19.683582751860367
constant_carry,Constant carry noise,108,59.84790269724523,19.867541469167474
constant_carry,Constant carry noise,109,59.84790269724523,20.05150018647458
constant_carry,Constant carry noise,110,59.84790269724523,20.235458903781687
constant_carry,Constant carry noise,111,59.84790269724523,20.419417621088794
constant_carry,Constant carry noise,112,59.84790269724523,20.6033763383959
constant_carry,Constant carry noise,113,59.84790269724523,20.787335055703007
constant_carry,Constant carry noise,114,59.84790269724523,20.971293773010114
constant_carry,Constant carry noise,115,59.84790269724523,21.15525249031722
constant_carry,Constant carry noise,116,59.84790269724523,21.339211207624324
constant_carry,Constant carry noise,117,59.84790269724523,21.52316992493143
constant_carry,Constant carry noise,118,59.84790269724523,21.707128642238537
constant_carry,Constant carry noise,119,59.84790269724523,21.891087359545644
constant_carry,Constant carry noise,120,59.84790269724523,22.075046076852747
constant_carry,Constant carry noise,121,59.84790269724523,22.259004794159857
constant_carry,Constant carry noise,122,59.84790269724523,22.442963511466964
constant_carry,Constant carry noise,123,59.84790269724523,22.626922228774067
constant_carry,Constant carry noise,124,59.84790269724523,22.810880946081177
constant_carry,Constant carry noise,125,59.84790269724523,22.99483966338828
constant_carry,Constant carry noise,126,59.84790269724523,23.178798380695387
constant_carry,Constant carry noise,127,59.84790269724523,23.36275709800249
constant_carry,Constant carry noise,128,59.84790269724523,23.546715815309604
constant_carry,Constant carry noise,129,59.84790269724523,23.730674532616707
constant_carry,Constant carry noise,130,59.84790269724523,23.914633249923813
constant_carry,Constant carry noise,131,59.84790269724523,24.098591967230917
constant_carry,Constant carry noise,132,59.84790269724523,24.282550684538027
constant_carry,Constant carry noise,133,59.84790269724523,24.46650940184513
constant_carry,Constant carry noise,134,59.84790269724523,24.650468119152244
constant_carry,Constant carry noise,135,59.84790269724523,24.834426836459347
constant_carry,Constant carry noise,136,59.84790269724523,25.01838555376645
constant_carry,Constant carry noise,137,59.84790269724523,25.202344271073557
constant_carry,Constant carry noise,138,59.84790269724523,25.38630298838066
constant_carry,Constant carry noise,139,59.84790269724523,25.57026170568777
constant_carry,Constant carry noise,140,59.84790269724523,25.754220422994873
constant_carry,Constant carry noise,141,59.84790269724523,25.93817914030198
constant_carry,Constant carry noise,142,59.84790269724523,26.12213785760909
constant_carry,Constant carry noise,143,59.84790269724523,26.306096574916197
constant_carry,Constant carry noise,144,59.84790269724523,26.4900552922233
constant_carry,Constant carry noise,145,59.84790269724523,26.67401400953041
constant_carry,Constant carry noise,146,59.84790269724523,26.857972726837513
constant_carry,Constant carry noise,147,59.84790269724523,27.041931444144616
constant_carry,Constant carry noise,148,59.84790269724523,27.225890161451723
