model,model_label,n_observations,carry_rmse_bps,carry_mae_bps,carry_mean_bias_bps,futures_rmse_points,futures_mae_points,futures_mean_bias_points,marginal_standardized_innovation_rms,comparison_log_predictive_score,mean_log_predictive_score
constant_carry,Constant carry noise,736,359.890955736102,213.85629985364898,-11.43839604913281,33.3539346205644,25.13495489964493,-2.45441335281303,0.9383439002112658,2127.1426776016788,2.8901395076109764
two_bucket_carry,Two carry-noise buckets,736,344.50404789543165,207.5199264169818,3.6634475552973766,32.24475566642043,23.99249497080435,-0.519277435599238,0.9088779102808242,2251.662421061491,3.0593239416596343
smooth_carry_log,Smooth carry + log-price noise,736,346.0696398934737,205.61117501045615,2.299640471336509,31.80074238810044,23.425553636716835,0.44331534682665785,0.9373646529979218,2369.4167159097415,3.2193161900947573
constant_log_futures,Constant log-futures noise,736,346.06703512862305,205.61048598273803,2.2987959214226876,31.800752048685606,23.42554548895683,0.44324175286371065,0.9374024980459539,2369.41928255097,3.219319677379035
