scenario,completed_cohorts,sum_cohort_pnl,mean_cohort_pnl,median_cohort_pnl,std_cohort_pnl,worst_cohort_pnl,fifth_percentile_cohort_pnl,mean_pnl_below_fifth_percentile,daily_discounted_pnl_variance,total_costs,total_turnover_contracts,variance_reduction_vs_no_hedge
no_hedge,1,-20.110798167430804,-20.110798167430804,-20.110798167430804,,-20.110798167430804,-20.110798167430804,-20.110798167430804,2.5000622343875643,0.0,0.0,0.0
one_futures,1,-68.95231242234296,-68.95231242234296,-68.95231242234296,,-68.95231242234296,-68.95231242234296,-68.95231242234296,254.72556031416656,0.0,1.7948234352068364,-100.88768775852742
two_futures,1,-67.97140727390187,-67.97140727390187,-67.97140727390187,,-67.97140727390187,-67.97140727390187,-67.97140727390187,247.05563695801297,0.0,1.8007939074478057,-97.81979478744206
