scenario,completed_cohorts,sum_cohort_pnl,mean_cohort_pnl,median_cohort_pnl,std_cohort_pnl,worst_cohort_pnl,fifth_percentile_cohort_pnl,mean_pnl_below_fifth_percentile,daily_discounted_pnl_variance,total_costs,total_turnover_contracts,variance_reduction_vs_no_hedge
no_hedge,1,-20.110767772459713,-20.110767772459713,-20.110767772459713,,-20.110767772459713,-20.110767772459713,-20.110767772459713,2.5000604723474913,0.0,0.0,0.0
one_futures,1,-68.95232142396586,-68.95232142396586,-68.95232142396586,,-68.95232142396586,-68.95232142396586,-68.95232142396586,254.72573181898431,0.0,1.7948253433675447,-100.88782816913366
two_futures,1,-67.97141476327255,-67.97141476327255,-67.97141476327255,,-67.97141476327255,-67.97141476327255,-67.97141476327255,247.05579447242366,0.0,1.8007957701281736,-97.81992743977298
