scenario,mean_factor_variance,mean_unhedged_factor_variance,rms_scale_exposure,max_abs_scale_exposure,peak_spot_notional,peak_borrowing,factor_variance_reduction
short_no_hedge,43.62421271414407,43.62421271414407,19.737801084562804,48.99670745392068,0.0,0.0,0.0
short_one_futures_only,0.009886068313864382,43.62421271414407,2015.829257918212,4713.348223891058,0.0,194.30386839493943,0.9997733811638356
short_one_futures_spot,0.009886068313864382,43.62421271414407,6.928637506235238e-14,4.547473508864641e-13,4713.348223891058,4669.808213243689,0.9997733811638356
short_two_futures_only,8.679463670625725e-31,43.62421271414407,1984.4895031001683,4671.739515217189,0.0,191.43084543787745,1.0
short_two_futures_spot,8.679463670625725e-31,43.62421271414407,7.051277779572702e-14,4.547473508864641e-13,4671.739515217189,4627.937441811415,1.0
