variant,scenario,sum_pnl,mean_pnl,cohort_pnl_std,daily_pnl_std,daily_pnl_variance,costs,variance_reduction_vs_no_hedge
baseline,short_no_hedge,-80.08250744812756,-3.3367711436719816,19.49963199323103,7.360821959049463,54.18169991282477,0.0,0.0
baseline,short_one_futures_spot,-276.6176689829207,-11.525736207621696,13.001238145682148,3.9115206341823288,15.299993671634128,0.0,0.7176169500726087
baseline,short_two_futures_spot,-272.4852340018725,-11.353551416744688,12.865872791844316,3.890142182830961,15.133206202640835,0.0,0.7206952490049354
baseline,short_one_futures_only,-1285.7732274792259,-53.573884478301075,96.4191764886691,29.311837072254296,859.1837925503813,0.0,-14.857453603943002
baseline,short_two_futures_only,-1263.2591835425992,-52.63579931427497,94.90720469837741,28.85223882689336,832.4516853240926,0.0,-14.364074709052307
lag1,short_no_hedge,-80.08250744812757,-3.336771143671982,19.499631993231034,7.360821959049463,54.18169991282477,0.0,0.0
lag1,short_one_futures_spot,-164.8578028276659,-6.8690751178194125,10.644534366530449,4.316539631199478,18.632514387715727,0.0,0.6561105609884081
lag1,short_two_futures_spot,-162.17354445786776,-6.757231019077824,10.518903614455665,4.2767265021472705,18.290389574168827,0.0,0.6624249589142273
lag1,short_one_futures_only,-717.5637654101411,-29.898490225422545,92.90272534136291,28.33578950450206,802.916966843449,0.0,-13.818969654612095
lag1,short_two_futures_only,-702.9805901278825,-29.2908579219951,91.35599058100513,27.87749405038449,777.1546745292227,0.0,-13.34349006730353
costs,short_no_hedge,-80.08250744812757,-3.336771143671982,19.499631993231034,7.360821959049463,54.18169991282477,0.0,0.0
costs,short_one_futures_spot,-300.4830643818393,-12.520127682576637,13.000393346146437,3.951034153459846,15.610670881806163,23.857908058812622,0.7118829622008385
costs,short_two_futures_spot,-296.12438742736947,-12.33851614280706,12.86355848540236,3.92950460028003,15.441006403621916,23.63173984312523,0.7150143604119914
costs,short_one_futures_only,-1291.1959045662497,-53.79982935692707,96.41420210234425,29.314400010048022,859.3340479491035,5.4209050529827705,-14.86022678010698
costs,short_two_futures_only,-1268.6671035479048,-52.86112931449603,94.90191368940141,28.85481047663808,832.6000876427026,5.406150105173791,-14.366813683998624
