scenario,completed_cohorts,sum_cohort_pnl,mean_cohort_pnl,median_cohort_pnl,std_cohort_pnl,worst_cohort_pnl,fifth_percentile_cohort_pnl,mean_pnl_below_fifth_percentile,daily_discounted_pnl_variance,total_costs,total_turnover_contracts,variance_reduction_vs_no_hedge
no_hedge,1,-20.10398180124925,-20.10398180124925,-20.10398180124925,,-20.10398180124925,-20.10398180124925,-20.10398180124925,2.49553908687497,0.0,0.0,0.0
one_futures,1,-68.26977222845217,-68.26977222845217,-68.26977222845217,,-68.26977222845217,-68.26977222845217,-68.26977222845217,252.89561683330447,0.0,1.7665788369394846,-100.3390726530323
two_futures,1,-67.27886659680222,-67.27886659680222,-67.27886659680222,,-67.27886659680222,-67.27886659680222,-67.27886659680222,245.24286564794295,0.0,1.7716224213831655,-97.27250029373312
