scenario,completed_cohorts,sum_cohort_pnl,mean_cohort_pnl,median_cohort_pnl,std_cohort_pnl,worst_cohort_pnl,fifth_percentile_cohort_pnl,mean_pnl_below_fifth_percentile,daily_discounted_pnl_variance,pooled_daily_discounted_pnl_std,mean_cohort_daily_discounted_pnl_std,total_costs,total_turnover_contracts,spot_pnl,total_futures_costs,total_spot_costs,spot_turnover_notional,peak_borrowing,peak_spot_notional,variance_reduction_vs_no_hedge
short_no_hedge,1,-31.45246034899766,-31.45246034899766,-31.45246034899766,,-31.45246034899766,-31.45246034899766,-31.45246034899766,214.13658595370083,14.633406505448443,14.633406505448443,0.0,0.0,0.0,0.0,0.0,0.0,31.45246034899766,0.0,0.0
short_one_futures_spot,1,-14.623741444127518,-14.623741444127518,-14.623741444127518,,-14.623741444127518,-14.623741444127518,-14.623741444127518,29.003543800230723,5.385493830674279,5.385493830674279,0.0,1.1191548941855443,7.909767261147408,0.0,0.0,9746.700157928692,3878.0405477159393,3915.7556102644635,0.8645558689980157
short_two_futures_spot,1,-14.151082123381912,-14.151082123381912,-14.151082123381912,,-14.151082123381912,-14.151082123381912,-14.151082123381912,30.40145708844396,5.513751634635347,5.513751634635347,0.0,1.11986322081631,7.433017933467951,0.0,0.0,9637.12647488228,3823.793923934098,3862.102714509796,0.8580277305111367
short_one_futures_only,1,-21.616911935281095,-21.616911935281095,-21.616911935281095,,-21.616911935281095,-21.616911935281095,-21.616911935281095,5651.616371236684,75.17723306451684,75.17723306451684,0.0,1.1191548941855443,0.0,0.0,0.0,0.0,21.616911935281095,0.0,-25.39257717716037
short_two_futures_only,1,-20.683544840799286,-20.683544840799286,-20.683544840799286,,-20.683544840799286,-20.683544840799286,-20.683544840799286,5466.699214130079,73.93713014534767,73.93713014534767,0.0,1.11986322081631,0.0,0.0,0.0,0.0,20.683544840799286,0.0,-24.529029473329008
