profile_id,evaluation_date,contract,window_dates,min_sessions_exclusive,fixed_kappa_gap,eta_fast_upper_bound,optimizer_starts,price_options,kappa_slow,kappa_fast,theta,eta_slow,eta_fast,sigma_epsilon,log_likelihood,optimizer_converged,eta_fast_at_upper_bound,latest_slow_state,latest_fast_state,posterior_carry_rmse_bps,posterior_futures_rmse_points,recursive_prior_carry_rmse_bps,recursive_prior_futures_rmse_points,option_price,normalized_option_price,locked_carry,model_initial_carry,model_initial_futures,initial_futures_model_error,slow_delta_pathwise,slow_delta_bump,fast_delta_pathwise,fast_delta_bump,fixed_carry_scale_delta,elapsed_seconds,log_likelihood_below_profile_max,likelihood_ratio_vs_profile_max,relative_likelihood
gap20,2026-08-21,IM2612,488,5,20.0,6.0,4,True,3.680507621203142,23.68050762120314,0.11300368044434578,0.1473350818920664,1.8719856814965452,0.007709304510834229,5014.222504086277,True,False,0.03882233842462378,-0.025671183374986726,60.900839796383096,11.897276503429191,407.79062813014644,30.406547773065316,96.01153934451219,0.012630099295445158,0.13295227546645466,0.12965720081102355,7322.4077300443105,7.807730044310119,-0.35797645515280524,-0.35824503817717646,-0.09561736264715129,-0.0956654747529844,0.013112017642854093,52.27889370000048,-337.00282659485674,674.0056531897135,4.380584115798041e-147
gap40,2026-08-21,IM2612,488,5,40.0,6.0,4,True,2.4809773212438975,42.4809773212439,0.10952492961407914,0.10818069314171269,2.81424110984195,0.00605784794525809,5313.455175537855,True,False,0.03565589346580469,-0.023889594071078636,47.94458815881993,9.907750651383653,403.907899483736,29.130507189930313,77.38080379042415,0.010179268472381575,0.13295227546645466,0.13022474643380821,7321.062328102653,6.462328102652464,-0.40060472510730416,-0.40062817153070185,-0.04425162205305703,-0.04422428323934654,0.01056961412463188,49.140108699997654,-37.770155143278316,75.54031028655663,3.950299653259859e-17
gap50,2026-08-21,IM2612,488,5,50.0,6.0,4,True,2.5456855386206194,52.54568553862062,0.10954352553889217,0.11199435858022086,3.3564469421260714,0.005914175596332728,5342.015689301293,True,False,0.036116378851897724,-0.03059972689024005,46.72214029744747,9.911824207810165,400.6510361025376,28.98975692579993,72.84655032944471,0.009582797758195911,0.13295227546645466,0.13036207123290383,7320.736828332057,6.136828332056211,-0.40202818361159226,-0.4019714583183222,-0.032151756608535254,-0.032112623472548105,0.00995071289101946,66.25252999999793,-9.209641379840832,18.419282759681664,0.00010006992364872834
gap55,2026-08-21,IM2612,488,5,55.0,6.0,4,True,2.5843076463232504,57.58430764632325,0.10960638503485216,0.11421454319639378,3.638383501560435,0.005887223906429403,5347.337244143865,True,False,0.036306672517709256,-0.03426374556637142,46.45230531359911,9.938032763273593,398.84288334527474,28.9430233981189,71.19375972475274,0.009365376919051416,0.13295227546645466,0.13040313833824185,7320.639490142424,6.039490142423347,-0.4018567491119165,-0.4017940240338583,-0.02766308988044448,-0.027674404357993482,0.00972507385736156,57.104281099993386,-3.888086537268464,7.776173074536928,0.020484504898176624
gap60,2026-08-21,IM2612,488,5,60.0,6.0,4,True,2.620371612241882,62.62037161224188,0.10967329570294679,0.11633542563171186,3.9273612112734204,0.005874113108767596,5349.92502793133,True,False,0.03647002212342595,-0.038008983028527316,46.29208050067625,9.967626314320816,396.9710289073648,28.904522301071804,69.82475869562724,0.009185287952126527,0.13295227546645466,0.130430365402674,7320.574956646851,5.974956646850842,-0.40145165717618986,-0.40136647363277683,-0.024048045918242444,-0.023965580540003157,0.009538152277537786,56.02194819999568,-1.3003027498034498,2.6006054996068997,0.2724492965757611
gap65,2026-08-21,IM2612,488,5,65.0,6.0,4,True,2.652589705941731,67.65258970594174,0.10973664391535189,0.11827362293465002,4.223384851559673,0.00586889643412565,5350.9888377328925,True,False,0.036608738500691365,-0.04178650399239784,46.197800242853134,9.99706707326865,395.0704413054624,28.87179544775312,68.67584568259056,0.009034151062378162,0.13295227546645466,0.13044638164510955,7320.536995269218,5.936995269217732,-0.4007266909946789,-0.40081480008752035,-0.020797468054399908,-0.020823210662210177,0.009381257922331552,61.11926220000896,-0.23649294824099343,0.47298589648198686,0.7893914488806011
gap70,2026-08-21,IM2612,488,5,70.0,6.0,4,True,2.680735114470162,72.68073511447017,0.10979366364138608,0.11999851736733293,4.526492840485057,0.005868123984916454,5351.2253306811335,True,False,0.03672544021891923,-0.045565300761058365,46.14365709660604,10.024760026332748,393.17017639663226,28.843535192487135,67.69762233640012,0.00890546800948829,0.13295227546645466,0.13045324889748047,7320.52071870523,5.920718705229774,-0.40018761998221136,-0.40018356611355,-0.018120920647999982,-0.018134010401577492,0.009247651217408712,60.73473509999167,0.0,0.0,1.0
gap75,2026-08-21,IM2612,488,5,75.0,6.0,4,True,2.705025730568586,77.7050257305686,0.10984365161213408,0.12150686016322608,4.836732075687538,0.0058697672811559255,5351.0312739125475,True,False,0.03682291141607145,-0.049325908109870774,46.114157426385,10.050075875799578,391.2938284397653,28.819052360347648,66.85485316539466,0.008794603644792034,0.13295227546645466,0.13045259116991578,7320.522277630614,5.92227763061328,-0.39942655503987706,-0.39951520986607214,-0.015797097318441505,-0.01584840396464576,0.009132525061727308,66.22200789999624,-0.19405676858605148,0.38811353717210295,0.8236111477011261
gap80,2026-08-21,IM2612,488,5,80.0,6.0,4,True,2.7258785751010146,82.72587857510102,0.10988696255419989,0.12281111540575036,5.154158452768946,0.005872646103025103,5350.62913358731,True,False,0.036903802745498676,-0.05305696568031309,46.099831825837285,10.072884005194428,389.4601450808445,28.797994442869733,66.12131937682851,0.008698108945827662,0.13295227546645466,0.13044568579749796,7320.538644549225,5.938644549224591,-0.398814011833595,-0.39882485248736277,-0.013752742903966771,-0.013786201220355931,0.009032302483105058,55.285811900001136,-0.5961970938233208,1.1923941876466415,0.5509026887732537
gap85,2026-08-21,IM2612,488,5,85.0,6.0,4,True,2.743725409485971,87.74372540948598,0.10992426156748501,0.12392862435610362,5.4788296957244045,0.005876079011967987,5350.1403670256295,True,False,0.0369704056808739,-0.056751214174569575,46.09487254066237,10.093273902716895,387.68377766470303,28.780176819970475,65.47696724836787,0.008613345891102674,0.13295227546645466,0.13043352652229842,7320.567464208721,5.96746420872023,-0.39810525241465755,-0.39812552102513765,-0.012022037229707872,-0.012019411485653709,0.008944247501097959,59.17003829999885,-1.0849636555039979,2.1699273110079957,0.3379140669879933
gap90,2026-08-21,IM2612,488,5,90.0,6.0,4,True,2.7589968247084466,92.75899682470845,0.1099563462803816,0.12488072399472033,5.810803779464798,0.0058796667004927285,5349.628146685981,True,False,0.037024844185094385,-0.06040542608877405,46.09559509701308,10.111439183075541,385.9758991702588,28.76550225802201,64.9067170509045,0.008538330776603093,0.13295227546645466,0.1304169138189464,7320.60683947378,6.006839473780019,-0.39736006430794174,-0.3974209601626276,-0.010457237263216665,-0.01043812489151705,0.008866302818083061,59.8147442000045,-1.5971839951525908,3.1943679903051816,0.20246586082785734
gap95,2026-08-21,IM2612,488,5,95.0,6.0,4,True,2.7712896386515395,97.77128963865154,0.10998564314378555,0.1260354080070679,6.0,0.005883757183831215,5348.847388053457,True,True,0.03706353617983975,-0.06402508932205725,46.09045920274934,10.125090351497102,384.2776009270257,28.752701596513024,63.19309672313056,0.008312907925951598,0.13295227546645466,0.13048702426554157,7320.440665826332,5.840665826332042,-0.3965121664626638,-0.39650527009729686,-0.009200488323261861,-0.009158664124880365,0.00863241703715077,59.04645100000198,-2.37794262767693,4.75588525535386,0.09274118451455159
gap100,2026-08-21,IM2612,488,5,100.0,6.0,4,True,2.7819867366074664,102.78198673660746,0.11001804296368443,0.12764755286759388,6.0,0.005889020661711652,5345.69868868527,True,True,0.037086740506230474,-0.06763656563652769,46.07935962416423,10.135571755000504,382.5863861574761,28.740758417004,60.2606010163123,0.007927144795671172,0.13295227546645466,0.1306519059173966,7320.049883217839,5.44988321783876,-0.3952128770762585,-0.39518125437271584,-0.008140384102349076,-0.008120663433026096,0.00823226644322022,50.063408400004846,-5.526641995863429,11.053283991726857,0.003979329282534667
gap120,2026-08-21,IM2612,488,5,120.0,6.0,4,True,2.831638713571371,122.83163871357137,0.11019342609163378,0.1355116141349798,6.0,0.005920338323892508,5305.464562487234,True,True,0.037119189711325384,-0.08212702021930454,46.14477644864147,10.199517830533084,376.88227814568154,28.710623083642513,51.86429453448391,0.006822629803989146,0.13295227546645466,0.13111074214409119,7318.962514720483,4.362514720482977,-0.3883910025574612,-0.38852400730233067,-0.004369816727263081,-0.004337653986706644,0.00708629049953054,46.5619633999886,-45.76076819389982,91.52153638779964,1.3376758475919818e-20
gap150,2026-08-21,IM2612,488,5,150.0,6.0,4,True,2.9774173919756737,152.97741739197568,0.11071027052381961,0.1572868034155225,6.0,0.006039216510840921,5164.980050386224,True,True,0.037100413590516995,-0.10516143631124239,47.03802722570097,10.493981364627487,371.47024559793675,28.718189618595098,46.43519351540749,0.0061084439319150415,0.13295227546645466,0.13142703330204641,7318.213049296019,3.613049296018289,-0.3746205757869307,-0.374938452880394,0.00010692801586156635,9.94406064636289e-05,0.006345154643984348,53.666601599994465,-186.2452802949092,372.4905605898184,1.3022743522575423e-81
gap180,2026-08-21,IM2612,488,5,180.0,6.0,4,True,3.348833860503957,183.34883386050396,0.1117705646665289,0.20967380544128683,6.0,0.006415923977851161,4943.395088897034,True,True,0.037166227294186345,-0.13134971300106707,50.71150823908355,11.502821566598158,368.9945987769486,28.944923285949617,48.834221682431014,0.006424030622524734,0.13295227546645466,0.13135518267517865,7318.383295691882,3.7832956918819036,-0.35459811237762745,-0.35560163924448623,0.003750339791050526,0.0037386561438876413,0.006672815526234912,53.98503550000896,-407.8302417840996,815.6604835681992,7.613361295032626e-178
gap240,2026-08-21,IM2612,488,5,240.0,6.0,4,True,5.787688119003354,245.78768811900335,0.11511274061822359,0.5010187407898078,6.0,0.009817984083431602,4488.501231532969,True,True,0.034237666531687895,-0.09391433168461485,82.42590567130269,18.43943261198254,371.0048986433181,32.63131939262049,72.70852760229192,0.009564641182841851,0.13295227546645466,0.12776817957193534,7326.88755278218,12.287552782179773,-0.2793224195051803,-0.2793966290426981,0.009350133926137953,0.009349289883513013,0.009923521697106284,46.1748915000062,-862.7240991481649,1725.4481982963298,5e-324
