scenario,completed_cohorts,sum_cohort_pnl,mean_cohort_pnl,median_cohort_pnl,std_cohort_pnl,worst_cohort_pnl,fifth_percentile_cohort_pnl,mean_pnl_below_fifth_percentile,daily_discounted_pnl_variance,total_costs,total_turnover_contracts,spot_pnl,total_futures_costs,total_spot_costs,peak_borrowing,peak_spot_notional,spot_turnover_notional,variance_reduction_vs_no_hedge
short_no_hedge,1,-3.8162677059127006,-3.8162677059127006,-3.8162677059127006,,-3.8162677059127006,-3.8162677059127006,-3.8162677059127006,42.916729106652646,0.0,0.0,0.0,0.0,0.0,3.8162677059127006,0.0,0.0,0.0
short_one_futures_spot,1,-14.572538323431672,-14.572538323431672,-14.572538323431672,,-14.572538323431672,-14.572538323431672,-14.572538323431672,6.110819469487559,0.0,1.24829476358193,-32.759568950033334,0.0,0.0,2548.014464076108,2569.138385596417,7930.099769115144,0.8576121806882924
short_two_futures_spot,1,-13.758625712704543,-13.758625712704543,-13.758625712704543,,-13.758625712704543,-13.758625712704543,-13.758625712704543,5.777755080359114,0.0,1.239853840037985,-32.33605799360828,0.0,0.0,2513.472285589285,2535.1829594558244,7852.112480064557,0.8653728930273139
short_one_futures_only,1,18.933093795187318,18.933093795187318,18.933093795187318,,18.933093795187318,18.933093795187318,18.933093795187318,976.1807717672365,0.0,1.24829476358193,0.0,0.0,0.0,0.0,0.0,0.0,-21.745926637170395
short_two_futures_only,1,19.31091320661168,19.31091320661168,19.31091320661168,,19.31091320661168,19.31091320661168,19.31091320661168,945.7783442952149,0.0,1.239853840037985,0.0,0.0,0.0,0.0,0.0,0.0,-21.03752159081963
