model,start_id,start_model,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_short,start_sigma_long,estimate_model,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_short,estimate_sigma_long,estimate_kappa_gap,comparison_log_likelihood,converged,iterations,message
two_bucket_carry,4,two_bucket_carry,1.5,18.0,0.091954465193496,0.27838859582931325,0.642435221144569,0.04243211436585394,0.022630460995122104,two_bucket_carry,1.0330725085081927,18.462763122350268,0.06258791037699736,0.0650493112788474,1.3735826537862559,0.03597544838130305,0.0038978742494478478,17.429690613842077,8570.209200171652,True,46,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,0,two_bucket_carry,0.9315148328256555,20.647745593125652,0.06148080841828749,0.060460155025597304,1.5179087359571948,0.0057734485542597054,0.0030791725622718426,two_bucket_carry,1.0330640474839703,18.462830850796497,0.06258778977023143,0.06504934723224588,1.3735907559435476,0.03597536852962054,0.0038978816279862825,17.429766803312525,8570.209200167244,True,39,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,5,two_bucket_carry,3.0000000000000004,25.000000000000004,0.091954465193496,0.34263211794377013,0.7495077580019971,0.04243211436585394,0.022630460995122104,two_bucket_carry,1.0330812056977672,18.462795941773784,0.06258839139795955,0.06504997355503488,1.3735833379903906,0.035975448013709575,0.0038978753505290705,17.42971473607602,8570.209200165667,True,35,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,1,two_bucket_carry,0.15,4.0,0.091954465193496,0.10707253685742815,0.3212176105722845,0.04243211436585394,0.022630460995122104,two_bucket_carry,1.0330812602636708,18.46277546200689,0.06258824796253878,0.06504950025794266,1.3735873295900085,0.03597555855604325,0.0038978905990317662,17.429694201743217,8570.209200160174,True,29,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,11,two_bucket_carry,3.6313873516459405,6.903432857363258,0.06873945870500606,0.3246251237731915,0.6890806989651269,0.021456490171414218,0.011443461424754248,two_bucket_carry,1.033061536021015,18.46282325269425,0.06258746911743995,0.06504980866481119,1.3735886052108046,0.035975555741166725,0.003897881275625629,17.429761716673234,8570.20920014418,True,44,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,3,two_bucket_carry,0.75,12.000000000000002,0.091954465193496,0.21414507371485633,0.5353626842871407,0.04243211436585394,0.022630460995122104,two_bucket_carry,1.0330457964365165,18.46279886255942,0.06258741338097713,0.06504865249320453,1.3735940327510487,0.035975489165593136,0.00389787422705464,17.429753066122903,8570.209200104206,True,34,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,8,two_bucket_carry,0.3827375932483699,1.5424571156535538,0.08081167990360649,1.0737249088098932,0.2907117216311539,0.025152238316229213,0.013414527101988918,two_bucket_carry,1.0330713413678887,18.462945286701963,0.06258831527125634,0.06504944519247347,1.3736044443909505,0.0359754269940592,0.0038978766333303714,17.429873945334073,8570.209200102869,True,38,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,2,two_bucket_carry,0.3499999999999999,7.999999999999999,0.091954465193496,0.1499015516003994,0.4282901474297126,0.04243211436585394,0.022630460995122104,two_bucket_carry,1.0330519126465607,18.4628269520524,0.06258802975971474,0.0650484729088378,1.3735883450855306,0.03597581906030683,0.0038978577451549263,17.42977503940584,8570.20920000632,True,32,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,10,two_bucket_carry,2.0683765532731546,9.793361060849696,0.0441948753458715,0.0764944365121861,0.6508322257348423,0.03184224691231232,0.016982531686566577,two_bucket_carry,2.0683765532731546,9.793361060849696,0.0441948753458715,0.0764944365121861,0.6508322257348423,0.03184224691231232,0.016982531686566577,7.724984507576542,6957.4774431676105,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,6,two_bucket_carry,4.999999999999999,35.0,0.091954465193496,0.4282901474297126,0.8565802948594252,0.04243211436585394,0.022630460995122104,two_bucket_carry,4.999999999999999,35.0,0.091954465193496,0.4282901474297126,0.8565802948594252,0.04243211436585394,0.022630460995122104,30.0,6528.725629971599,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,7,two_bucket_carry,1.2776977012389195,41.252021781482064,0.11007724488637298,0.05717704935240802,0.6390085281298438,0.044307383327948376,0.023630604441572473,two_bucket_carry,1.2776977012389195,41.252021781482064,0.11007724488637298,0.05717704935240802,0.6390085281298438,0.044307383327948376,0.023630604441572473,39.97432408024314,6304.181557691292,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
two_bucket_carry,9,two_bucket_carry,1.6719627151010144,32.64543130974995,0.11119191523232896,0.15848682379700074,0.24979901099415902,0.04123907907329354,0.021994175505756552,two_bucket_carry,1.6719627151010144,32.64543130974995,0.11119191523232896,0.15848682379700074,0.24979901099415902,0.04123907907329354,0.021994175505756552,30.97346859464894,6231.323160249432,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
